date,value
2021-01-01,42.67
2021-01-02,39.82
2021-01-03,45.51
2021-01-04,32.71
2021-01-05,39.11
2021-01-06,51.2
2021-01-07,34.13
2021-01-08,33.42
2021-01-09,37.69
2021-01-10,45.51
2021-01-11,31.29
2021-01-12,34.13
2021-01-13,29.16
2021-01-14,29.16
2021-01-15,50.49
2021-01-16,36.27
2021-01-17,39.82
2021-01-18,40.53
2021-01-19,36.27
2021-01-20,36.98
2021-01-21,29.87
2021-01-22,33.42
2021-01-23,38.4
2021-01-24,34.84
2021-01-25,35.56
2021-01-26,29.87
2021-01-27,43.38
2021-01-28,42.67
2021-01-29,42.67
2021-01-30,41.24
2021-01-31,39.11
2021-02-01,32.71
2021-02-02,45.51
2021-02-03,39.11
2021-02-04,38.4
2021-02-05,46.93
2021-02-06,42.67
2021-02-07,43.38
2021-02-08,36.98
2021-02-09,32.0
2021-02-10,30.58
2021-02-11,19.91
2021-02-12,27.02
2021-02-13,41.24
2021-02-14,39.11
2021-02-15,36.98
2021-02-16,44.09
2021-02-17,48.36
2021-02-18,41.96
2021-02-19,40.53
2021-02-20,44.8
2021-02-21,33.42
2021-02-22,33.42
2021-02-23,36.27
2021-02-24,34.13
2021-02-25,28.44
2021-02-26,32.0
2021-02-27,36.98
2021-02-28,36.98
2021-03-01,48.36
2021-03-02,34.84
2021-03-03,37.69
2021-03-04,59.02
2021-03-05,61.16
2021-03-06,50.49
2021-03-07,67.56
2021-03-08,71.11
2021-03-09,47.64
2021-03-10,36.27
2021-03-11,29.87
2021-03-12,35.56
2021-03-13,28.44
2021-03-14,36.98
2021-03-15,33.42
2021-03-16,22.04
2021-03-17,30.58
2021-03-18,26.31
2021-03-19,27.02
2021-03-20,34.84
2021-03-21,30.58
2021-03-22,31.29
2021-03-23,29.87
2021-03-24,27.02
2021-03-25,28.44
2021-03-26,32.0
2021-03-27,32.0
2021-03-28,33.42
2021-03-29,30.58
2021-03-30,29.87
2021-03-31,19.91
2021-04-01,29.87
2021-04-02,29.16
2021-04-03,33.42
2021-04-04,29.16
2021-04-05,30.58
2021-04-06,32.0
2021-04-07,30.58
2021-04-08,36.27
2021-04-09,32.71
2021-04-10,24.18
2021-04-11,25.6
2021-04-12,21.33
2021-04-13,24.89
2021-04-14,22.04
2021-04-15,28.44
2021-04-16,21.33
2021-04-17,24.89
2021-04-18,27.02
2021-04-19,25.6
2021-04-20,19.91
2021-04-21,25.6
2021-04-22,29.16
2021-04-23,17.78
2021-04-24,22.04
2021-04-25,17.78
2021-04-26,22.76
2021-04-27,23.47
2021-04-28,26.31
2021-04-29,25.6
2021-04-30,24.89
2021-05-01,17.78
2021-05-02,23.47
2021-05-03,22.04
2021-05-04,18.49
2021-05-05,26.31
2021-05-06,27.02
2021-05-07,17.78
2021-05-08,21.33
2021-05-09,17.07
2021-05-10,17.07
2021-05-11,18.49
2021-05-12,10.67
2021-05-13,17.78
2021-05-14,19.2
2021-05-15,14.93
2021-05-16,18.49
2021-05-17,15.64
2021-05-18,22.04
2021-05-19,17.78
2021-05-20,14.22
2021-05-21,15.64
2021-05-22,15.64
2021-05-23,18.49
2021-05-24,22.04
2021-05-25,15.64
2021-05-26,19.91
2021-05-27,17.78
2021-05-28,16.36
2021-05-29,22.04
2021-05-30,14.22
2021-05-31,17.78
2021-06-01,11.38
2021-06-02,0.0
2021-06-03,16.36
2021-06-04,13.51
2021-06-05,17.78
2021-06-06,21.33
2021-06-07,19.91
2021-06-08,22.04
2021-06-09,9.96
2021-06-10,14.22
2021-06-11,18.49
2021-06-12,13.51
2021-06-13,20.62
2021-06-14,12.8
2021-06-15,14.93
2021-06-16,16.36
2021-06-17,17.78
2021-06-18,17.78
2021-06-19,16.36
2021-06-20,14.93
2021-06-21,13.51
2021-06-22,14.22
2021-06-23,19.2
2021-06-24,15.64
2021-06-25,17.78
2021-06-26,13.51
2021-06-27,9.96
2021-06-28,16.36
2021-06-29,14.22
2021-06-30,14.22
