date,value
2021-01-01,85.0
2021-01-02,81.0
2021-01-03,76.0
2021-01-04,62.0
2021-01-05,62.0
2021-01-06,69.0
2021-01-07,78.0
2021-01-08,67.0
2021-01-09,71.0
2021-01-10,69.0
2021-01-11,61.0
2021-01-12,60.0
2021-01-13,65.0
2021-01-14,76.0
2021-01-15,82.0
2021-01-16,83.0
2021-01-17,87.0
2021-01-18,68.0
2021-01-19,83.0
2021-01-20,79.0
2021-01-21,84.0
2021-01-22,94.0
2021-01-23,99.0
2021-01-24,100.0
2021-01-25,76.0
2021-01-26,87.0
2021-01-27,86.0
2021-01-28,65.0
2021-01-29,65.0
2021-01-30,68.0
2021-01-31,68.0
2021-02-01,62.0
2021-02-02,61.0
2021-02-03,61.0
2021-02-04,65.0
2021-02-05,68.0
2021-02-06,68.0
2021-02-07,81.0
2021-02-08,61.0
2021-02-09,62.0
2021-02-10,62.0
2021-02-11,57.0
2021-02-12,80.0
2021-02-13,68.0
2021-02-14,41.0
2021-02-15,49.0
2021-02-16,40.0
2021-02-17,33.0
2021-02-18,36.0
2021-02-19,34.0
2021-02-20,40.0
2021-02-21,37.0
2021-02-22,31.0
2021-02-23,37.0
2021-02-24,39.0
2021-02-25,42.0
2021-02-26,42.0
2021-02-27,37.0
2021-02-28,40.0
2021-03-01,33.0
2021-03-02,41.0
2021-03-03,41.0
2021-03-04,39.0
2021-03-05,37.0
2021-03-06,40.0
2021-03-07,49.0
2021-03-08,33.0
2021-03-09,39.0
2021-03-10,43.0
2021-03-11,54.0
2021-03-12,54.0
2021-03-13,59.0
2021-03-14,54.0
2021-03-15,48.0
2021-03-16,53.0
2021-03-17,47.0
2021-03-18,57.0
2021-03-19,53.0
2021-03-20,50.0
2021-03-21,47.0
2021-03-22,34.0
2021-03-23,40.0
2021-03-24,44.0
2021-03-25,50.0
2021-03-26,54.0
2021-03-27,55.0
2021-03-28,52.0
2021-03-29,49.0
2021-03-30,40.0
2021-03-31,45.0
2021-04-01,37.0
2021-04-02,46.0
2021-04-03,50.0
2021-04-04,49.0
2021-04-05,44.0
2021-04-06,48.0
2021-04-07,46.0
2021-04-08,47.0
2021-04-09,40.0
2021-04-10,58.0
2021-04-11,52.0
2021-04-12,45.0
2021-04-13,44.0
2021-04-14,43.0
2021-04-15,55.0
2021-04-16,49.0
2021-04-17,49.0
2021-04-18,55.0
2021-04-19,49.0
2021-04-20,54.0
2021-04-21,64.0
2021-04-22,42.0
2021-04-23,53.0
2021-04-24,53.0
2021-04-25,57.0
2021-04-26,47.0
2021-04-27,45.0
2021-04-28,50.0
2021-04-29,42.0
2021-04-30,52.0
2021-05-01,45.0
2021-05-02,34.0
2021-05-03,31.0
2021-05-04,31.0
2021-05-05,35.0
2021-05-06,30.0
2021-05-07,27.0
2021-05-08,30.0
2021-05-09,26.0
2021-05-10,23.0
2021-05-11,23.0
2021-05-12,21.0
2021-05-13,24.0
2021-05-14,28.0
2021-05-15,27.0
2021-05-16,30.0
2021-05-17,33.0
2021-05-18,20.0
2021-05-19,27.0
2021-05-20,22.0
2021-05-21,27.0
2021-05-22,27.0
2021-05-23,27.0
2021-05-24,25.0
2021-05-25,24.0
2021-05-26,27.0
2021-05-27,23.0
2021-05-28,20.0
2021-05-29,26.0
2021-05-30,23.0
2021-05-31,22.0
2021-06-01,21.0
2021-06-02,14.0
2021-06-03,16.0
2021-06-04,19.0
2021-06-05,29.0
2021-06-06,25.0
2021-06-07,21.0
2021-06-08,23.0
2021-06-09,21.0
2021-06-10,23.0
2021-06-11,22.0
2021-06-12,22.0
2021-06-13,19.0
2021-06-14,21.0
2021-06-15,19.0
2021-06-16,15.0
2021-06-17,22.0
2021-06-18,23.0
2021-06-19,24.0
2021-06-20,19.0
2021-06-21,21.0
2021-06-22,18.0
2021-06-23,28.0
2021-06-24,22.0
2021-06-25,32.0
2021-06-26,26.0
2021-06-27,22.0
2021-06-28,25.0
2021-06-29,20.0
2021-06-30,27.0
2021-07-01,23.0
2021-07-02,24.11
2021-07-03,24.55
2021-07-04,31.7
2021-07-05,28.57
2021-07-06,25.45
2021-07-07,22.32
2021-07-08,24.11
2021-07-09,24.11
2021-07-10,31.7
2021-07-11,27.23
2021-07-12,26.79
2021-07-13,23.21
2021-07-14,29.02
2021-07-15,19.64
2021-07-16,25.89
2021-07-17,29.02
2021-07-18,17.41
2021-07-19,21.43
2021-07-20,21.43
2021-07-21,18.75
2021-07-22,22.77
2021-07-23,20.54
2021-07-24,20.98
2021-07-25,14.29
2021-07-26,16.96
2021-07-27,17.86
2021-07-28,16.07
2021-07-29,12.95
2021-07-30,19.2
2021-07-31,15.18
2021-08-01,18.75
2021-08-02,15.62
2021-08-03,19.2
2021-08-04,17.41
2021-08-05,15.62
2021-08-06,19.2
2021-08-07,24.11
2021-08-08,21.88
2021-08-09,16.52
2021-08-10,16.07
2021-08-11,17.86
2021-08-12,22.77
2021-08-13,16.52
2021-08-14,24.55
2021-08-15,16.52
2021-08-16,15.62
2021-08-17,16.96
2021-08-18,19.2
2021-08-19,24.55
2021-08-20,20.98
2021-08-21,16.07
2021-08-22,17.41
2021-08-23,14.29
2021-08-24,11.61
2021-08-25,23.21
2021-08-26,20.09
2021-08-27,18.3
2021-08-28,15.18
2021-08-29,17.86
2021-08-30,17.86
2021-08-31,15.18
2021-09-01,18.75
2021-09-02,19.64
2021-09-03,19.2
2021-09-04,20.09
2021-09-05,15.62
2021-09-06,19.64
2021-09-07,18.3
2021-09-08,16.52
2021-09-09,20.98
2021-09-10,17.86
2021-09-11,17.41
2021-09-12,16.96
2021-09-13,17.86
2021-09-14,20.09
2021-09-15,17.41
2021-09-16,14.73
2021-09-17,20.54
2021-09-18,20.09
2021-09-19,19.64
2021-09-20,19.64
2021-09-21,20.98
2021-09-22,19.64
2021-09-23,23.21
2021-09-24,21.43
2021-09-25,23.21
2021-09-26,27.68
2021-09-27,19.64
2021-09-28,20.98
2021-09-29,19.64
2021-09-30,23.66
2021-10-01,22.77
2021-10-02,20.54
2021-10-03,22.32
2021-10-04,23.66
2021-10-05,23.66
2021-10-06,23.21
2021-10-07,24.55
2021-10-08,30.36
2021-10-09,29.46
2021-10-10,39.29
2021-10-11,26.79
2021-10-12,20.09
2021-10-13,30.8
2021-10-14,32.14
2021-10-15,35.27
2021-10-16,35.27
2021-10-17,31.25
2021-10-18,38.39
2021-10-19,34.82
2021-10-20,28.57
2021-10-21,33.48
2021-10-22,30.36
2021-10-23,38.39
2021-10-24,37.5
2021-10-25,25.45
2021-10-26,29.91
2021-10-27,30.36
2021-10-28,30.8
2021-10-29,34.38
2021-10-30,37.05
2021-10-31,32.59
2021-11-01,30.36
2021-11-02,37.05
2021-11-03,31.7
2021-11-04,33.04
2021-11-05,31.7
2021-11-06,32.14
2021-11-07,32.59
2021-11-08,32.59
2021-11-09,35.27
2021-11-10,37.95
2021-11-11,29.91
2021-11-12,41.52
2021-11-13,36.61
2021-11-14,39.73
2021-11-15,32.14
2021-11-16,30.36
2021-11-17,28.57
2021-11-18,31.25
2021-11-19,32.14
2021-11-20,35.27
2021-11-21,44.64
2021-11-22,29.91
2021-11-23,35.27
2021-11-24,36.61
2021-11-25,31.7
2021-11-26,37.5
2021-11-27,39.73
2021-11-28,38.39
2021-11-29,31.7
2021-11-30,29.91
2021-12-01,33.93
2021-12-02,33.25
2021-12-03,35.91
2021-12-04,66.51
2021-12-05,54.54
2021-12-06,43.9
2021-12-07,43.9
2021-12-08,44.56
2021-12-09,39.91
2021-12-10,51.21
2021-12-11,50.55
2021-12-12,52.54
2021-12-13,45.89
2021-12-14,47.22
2021-12-15,47.89
2021-12-16,41.9
2021-12-17,44.56
2021-12-18,48.55
2021-12-19,47.89
2021-12-20,45.89
2021-12-21,39.91
2021-12-22,47.22
2021-12-23,45.23
2021-12-24,53.21
2021-12-25,49.88
2021-12-26,45.89
2021-12-27,44.56
2021-12-28,39.24
2021-12-29,37.91
2021-12-30,42.57
2021-12-31,43.9
2022-01-01,63.18
2022-01-02,59.19
2022-01-03,49.88
2022-01-04,42.57
2022-01-05,49.22
2022-01-06,46.56
2022-01-07,43.23
2022-01-08,53.21
2022-01-09,60.52
2022-01-10,51.21
2022-01-11,55.87
2022-01-12,51.88
2022-01-13,46.56
2022-01-14,61.85
2022-01-15,59.86
2022-01-16,62.52
2022-01-17,49.88
2022-01-18,45.89
2022-01-19,46.56
2022-01-20,50.55
2022-01-21,45.23
2022-01-22,54.54
2022-01-23,63.18
2022-01-24,47.89
2022-01-25,47.22
2022-01-26,55.2
2022-01-27,52.54
2022-01-28,53.21
2022-01-29,46.56
2022-01-30,53.21
2022-01-31,37.24
2022-02-01,56.53
2022-02-02,35.25
2022-02-03,37.91
2022-02-04,32.59
2022-02-05,36.58
2022-02-06,22.61
2022-02-07,27.93
2022-02-08,30.59
