date,value
2021-01-01,99.0
2021-01-02,74.0
2021-01-03,76.0
2021-01-04,57.0
2021-01-05,47.0
2021-01-06,61.0
2021-01-07,75.0
2021-01-08,62.0
2021-01-09,61.0
2021-01-10,60.0
2021-01-11,61.0
2021-01-12,54.0
2021-01-13,61.0
2021-01-14,64.0
2021-01-15,91.0
2021-01-16,82.0
2021-01-17,87.0
2021-01-18,70.0
2021-01-19,70.0
2021-01-20,77.0
2021-01-21,84.0
2021-01-22,81.0
2021-01-23,83.0
2021-01-24,86.0
2021-01-25,67.0
2021-01-26,75.0
2021-01-27,67.0
2021-01-28,41.0
2021-01-29,69.0
2021-01-30,59.0
2021-01-31,67.0
2021-02-01,47.0
2021-02-02,48.0
2021-02-03,47.0
2021-02-04,62.0
2021-02-05,52.0
2021-02-06,61.0
2021-02-07,79.0
2021-02-08,49.0
2021-02-09,62.0
2021-02-10,55.0
2021-02-11,47.0
2021-02-12,100.0
2021-02-13,79.0
2021-02-14,28.0
2021-02-15,30.0
2021-02-16,41.0
2021-02-17,35.0
2021-02-18,31.0
2021-02-19,41.0
2021-02-20,42.0
2021-02-21,33.0
2021-02-22,29.0
2021-02-23,29.0
2021-02-24,35.0
2021-02-25,35.0
2021-02-26,42.0
2021-02-27,29.0
2021-02-28,38.0
2021-03-01,27.0
2021-03-02,30.0
2021-03-03,28.0
2021-03-04,25.0
2021-03-05,24.0
2021-03-06,36.0
2021-03-07,50.0
2021-03-08,23.0
2021-03-09,18.0
2021-03-10,35.0
2021-03-11,46.0
2021-03-12,37.0
2021-03-13,65.0
2021-03-14,43.0
2021-03-15,46.0
2021-03-16,48.0
2021-03-17,38.0
2021-03-18,48.0
2021-03-19,32.0
2021-03-20,46.0
2021-03-21,42.0
2021-03-22,27.0
2021-03-23,44.0
2021-03-24,30.0
2021-03-25,48.0
2021-03-26,26.0
2021-03-27,39.0
2021-03-28,50.0
2021-03-29,40.0
2021-03-30,25.0
2021-03-31,29.0
2021-04-01,33.0
2021-04-02,41.0
2021-04-03,43.0
2021-04-04,48.0
2021-04-05,39.0
2021-04-06,48.0
2021-04-07,45.0
2021-04-08,28.0
2021-04-09,35.0
2021-04-10,38.0
2021-04-11,40.0
2021-04-12,33.0
2021-04-13,29.0
2021-04-14,32.0
2021-04-15,51.0
2021-04-16,36.0
2021-04-17,29.0
2021-04-18,65.0
2021-04-19,33.0
2021-04-20,36.0
2021-04-21,63.0
2021-04-22,29.0
2021-04-23,48.0
2021-04-24,36.0
2021-04-25,40.0
2021-04-26,21.0
2021-04-27,42.0
2021-04-28,57.0
2021-04-29,28.0
2021-04-30,37.0
2021-05-01,18.0
2021-05-02,25.0
2021-05-03,18.0
2021-05-04,0.0
2021-05-05,25.0
2021-05-06,27.0
2021-05-07,20.0
2021-05-08,28.0
2021-05-09,0.0
2021-05-10,17.0
2021-05-11,15.0
2021-05-12,0.0
2021-05-13,15.0
2021-05-14,24.0
2021-05-15,23.0
2021-05-16,22.0
2021-05-17,30.0
2021-05-18,15.0
2021-05-19,0.0
2021-05-20,25.0
2021-05-21,25.0
2021-05-22,17.0
2021-05-23,16.0
2021-05-24,24.0
2021-05-25,17.0
2021-05-26,26.0
2021-05-27,0.0
2021-05-28,16.0
2021-05-29,0.0
2021-05-30,0.0
2021-05-31,0.0
2021-06-01,0.0
2021-06-02,0.0
2021-06-03,0.0
2021-06-04,16.0
2021-06-05,17.0
2021-06-06,16.0
2021-06-07,0.0
2021-06-08,19.0
2021-06-09,0.0
2021-06-10,0.0
2021-06-11,17.0
2021-06-12,20.0
2021-06-13,16.0
2021-06-14,0.0
2021-06-15,13.0
2021-06-16,0.0
2021-06-17,16.0
2021-06-18,0.0
2021-06-19,21.0
2021-06-20,0.0
2021-06-21,0.0
2021-06-22,15.0
2021-06-23,18.0
2021-06-24,20.0
2021-06-25,24.0
2021-06-26,0.0
2021-06-27,0.0
2021-06-28,24.0
2021-06-29,17.0
2021-06-30,19.0
2021-07-01,0.0
2021-07-02,14.61
2021-07-03,19.74
2021-07-04,15.79
2021-07-05,16.18
2021-07-06,16.18
2021-07-07,0.0
2021-07-08,0.0
2021-07-09,16.58
2021-07-10,20.53
2021-07-11,23.29
2021-07-12,15.39
2021-07-13,0.0
2021-07-14,17.76
2021-07-15,18.16
2021-07-16,0.0
2021-07-17,0.0
2021-07-18,0.0
2021-07-19,17.37
2021-07-20,0.0
2021-07-21,0.0
2021-07-22,0.0
2021-07-23,0.0
2021-07-24,0.0
2021-07-25,0.0
2021-07-26,0.0
2021-07-27,0.0
2021-07-28,0.0
2021-07-29,0.0
2021-07-30,0.0
2021-07-31,0.0
2021-08-01,16.18
2021-08-02,0.0
2021-08-03,0.0
2021-08-04,0.0
2021-08-05,0.0
2021-08-06,22.89
2021-08-07,0.0
2021-08-08,23.68
2021-08-09,0.0
2021-08-10,0.0
2021-08-11,0.0
2021-08-12,0.0
2021-08-13,0.0
2021-08-14,0.0
2021-08-15,0.0
2021-08-16,0.0
2021-08-17,20.13
2021-08-18,0.0
2021-08-19,20.92
2021-08-20,16.18
2021-08-21,0.0
2021-08-22,0.0
2021-08-23,0.0
2021-08-24,0.0
2021-08-25,0.0
2021-08-26,15.39
2021-08-27,0.0
2021-08-28,18.16
2021-08-29,0.0
2021-08-30,0.0
2021-08-31,0.0
2021-09-01,0.0
2021-09-02,0.0
2021-09-03,0.0
2021-09-04,0.0
2021-09-05,18.55
2021-09-06,0.0
2021-09-07,21.32
2021-09-08,14.61
2021-09-09,0.0
2021-09-10,0.0
2021-09-11,0.0
2021-09-12,16.97
2021-09-13,0.0
2021-09-14,23.68
2021-09-15,25.26
2021-09-16,0.0
2021-09-17,0.0
2021-09-18,0.0
2021-09-19,0.0
2021-09-20,0.0
2021-09-21,0.0
2021-09-22,15.0
2021-09-23,0.0
2021-09-24,0.0
2021-09-25,21.71
2021-09-26,18.16
2021-09-27,15.79
2021-09-28,0.0
2021-09-29,0.0
2021-09-30,19.34
2021-10-01,16.18
2021-10-02,0.0
2021-10-03,16.18
2021-10-04,13.82
2021-10-05,19.74
2021-10-06,0.0
2021-10-07,0.0
2021-10-08,20.13
2021-10-09,32.76
2021-10-10,24.87
2021-10-11,20.53
2021-10-12,0.0
2021-10-13,18.55
2021-10-14,0.0
2021-10-15,31.18
