date,value
2021-01-01,91.0
2021-01-02,86.0
2021-01-03,90.0
2021-01-04,73.0
2021-01-05,75.0
2021-01-06,70.0
2021-01-07,81.0
2021-01-08,87.0
2021-01-09,100.0
2021-01-10,87.0
2021-01-11,85.0
2021-01-12,82.0
2021-01-13,76.0
2021-01-14,76.0
2021-01-15,92.0
2021-01-16,83.0
2021-01-17,90.0
2021-01-18,88.0
2021-01-19,91.0
2021-01-20,86.0
2021-01-21,83.0
2021-01-22,78.0
2021-01-23,81.0
2021-01-24,83.0
2021-01-25,73.0
2021-01-26,92.0
2021-01-27,83.0
2021-01-28,56.0
2021-01-29,83.0
2021-01-30,79.0
2021-01-31,82.0
2021-02-01,66.0
2021-02-02,64.0
2021-02-03,70.0
2021-02-04,66.0
2021-02-05,71.0
2021-02-06,61.0
2021-02-07,58.0
2021-02-08,61.0
2021-02-09,58.0
2021-02-10,50.0
2021-02-11,37.0
2021-02-12,51.0
2021-02-13,46.0
2021-02-14,54.0
2021-02-15,54.0
2021-02-16,42.0
2021-02-17,48.0
2021-02-18,38.0
2021-02-19,47.0
2021-02-20,46.0
2021-02-21,36.0
2021-02-22,41.0
2021-02-23,39.0
2021-02-24,44.0
2021-02-25,32.0
2021-02-26,37.0
2021-02-27,38.0
2021-02-28,51.0
2021-03-01,40.0
2021-03-02,41.0
2021-03-03,49.0
2021-03-04,40.0
2021-03-05,46.0
2021-03-06,49.0
2021-03-07,50.0
2021-03-08,35.0
2021-03-09,37.0
2021-03-10,37.0
2021-03-11,32.0
2021-03-12,42.0
2021-03-13,38.0
2021-03-14,50.0
2021-03-15,38.0
2021-03-16,42.0
2021-03-17,35.0
2021-03-18,37.0
2021-03-19,38.0
2021-03-20,46.0
2021-03-21,47.0
2021-03-22,33.0
2021-03-23,35.0
2021-03-24,34.0
2021-03-25,47.0
2021-03-26,45.0
2021-03-27,56.0
2021-03-28,38.0
2021-03-29,45.0
2021-03-30,38.0
2021-03-31,41.0
2021-04-01,42.0
2021-04-02,44.0
2021-04-03,42.0
2021-04-04,48.0
2021-04-05,48.0
2021-04-06,42.0
2021-04-07,31.0
2021-04-08,40.0
2021-04-09,45.0
2021-04-10,37.0
2021-04-11,41.0
2021-04-12,45.0
2021-04-13,38.0
2021-04-14,41.0
2021-04-15,45.0
2021-04-16,42.0
2021-04-17,43.0
2021-04-18,47.0
2021-04-19,42.0
2021-04-20,40.0
2021-04-21,50.0
2021-04-22,39.0
2021-04-23,50.0
2021-04-24,35.0
2021-04-25,28.0
2021-04-26,31.0
2021-04-27,33.0
2021-04-28,25.0
2021-04-29,25.0
2021-04-30,37.0
2021-05-01,43.0
2021-05-02,30.0
2021-05-03,37.0
2021-05-04,25.0
2021-05-05,32.0
2021-05-06,27.0
2021-05-07,29.0
2021-05-08,32.0
2021-05-09,29.0
2021-05-10,21.0
2021-05-11,28.0
2021-05-12,29.0
2021-05-13,28.0
2021-05-14,27.0
2021-05-15,26.0
2021-05-16,31.0
2021-05-17,29.0
2021-05-18,24.0
2021-05-19,27.0
2021-05-20,23.0
2021-05-21,27.0
2021-05-22,21.0
2021-05-23,32.0
2021-05-24,26.0
2021-05-25,24.0
2021-05-26,26.0
2021-05-27,26.0
2021-05-28,29.0
2021-05-29,24.0
2021-05-30,25.0
2021-05-31,18.0
2021-06-01,19.0
2021-06-02,28.0
2021-06-03,28.0
2021-06-04,25.0
2021-06-05,38.0
2021-06-06,28.0
2021-06-07,30.0
2021-06-08,17.0
2021-06-09,23.0
2021-06-10,23.0
2021-06-11,26.0
2021-06-12,21.0
2021-06-13,21.0
2021-06-14,19.0
2021-06-15,19.0
2021-06-16,21.0
2021-06-17,24.0
2021-06-18,24.0
2021-06-19,29.0
2021-06-20,33.0
2021-06-21,28.0
2021-06-22,19.0
2021-06-23,25.0
2021-06-24,15.0
2021-06-25,28.0
2021-06-26,21.0
2021-06-27,38.0
2021-06-28,25.0
2021-06-29,25.0
2021-06-30,17.0
2021-07-01,32.0
2021-07-02,31.26
2021-07-03,25.13
2021-07-04,33.1
2021-07-05,33.1
2021-07-06,30.03
2021-07-07,31.26
2021-07-08,22.06
2021-07-09,30.65
2021-07-10,26.97
2021-07-11,30.65
2021-07-12,25.74
2021-07-13,31.26
2021-07-14,15.94
2021-07-15,15.32
2021-07-16,22.68
2021-07-17,24.52
2021-07-18,23.29
2021-07-19,19.0
2021-07-20,20.84
2021-07-21,26.97
2021-07-22,12.87
2021-07-23,21.45
2021-07-24,19.0
2021-07-25,15.32
2021-07-26,21.45
2021-07-27,24.52
2021-07-28,15.32
2021-07-29,14.71
2021-07-30,18.39
2021-07-31,20.23
2021-08-01,20.84
2021-08-02,17.16
2021-08-03,16.55
2021-08-04,23.29
2021-08-05,22.06
2021-08-06,22.06
2021-08-07,22.68
2021-08-08,30.03
2021-08-09,14.1
2021-08-10,16.55
2021-08-11,30.65
2021-08-12,17.16
2021-08-13,15.94
2021-08-14,14.71
2021-08-15,20.84
2021-08-16,14.1
2021-08-17,24.52
2021-08-18,22.68
2021-08-19,18.39
2021-08-20,17.16
2021-08-21,17.77
2021-08-22,23.29
2021-08-23,14.1
2021-08-24,20.84
2021-08-25,19.0
2021-08-26,14.71
2021-08-27,19.0
2021-08-28,14.1
2021-08-29,18.39
2021-08-30,18.39
2021-08-31,24.52
2021-09-01,28.81
2021-09-02,19.0
2021-09-03,25.13
2021-09-04,22.68
2021-09-05,21.45
2021-09-06,23.9
2021-09-07,11.03
2021-09-08,24.52
2021-09-09,23.9
2021-09-10,21.45
2021-09-11,30.65
2021-09-12,21.45
2021-09-13,17.16
2021-09-14,14.71
2021-09-15,20.23
2021-09-16,22.06
2021-09-17,20.84
2021-09-18,16.55
2021-09-19,20.23
2021-09-20,19.61
2021-09-21,33.71
2021-09-22,36.16
2021-09-23,20.84
2021-09-24,26.35
2021-09-25,26.97
2021-09-26,24.52
2021-09-27,23.9
2021-09-28,19.0
2021-09-29,20.23
2021-09-30,23.29
2021-10-01,22.68
2021-10-02,22.68
2021-10-03,30.65
2021-10-04,23.29
2021-10-05,26.97
2021-10-06,22.06
2021-10-07,25.13
2021-10-08,25.13
2021-10-09,27.58
2021-10-10,44.74
2021-10-11,26.97
2021-10-12,29.42
2021-10-13,36.16
2021-10-14,38.0
2021-10-15,34.32
2021-10-16,30.65
2021-10-17,32.48
2021-10-18,47.81
2021-10-19,34.94
2021-10-20,34.32
2021-10-21,61.29
2021-10-22,42.29
2021-10-23,46.58
2021-10-24,45.97
2021-10-25,35.55
2021-10-26,30.03
2021-10-27,39.84
2021-10-28,31.87
2021-10-29,35.55
2021-10-30,44.13
2021-10-31,44.74
2021-11-01,42.9
2021-11-02,29.42
2021-11-03,42.29
2021-11-04,33.71
2021-11-05,34.94
2021-11-06,30.65
2021-11-07,41.68
2021-11-08,42.29
2021-11-09,35.55
2021-11-10,51.48
2021-11-11,55.16
2021-11-12,49.65
2021-11-13,36.77
2021-11-14,41.68
2021-11-15,33.1
2021-11-16,39.23
2021-11-17,39.84
2021-11-18,41.06
2021-11-19,48.42
2021-11-20,36.77
2021-11-21,39.23
2021-11-22,46.58
2021-11-23,38.61
2021-11-24,42.9
2021-11-25,49.03
2021-11-26,50.26
2021-11-27,41.68
2021-11-28,60.06
2021-11-29,43.52
2021-11-30,37.39
2021-12-01,37.39
2021-12-02,42.14
2021-12-03,32.87
2021-12-04,38.77
2021-12-05,44.67
2021-12-06,37.92
2021-12-07,45.51
2021-12-08,46.35
2021-12-09,42.98
2021-12-10,53.94
2021-12-11,54.78
2021-12-12,67.42
2021-12-13,53.09
2021-12-14,50.56
2021-12-15,42.14
