date,value
2021-01-01,88.0
2021-01-02,90.0
2021-01-03,92.0
2021-01-04,79.0
2021-01-05,79.0
2021-01-06,73.0
2021-01-07,80.0
2021-01-08,84.0
2021-01-09,88.0
2021-01-10,93.0
2021-01-11,88.0
2021-01-12,80.0
2021-01-13,77.0
2021-01-14,84.0
2021-01-15,96.0
2021-01-16,97.0
2021-01-17,100.0
2021-01-18,94.0
2021-01-19,89.0
2021-01-20,82.0
2021-01-21,81.0
2021-01-22,81.0
2021-01-23,98.0
2021-01-24,94.0
2021-01-25,90.0
2021-01-26,88.0
2021-01-27,85.0
2021-01-28,73.0
2021-01-29,79.0
2021-01-30,83.0
2021-01-31,83.0
2021-02-01,77.0
2021-02-02,73.0
2021-02-03,69.0
2021-02-04,80.0
2021-02-05,75.0
2021-02-06,73.0
2021-02-07,82.0
2021-02-08,63.0
2021-02-09,60.0
2021-02-10,56.0
2021-02-11,38.0
2021-02-12,44.0
2021-02-13,34.0
2021-02-14,43.0
2021-02-15,42.0
2021-02-16,36.0
2021-02-17,37.0
2021-02-18,38.0
2021-02-19,32.0
2021-02-20,37.0
2021-02-21,38.0
2021-02-22,42.0
2021-02-23,34.0
2021-02-24,36.0
2021-02-25,32.0
2021-02-26,37.0
2021-02-27,38.0
2021-02-28,42.0
2021-03-01,38.0
2021-03-02,39.0
2021-03-03,37.0
2021-03-04,40.0
2021-03-05,37.0
2021-03-06,40.0
2021-03-07,42.0
2021-03-08,36.0
2021-03-09,38.0
2021-03-10,33.0
2021-03-11,40.0
2021-03-12,39.0
2021-03-13,41.0
2021-03-14,45.0
2021-03-15,38.0
2021-03-16,38.0
2021-03-17,47.0
2021-03-18,38.0
2021-03-19,39.0
2021-03-20,41.0
2021-03-21,43.0
2021-03-22,36.0
2021-03-23,38.0
2021-03-24,38.0
2021-03-25,41.0
2021-03-26,38.0
2021-03-27,41.0
2021-03-28,44.0
2021-03-29,40.0
2021-03-30,38.0
2021-03-31,40.0
2021-04-01,36.0
2021-04-02,37.0
2021-04-03,40.0
2021-04-04,42.0
2021-04-05,38.0
2021-04-06,42.0
2021-04-07,40.0
2021-04-08,35.0
2021-04-09,39.0
2021-04-10,38.0
2021-04-11,36.0
2021-04-12,38.0
2021-04-13,37.0
2021-04-14,35.0
2021-04-15,41.0
2021-04-16,41.0
2021-04-17,38.0
2021-04-18,44.0
2021-04-19,42.0
2021-04-20,35.0
2021-04-21,46.0
2021-04-22,39.0
2021-04-23,34.0
2021-04-24,31.0
2021-04-25,40.0
2021-04-26,37.0
2021-04-27,33.0
2021-04-28,35.0
2021-04-29,33.0
2021-04-30,37.0
2021-05-01,42.0
2021-05-02,29.0
2021-05-03,33.0
2021-05-04,36.0
2021-05-05,32.0
2021-05-06,30.0
2021-05-07,25.0
2021-05-08,29.0
2021-05-09,35.0
2021-05-10,28.0
2021-05-11,23.0
2021-05-12,25.0
2021-05-13,26.0
2021-05-14,22.0
2021-05-15,27.0
2021-05-16,33.0
2021-05-17,29.0
2021-05-18,22.0
2021-05-19,26.0
2021-05-20,25.0
2021-05-21,24.0
2021-05-22,22.0
2021-05-23,27.0
2021-05-24,22.0
2021-05-25,26.0
2021-05-26,24.0
2021-05-27,23.0
2021-05-28,21.0
2021-05-29,22.0
2021-05-30,22.0
2021-05-31,20.0
2021-06-01,24.0
2021-06-02,20.0
2021-06-03,20.0
2021-06-04,21.0
2021-06-05,23.0
2021-06-06,29.0
2021-06-07,19.0
2021-06-08,23.0
2021-06-09,27.0
2021-06-10,20.0
2021-06-11,21.0
2021-06-12,21.0
