date,value
2021-01-01,83.52
2021-01-02,82.55
2021-01-03,95.17
2021-01-04,69.92
2021-01-05,74.78
2021-01-06,82.55
2021-01-07,72.84
2021-01-08,85.46
2021-01-09,89.34
2021-01-10,89.34
2021-01-11,74.78
2021-01-12,75.75
2021-01-13,69.92
2021-01-14,80.6
2021-01-15,92.26
2021-01-16,90.32
2021-01-17,97.11
2021-01-18,87.4
2021-01-19,89.34
2021-01-20,87.4
2021-01-21,83.52
2021-01-22,80.6
2021-01-23,95.17
2021-01-24,92.26
2021-01-25,86.43
2021-01-26,88.37
2021-01-27,84.49
2021-01-28,67.98
2021-01-29,65.07
2021-01-30,81.58
2021-01-31,94.2
2021-02-01,65.07
2021-02-02,65.07
2021-02-03,67.98
2021-02-04,63.12
2021-02-05,78.66
2021-02-06,79.63
2021-02-07,81.58
2021-02-08,77.69
2021-02-09,60.21
2021-02-10,71.86
2021-02-11,51.47
2021-02-12,62.15
2021-02-13,55.35
2021-02-14,62.15
2021-02-15,62.15
2021-02-16,58.27
2021-02-17,50.5
2021-02-18,56.33
2021-02-19,50.5
2021-02-20,50.5
2021-02-21,50.5
2021-02-22,52.44
2021-02-23,50.5
2021-02-24,47.59
2021-02-25,36.9
2021-02-26,41.76
2021-02-27,43.7
2021-02-28,53.41
2021-03-01,37.87
2021-03-02,42.73
2021-03-03,48.56
2021-03-04,49.53
2021-03-05,53.41
2021-03-06,46.61
2021-03-07,60.21
2021-03-08,33.02
2021-03-09,40.79
2021-03-10,35.93
2021-03-11,42.73
2021-03-12,49.53
2021-03-13,44.67
2021-03-14,59.24
2021-03-15,42.73
2021-03-16,43.7
2021-03-17,37.87
2021-03-18,48.56
2021-03-19,39.82
2021-03-20,44.67
2021-03-21,49.53
2021-03-22,38.85
2021-03-23,43.7
2021-03-24,47.59
2021-03-25,37.87
2021-03-26,38.85
2021-03-27,49.53
2021-03-28,53.41
2021-03-29,48.56
2021-03-30,43.7
2021-03-31,40.79
2021-04-01,41.76
2021-04-02,40.79
2021-04-03,41.76
2021-04-04,61.18
2021-04-05,38.85
2021-04-06,48.56
2021-04-07,38.85
2021-04-08,38.85
2021-04-09,47.59
2021-04-10,41.76
2021-04-11,49.53
2021-04-12,43.7
2021-04-13,32.05
2021-04-14,35.93
