date,value
2021-01-01,97.0
2021-01-02,89.0
2021-01-03,84.0
2021-01-04,65.0
2021-01-05,67.0
2021-01-06,77.0
2021-01-07,82.0
2021-01-08,80.0
2021-01-09,93.0
2021-01-10,91.0
2021-01-11,81.0
2021-01-12,76.0
2021-01-13,73.0
2021-01-14,81.0
2021-01-15,85.0
2021-01-16,87.0
2021-01-17,96.0
2021-01-18,79.0
2021-01-19,81.0
2021-01-20,82.0
2021-01-21,79.0
2021-01-22,75.0
2021-01-23,100.0
2021-01-24,91.0
2021-01-25,79.0
2021-01-26,71.0
2021-01-27,79.0
2021-01-28,74.0
2021-01-29,76.0
2021-01-30,82.0
2021-01-31,81.0
2021-02-01,63.0
2021-02-02,69.0
2021-02-03,65.0
2021-02-04,63.0
2021-02-05,66.0
2021-02-06,64.0
2021-02-07,66.0
2021-02-08,62.0
2021-02-09,51.0
2021-02-10,50.0
2021-02-11,36.0
2021-02-12,39.0
2021-02-13,45.0
2021-02-14,45.0
2021-02-15,45.0
2021-02-16,40.0
2021-02-17,40.0
2021-02-18,37.0
2021-02-19,39.0
2021-02-20,42.0
2021-02-21,50.0
2021-02-22,44.0
2021-02-23,36.0
2021-02-24,39.0
2021-02-25,39.0
2021-02-26,40.0
2021-02-27,40.0
2021-02-28,42.0
2021-03-01,43.0
2021-03-02,45.0
2021-03-03,48.0
2021-03-04,42.0
2021-03-05,49.0
2021-03-06,56.0
2021-03-07,58.0
2021-03-08,43.0
2021-03-09,44.0
2021-03-10,42.0
2021-03-11,46.0
2021-03-12,44.0
2021-03-13,52.0
2021-03-14,49.0
2021-03-15,38.0
2021-03-16,46.0
2021-03-17,42.0
2021-03-18,46.0
2021-03-19,44.0
2021-03-20,46.0
2021-03-21,39.0
2021-03-22,38.0
2021-03-23,38.0
2021-03-24,44.0
2021-03-25,42.0
2021-03-26,39.0
2021-03-27,46.0
2021-03-28,45.0
2021-03-29,33.0
2021-03-30,33.0
2021-03-31,41.0
2021-04-01,32.0
2021-04-02,44.0
2021-04-03,42.0
2021-04-04,45.0
2021-04-05,44.0
2021-04-06,38.0
2021-04-07,37.0
2021-04-08,48.0
2021-04-09,38.0
2021-04-10,47.0
2021-04-11,44.0
2021-04-12,36.0
2021-04-13,37.0
2021-04-14,37.0
2021-04-15,41.0
2021-04-16,41.0
2021-04-17,38.0
2021-04-18,48.0
2021-04-19,33.0
2021-04-20,38.0
2021-04-21,49.0
2021-04-22,40.0
2021-04-23,37.0
2021-04-24,43.0
2021-04-25,40.0
2021-04-26,36.0
2021-04-27,33.0
2021-04-28,29.0
2021-04-29,29.0
2021-04-30,35.0
2021-05-01,35.0
2021-05-02,38.0
2021-05-03,27.0
2021-05-04,28.0
2021-05-05,27.0
2021-05-06,30.0
2021-05-07,21.0
2021-05-08,27.0
2021-05-09,29.0
2021-05-10,24.0
2021-05-11,18.0
2021-05-12,25.0
2021-05-13,28.0
2021-05-14,24.0
2021-05-15,28.0
2021-05-16,30.0
2021-05-17,25.0
2021-05-18,25.0
2021-05-19,28.0
2021-05-20,29.0
2021-05-21,25.0
2021-05-22,28.0
2021-05-23,25.0
2021-05-24,26.0
2021-05-25,22.0
2021-05-26,24.0
2021-05-27,25.0
2021-05-28,21.0
2021-05-29,25.0
2021-05-30,23.0
2021-05-31,23.0
2021-06-01,18.0
2021-06-02,23.0
2021-06-03,20.0
2021-06-04,25.0
2021-06-05,27.0
2021-06-06,34.0
2021-06-07,24.0
2021-06-08,22.0
2021-06-09,28.0
2021-06-10,24.0
2021-06-11,21.0
2021-06-12,20.0
2021-06-13,24.0
2021-06-14,23.0
2021-06-15,22.0
2021-06-16,27.0
2021-06-17,17.0
2021-06-18,26.0
2021-06-19,22.0
2021-06-20,27.0
2021-06-21,22.0
2021-06-22,20.0
2021-06-23,22.0
2021-06-24,26.0
2021-06-25,27.0
2021-06-26,28.0
2021-06-27,25.0
2021-06-28,21.0
2021-06-29,21.0
2021-06-30,26.0
2021-07-01,22.0
2021-07-02,24.58
2021-07-03,21.75
2021-07-04,30.73
2021-07-05,26.47
2021-07-06,29.31
2021-07-07,25.53
2021-07-08,25.05
2021-07-09,23.64
2021-07-10,26.0
2021-07-11,20.8
2021-07-12,25.05
2021-07-13,23.16
2021-07-14,20.8
2021-07-15,25.53
2021-07-16,28.84
2021-07-17,24.58
2021-07-18,21.27
2021-07-19,21.75
2021-07-20,22.69
2021-07-21,21.27
2021-07-22,20.8
2021-07-23,17.49
2021-07-24,27.42
2021-07-25,18.91
2021-07-26,21.75
2021-07-27,23.64
2021-07-28,19.38
2021-07-29,17.02
2021-07-30,19.85
2021-07-31,17.49
2021-08-01,21.27
2021-08-02,21.75
2021-08-03,13.24
2021-08-04,17.96
