date,value
2021-01-01,100.0
2021-01-02,87.0
2021-01-03,85.0
2021-01-04,65.0
2021-01-05,69.0
2021-01-06,65.0
2021-01-07,81.0
2021-01-08,86.0
2021-01-09,92.0
2021-01-10,87.0
2021-01-11,76.0
2021-01-12,74.0
2021-01-13,73.0
2021-01-14,71.0
2021-01-15,75.0
2021-01-16,80.0
2021-01-17,91.0
2021-01-18,73.0
2021-01-19,75.0
2021-01-20,70.0
2021-01-21,73.0
2021-01-22,78.0
2021-01-23,97.0
2021-01-24,92.0
2021-01-25,62.0
2021-01-26,66.0
2021-01-27,73.0
2021-01-28,57.0
2021-01-29,66.0
2021-01-30,74.0
2021-01-31,61.0
2021-02-01,65.0
2021-02-02,65.0
2021-02-03,58.0
2021-02-04,44.0
2021-02-05,50.0
2021-02-06,62.0
2021-02-07,68.0
2021-02-08,52.0
2021-02-09,45.0
2021-02-10,44.0
2021-02-11,21.0
2021-02-12,35.0
2021-02-13,34.0
2021-02-14,28.0
2021-02-15,25.0
2021-02-16,38.0
2021-02-17,32.0
2021-02-18,27.0
2021-02-19,38.0
2021-02-20,35.0
2021-02-21,33.0
2021-02-22,36.0
2021-02-23,26.0
2021-02-24,31.0
2021-02-25,30.0
2021-02-26,33.0
2021-02-27,39.0
2021-02-28,46.0
2021-03-01,41.0
2021-03-02,30.0
2021-03-03,44.0
2021-03-04,31.0
2021-03-05,45.0
2021-03-06,40.0
2021-03-07,39.0
2021-03-08,34.0
2021-03-09,36.0
2021-03-10,34.0
2021-03-11,34.0
2021-03-12,40.0
2021-03-13,43.0
2021-03-14,50.0
2021-03-15,29.0
2021-03-16,38.0
2021-03-17,33.0
2021-03-18,37.0
2021-03-19,42.0
2021-03-20,44.0
2021-03-21,43.0
2021-03-22,41.0
2021-03-23,36.0
2021-03-24,37.0
2021-03-25,37.0
2021-03-26,42.0
2021-03-27,33.0
2021-03-28,34.0
2021-03-29,34.0
2021-03-30,39.0
2021-03-31,32.0
2021-04-01,29.0
2021-04-02,32.0
2021-04-03,39.0
2021-04-04,41.0
2021-04-05,37.0
2021-04-06,36.0
2021-04-07,37.0
2021-04-08,25.0
2021-04-09,26.0
2021-04-10,38.0
2021-04-11,26.0
2021-04-12,39.0
2021-04-13,34.0
2021-04-14,40.0
2021-04-15,37.0
2021-04-16,40.0
2021-04-17,31.0
2021-04-18,36.0
2021-04-19,30.0
