date,value
2021-01-01,70.0
2021-01-02,89.0
2021-01-03,69.0
2021-01-04,60.0
2021-01-05,73.0
2021-01-06,68.0
2021-01-07,75.0
2021-01-08,82.0
2021-01-09,94.0
2021-01-10,100.0
2021-01-11,82.0
2021-01-12,65.0
2021-01-13,73.0
2021-01-14,71.0
2021-01-15,72.0
2021-01-16,81.0
2021-01-17,91.0
2021-01-18,77.0
2021-01-19,70.0
2021-01-20,76.0
2021-01-21,70.0
2021-01-22,68.0
2021-01-23,85.0
2021-01-24,82.0
2021-01-25,71.0
2021-01-26,66.0
2021-01-27,67.0
2021-01-28,58.0
2021-01-29,67.0
2021-01-30,64.0
2021-01-31,68.0
2021-02-01,54.0
2021-02-02,69.0
2021-02-03,56.0
2021-02-04,68.0
2021-02-05,75.0
2021-02-06,68.0
2021-02-07,66.0
2021-02-08,64.0
2021-02-09,57.0
2021-02-10,57.0
2021-02-11,53.0
2021-02-12,58.0
2021-02-13,40.0
2021-02-14,46.0
2021-02-15,48.0
2021-02-16,35.0
2021-02-17,43.0
2021-02-18,29.0
2021-02-19,39.0
2021-02-20,34.0
2021-02-21,36.0
2021-02-22,36.0
2021-02-23,32.0
2021-02-24,38.0
2021-02-25,37.0
2021-02-26,33.0
2021-02-27,33.0
2021-02-28,45.0
2021-03-01,35.0
2021-03-02,34.0
2021-03-03,45.0
2021-03-04,38.0
2021-03-05,41.0
2021-03-06,41.0
2021-03-07,47.0
2021-03-08,34.0
2021-03-09,28.0
2021-03-10,46.0
2021-03-11,36.0
2021-03-12,43.0
2021-03-13,44.0
2021-03-14,47.0
2021-03-15,49.0
2021-03-16,43.0
2021-03-17,47.0
2021-03-18,41.0
2021-03-19,37.0
2021-03-20,46.0
2021-03-21,36.0
2021-03-22,46.0
2021-03-23,38.0
2021-03-24,40.0
2021-03-25,43.0
2021-03-26,43.0
2021-03-27,37.0
2021-03-28,45.0
2021-03-29,40.0
2021-03-30,47.0
2021-03-31,31.0
2021-04-01,30.0
2021-04-02,40.0
2021-04-03,43.0
2021-04-04,52.0
2021-04-05,44.0
2021-04-06,47.0
2021-04-07,47.0
2021-04-08,50.0
2021-04-09,35.0
2021-04-10,43.0
2021-04-11,44.0
2021-04-12,44.0
2021-04-13,35.0
2021-04-14,36.0
2021-04-15,48.0
2021-04-16,43.0
2021-04-17,51.0
2021-04-18,47.0
2021-04-19,51.0
2021-04-20,44.0
2021-04-21,49.0
2021-04-22,40.0
2021-04-23,47.0
2021-04-24,45.0
2021-04-25,51.0
2021-04-26,36.0
2021-04-27,37.0
2021-04-28,34.0
2021-04-29,33.0
2021-04-30,47.0
2021-05-01,47.0
2021-05-02,41.0
2021-05-03,32.0
2021-05-04,37.0
2021-05-05,33.0
2021-05-06,35.0
2021-05-07,30.0
2021-05-08,35.0
2021-05-09,33.0
2021-05-10,34.0
2021-05-11,30.0
2021-05-12,32.0
2021-05-13,25.0
2021-05-14,29.0
2021-05-15,36.0
2021-05-16,53.0
2021-05-17,28.0
2021-05-18,30.0
2021-05-19,30.0
2021-05-20,33.0
2021-05-21,32.0
2021-05-22,36.0
2021-05-23,35.0
2021-05-24,35.0
2021-05-25,32.0
2021-05-26,33.0
2021-05-27,34.0
2021-05-28,31.0
2021-05-29,33.0
2021-05-30,34.0
2021-05-31,30.0
2021-06-01,25.0
2021-06-02,25.0
2021-06-03,22.0
2021-06-04,28.0
2021-06-05,38.0
2021-06-06,34.0
2021-06-07,32.0
2021-06-08,35.0
2021-06-09,28.0
2021-06-10,32.0
2021-06-11,20.0
2021-06-12,25.0
2021-06-13,35.0
2021-06-14,20.0
2021-06-15,25.0
2021-06-16,26.0
2021-06-17,23.0
2021-06-18,29.0
2021-06-19,27.0
2021-06-20,32.0
2021-06-21,29.0
2021-06-22,28.0
2021-06-23,24.0
2021-06-24,28.0
2021-06-25,27.0
2021-06-26,32.0
2021-06-27,33.0
2021-06-28,21.0
2021-06-29,26.0
2021-06-30,27.0
2021-07-01,33.0
2021-07-02,21.11
2021-07-03,30.96
2021-07-04,31.67
2021-07-05,33.07
2021-07-06,33.78
2021-07-07,26.74
2021-07-08,30.96
2021-07-09,24.63
2021-07-10,32.37
2021-07-11,34.48
2021-07-12,26.04
2021-07-13,28.85
2021-07-14,27.44
2021-07-15,31.67
2021-07-16,38.7
2021-07-17,26.74
2021-07-18,30.96
2021-07-19,29.56
2021-07-20,23.93
2021-07-21,23.93
2021-07-22,17.59
2021-07-23,26.74
2021-07-24,29.56
2021-07-25,20.41
2021-07-26,20.41
2021-07-27,28.85
2021-07-28,30.96
2021-07-29,23.22
2021-07-30,20.41
2021-07-31,23.93
2021-08-01,23.93
2021-08-02,23.22
2021-08-03,23.93
2021-08-04,29.56
2021-08-05,28.85
2021-08-06,34.48
2021-08-07,25.33
2021-08-08,31.67
2021-08-09,30.26
2021-08-10,23.22
2021-08-11,17.59
2021-08-12,31.67
