date,value
2021-01-01,84.71
2021-01-02,76.85
2021-01-03,87.33
2021-01-04,62.01
2021-01-05,66.37
2021-01-06,59.39
2021-01-07,75.1
2021-01-08,66.37
2021-01-09,75.1
2021-01-10,85.58
2021-01-11,67.24
2021-01-12,71.61
2021-01-13,60.26
2021-01-14,73.36
2021-01-15,81.22
2021-01-16,78.6
2021-01-17,86.46
2021-01-18,62.88
2021-01-19,51.53
2021-01-20,70.74
2021-01-21,69.86
2021-01-22,64.62
2021-01-23,75.1
2021-01-24,77.72
2021-01-25,70.74
2021-01-26,86.46
2021-01-27,71.61
2021-01-28,45.41
2021-01-29,62.88
2021-01-30,60.26
2021-01-31,71.61
2021-02-01,57.64
2021-02-02,56.77
2021-02-03,58.51
2021-02-04,57.64
2021-02-05,82.09
2021-02-06,53.27
2021-02-07,68.12
2021-02-08,68.12
2021-02-09,60.26
2021-02-10,77.72
2021-02-11,46.29
2021-02-12,74.23
2021-02-13,37.55
2021-02-14,51.53
2021-02-15,41.92
2021-02-16,25.33
2021-02-17,49.78
2021-02-18,46.29
2021-02-19,62.88
2021-02-20,52.4
2021-02-21,52.4
2021-02-22,34.06
2021-02-23,48.03
2021-02-24,49.78
2021-02-25,50.65
2021-02-26,47.16
2021-02-27,51.53
2021-02-28,44.54
2021-03-01,48.03
2021-03-02,49.78
2021-03-03,55.89
2021-03-04,54.15
2021-03-05,53.27
2021-03-06,54.15
2021-03-07,71.61
2021-03-08,58.51
2021-03-09,54.15
2021-03-10,55.02
2021-03-11,68.99
2021-03-12,51.53
2021-03-13,50.65
2021-03-14,63.75
2021-03-15,58.51
2021-03-16,55.89
2021-03-17,62.88
2021-03-18,57.64
2021-03-19,54.15
2021-03-20,69.86
2021-03-21,62.01
2021-03-22,40.17
2021-03-23,46.29
2021-03-24,47.16
2021-03-25,42.79
2021-03-26,51.53
2021-03-27,62.01
2021-03-28,48.03
2021-03-29,39.3
2021-03-30,44.54
2021-03-31,50.65
2021-04-01,48.03
2021-04-02,64.62
2021-04-03,62.01
2021-04-04,68.12
2021-04-05,47.16
2021-04-06,45.41
2021-04-07,46.29
2021-04-08,57.64
2021-04-09,48.91
2021-04-10,53.27
2021-04-11,55.89
2021-04-12,48.03
2021-04-13,50.65
2021-04-14,32.31
2021-04-15,50.65
2021-04-16,52.4
2021-04-17,44.54
2021-04-18,70.74
2021-04-19,60.26
2021-04-20,42.79
2021-04-21,58.51
2021-04-22,55.89
2021-04-23,48.91
2021-04-24,58.51
2021-04-25,74.23
2021-04-26,41.92
2021-04-27,50.65
2021-04-28,43.67
2021-04-29,48.91
2021-04-30,62.88
2021-05-01,57.64
2021-05-02,35.81
2021-05-03,34.93
2021-05-04,40.17
2021-05-05,39.3
2021-05-06,34.06
2021-05-07,30.57
2021-05-08,45.41
2021-05-09,47.16
2021-05-10,33.19
2021-05-11,29.69
2021-05-12,34.06
2021-05-13,39.3
2021-05-14,45.41
2021-05-15,44.54
2021-05-16,59.39
2021-05-17,41.92
2021-05-18,46.29
2021-05-19,26.2
2021-05-20,40.17
2021-05-21,29.69
2021-05-22,41.05
2021-05-23,39.3
2021-05-24,37.55
2021-05-25,47.16
2021-05-26,34.06
2021-05-27,45.41
2021-05-28,37.55
2021-05-29,43.67
2021-05-30,39.3
2021-05-31,51.53
2021-06-01,39.3
2021-06-02,32.31
2021-06-03,43.67
2021-06-04,38.43
2021-06-05,28.82
2021-06-06,42.79
2021-06-07,43.67
2021-06-08,34.06
2021-06-09,42.79
2021-06-10,47.16
2021-06-11,26.2
2021-06-12,23.58
2021-06-13,49.78
2021-06-14,36.68
2021-06-15,37.55
2021-06-16,50.65
2021-06-17,34.06
2021-06-18,29.69
2021-06-19,44.54
2021-06-20,42.79
2021-06-21,40.17
2021-06-22,34.06
2021-06-23,29.69
2021-06-24,42.79
2021-06-25,36.68
2021-06-26,44.54
2021-06-27,39.3
2021-06-28,40.17
2021-06-29,31.44
2021-06-30,34.06
2021-07-01,39.3
2021-07-02,48.52
2021-07-03,35.35
2021-07-04,36.73
2021-07-05,29.11
2021-07-06,26.34
2021-07-07,31.88
2021-07-08,27.72
2021-07-09,39.51
2021-07-10,41.59
2021-07-11,49.9
2021-07-12,33.96
2021-07-13,36.73
2021-07-14,45.05
2021-07-15,29.11
2021-07-16,39.51
2021-07-17,34.66
2021-07-18,29.11
2021-07-19,40.89
2021-07-20,29.8
2021-07-21,29.11
2021-07-22,43.67
2021-07-23,38.12
2021-07-24,29.8
2021-07-25,49.21
2021-07-26,29.11
2021-07-27,24.26
2021-07-28,33.96
2021-07-29,35.35
2021-07-30,32.58
2021-07-31,26.34
2021-08-01,31.88
2021-08-02,22.87
2021-08-03,29.8
2021-08-04,39.51
2021-08-05,21.49
2021-08-06,39.51
2021-08-07,39.51
