date,value
2021-01-01,92.0
2021-01-02,81.0
2021-01-03,76.0
2021-01-04,70.0
2021-01-05,67.0
2021-01-06,43.0
2021-01-07,69.0
2021-01-08,63.0
2021-01-09,79.0
2021-01-10,83.0
2021-01-11,63.0
2021-01-12,63.0
2021-01-13,57.0
2021-01-14,55.0
2021-01-15,79.0
2021-01-16,80.0
2021-01-17,73.0
2021-01-18,79.0
2021-01-19,69.0
2021-01-20,67.0
2021-01-21,69.0
2021-01-22,80.0
2021-01-23,83.0
2021-01-24,100.0
2021-01-25,75.0
2021-01-26,64.0
2021-01-27,81.0
2021-01-28,66.0
2021-01-29,78.0
2021-01-30,80.0
2021-01-31,90.0
2021-02-01,67.0
2021-02-02,89.0
2021-02-03,63.0
2021-02-04,70.0
2021-02-05,83.0
2021-02-06,86.0
2021-02-07,93.0
2021-02-08,83.0
2021-02-09,67.0
2021-02-10,74.0
2021-02-11,40.0
2021-02-12,36.0
2021-02-13,34.0
2021-02-14,54.0
2021-02-15,38.0
2021-02-16,47.0
2021-02-17,51.0
2021-02-18,40.0
2021-02-19,31.0
2021-02-20,40.0
2021-02-21,37.0
2021-02-22,41.0
2021-02-23,20.0
2021-02-24,35.0
2021-02-25,41.0
2021-02-26,35.0
2021-02-27,36.0
2021-02-28,43.0
2021-03-01,38.0
2021-03-02,30.0
2021-03-03,40.0
2021-03-04,30.0
2021-03-05,41.0
2021-03-06,48.0
2021-03-07,54.0
2021-03-08,43.0
2021-03-09,48.0
2021-03-10,34.0
2021-03-11,42.0
2021-03-12,40.0
2021-03-13,47.0
2021-03-14,47.0
2021-03-15,32.0
2021-03-16,35.0
2021-03-17,42.0
2021-03-18,48.0
2021-03-19,28.0
2021-03-20,41.0
2021-03-21,41.0
2021-03-22,34.0
2021-03-23,20.0
2021-03-24,32.0
2021-03-25,28.0
2021-03-26,27.0
2021-03-27,43.0
2021-03-28,49.0
2021-03-29,33.0
2021-03-30,38.0
2021-03-31,36.0
2021-04-01,33.0
2021-04-02,35.0
2021-04-03,37.0
2021-04-04,45.0
2021-04-05,31.0
2021-04-06,37.0
2021-04-07,26.0
2021-04-08,33.0
2021-04-09,35.0
2021-04-10,29.0
2021-04-11,41.0
