date,value
2021-01-01,86.0
2021-01-02,78.0
2021-01-03,97.0
2021-01-04,80.0
2021-01-05,70.0
2021-01-06,93.0
2021-01-07,61.0
2021-01-08,80.0
2021-01-09,65.0
2021-01-10,94.0
2021-01-11,83.0
2021-01-12,53.0
2021-01-13,70.0
2021-01-14,66.0
2021-01-15,74.0
2021-01-16,97.0
2021-01-17,100.0
2021-01-18,80.0
2021-01-19,78.0
2021-01-20,66.0
2021-01-21,69.0
2021-01-22,84.0
2021-01-23,77.0
2021-01-24,73.0
2021-01-25,72.0
2021-01-26,80.0
2021-01-27,77.0
2021-01-28,60.0
2021-01-29,87.0
2021-01-30,73.0
2021-01-31,86.0
2021-02-01,67.0
2021-02-02,67.0
2021-02-03,72.0
2021-02-04,66.0
2021-02-05,78.0
2021-02-06,85.0
2021-02-07,82.0
2021-02-08,99.0
2021-02-09,69.0
2021-02-10,55.0
2021-02-11,47.0
2021-02-12,68.0
2021-02-13,62.0
2021-02-14,63.0
2021-02-15,82.0
2021-02-16,72.0
2021-02-17,68.0
2021-02-18,50.0
2021-02-19,71.0
2021-02-20,79.0
2021-02-21,58.0
2021-02-22,70.0
2021-02-23,57.0
2021-02-24,52.0
2021-02-25,73.0
2021-02-26,70.0
2021-02-27,56.0
2021-02-28,73.0
2021-03-01,59.0
2021-03-02,58.0
2021-03-03,56.0
2021-03-04,85.0
2021-03-05,75.0
2021-03-06,71.0
2021-03-07,85.0
2021-03-08,63.0
2021-03-09,79.0
2021-03-10,62.0
2021-03-11,48.0
2021-03-12,73.0
2021-03-13,78.0
2021-03-14,69.0
2021-03-15,67.0
2021-03-16,73.0
2021-03-17,51.0
2021-03-18,61.0
2021-03-19,78.0
2021-03-20,47.0
2021-03-21,81.0
2021-03-22,56.0
2021-03-23,39.0
2021-03-24,48.0
2021-03-25,61.0
2021-03-26,61.0
2021-03-27,71.0
2021-03-28,47.0
2021-03-29,68.0
2021-03-30,65.0
2021-03-31,56.0
2021-04-01,54.0
2021-04-02,60.0
2021-04-03,60.0
2021-04-04,97.0
2021-04-05,58.0
2021-04-06,43.0
2021-04-07,55.0
2021-04-08,77.0
2021-04-09,65.0
2021-04-10,69.0
2021-04-11,62.0
2021-04-12,62.0
2021-04-13,53.0
2021-04-14,50.0
2021-04-15,62.0
2021-04-16,64.0
2021-04-17,67.0
2021-04-18,64.0
2021-04-19,39.0
2021-04-20,77.0
2021-04-21,83.0
2021-04-22,69.0
2021-04-23,72.0
2021-04-24,64.0
2021-04-25,71.0
2021-04-26,61.0
2021-04-27,56.0
2021-04-28,62.0
2021-04-29,66.0
2021-04-30,71.0
2021-05-01,65.0
2021-05-02,56.0
2021-05-03,54.0
2021-05-04,64.0
2021-05-05,47.0
2021-05-06,53.0
2021-05-07,43.0
2021-05-08,49.0
2021-05-09,57.0
2021-05-10,52.0
2021-05-11,38.0
2021-05-12,50.0
2021-05-13,28.0
2021-05-14,47.0
2021-05-15,40.0
2021-05-16,48.0
2021-05-17,52.0
2021-05-18,40.0
2021-05-19,51.0
2021-05-20,38.0
2021-05-21,50.0
2021-05-22,54.0
2021-05-23,45.0
2021-05-24,42.0
2021-05-25,49.0
2021-05-26,40.0
2021-05-27,41.0
2021-05-28,41.0
2021-05-29,40.0
2021-05-30,38.0
2021-05-31,37.0
2021-06-01,34.0
2021-06-02,21.0
2021-06-03,34.0
2021-06-04,38.0
2021-06-05,46.0
2021-06-06,61.0
2021-06-07,39.0
2021-06-08,33.0
2021-06-09,33.0
2021-06-10,37.0
2021-06-11,47.0
2021-06-12,41.0
2021-06-13,32.0
2021-06-14,47.0
2021-06-15,44.0
2021-06-16,39.0
2021-06-17,39.0
2021-06-18,31.0
2021-06-19,48.0
2021-06-20,34.0
2021-06-21,29.0
2021-06-22,45.0
2021-06-23,41.0
2021-06-24,40.0
2021-06-25,35.0
2021-06-26,22.0
2021-06-27,23.0
2021-06-28,27.0
2021-06-29,28.0
2021-06-30,36.0
2021-07-01,42.0
2021-07-02,30.43
2021-07-03,33.48
2021-07-04,42.0
2021-07-05,46.87
2021-07-06,23.74
2021-07-07,40.17
2021-07-08,38.35
2021-07-09,32.87
2021-07-10,35.3
2021-07-11,38.35
2021-07-12,37.13
2021-07-13,45.65
2021-07-14,27.39
2021-07-15,34.7
2021-07-16,36.52
2021-07-17,32.26
2021-07-18,34.09
2021-07-19,32.26
2021-07-20,39.57
2021-07-21,28.0
2021-07-22,39.57
2021-07-23,31.65
2021-07-24,28.61
2021-07-25,33.48
2021-07-26,32.26
2021-07-27,29.22
2021-07-28,37.74
2021-07-29,26.78
2021-07-30,32.87
2021-07-31,28.61
2021-08-01,37.13
2021-08-02,32.87
2021-08-03,27.39
2021-08-04,0.0
2021-08-05,26.17
2021-08-06,43.83
2021-08-07,27.39
2021-08-08,29.22
2021-08-09,26.17
2021-08-10,30.43
2021-08-11,32.87
2021-08-12,30.43
2021-08-13,37.13
2021-08-14,21.91
2021-08-15,30.43
2021-08-16,35.3
2021-08-17,31.65
2021-08-18,28.0
2021-08-19,0.0
2021-08-20,26.17
2021-08-21,29.22
2021-08-22,33.48
2021-08-23,23.13
2021-08-24,0.0
2021-08-25,21.3
2021-08-26,30.43
2021-08-27,28.0
2021-08-28,20.7
2021-08-29,34.7
2021-08-30,0.0
2021-08-31,0.0
2021-09-01,0.0
2021-09-02,32.26
2021-09-03,0.0
2021-09-04,20.09
2021-09-05,0.0
2021-09-06,21.91
2021-09-07,21.3
2021-09-08,29.22
2021-09-09,24.35
2021-09-10,0.0
2021-09-11,0.0
2021-09-12,25.57
2021-09-13,24.35
2021-09-14,27.39
2021-09-15,16.43
2021-09-16,20.7
2021-09-17,0.0
2021-09-18,23.74
2021-09-19,31.65
2021-09-20,17.65
2021-09-21,0.0
2021-09-22,23.74
2021-09-23,33.48
2021-09-24,30.43
2021-09-25,16.43
2021-09-26,42.61
2021-09-27,34.09
2021-09-28,20.09
2021-09-29,39.57
2021-09-30,24.35
2021-10-01,28.61
2021-10-02,35.91
2021-10-03,32.87
2021-10-04,28.61
2021-10-05,20.09
2021-10-06,26.17
2021-10-07,25.57
2021-10-08,37.13
2021-10-09,40.78
2021-10-10,43.83
2021-10-11,40.78
2021-10-12,28.61
2021-10-13,21.3
2021-10-14,28.61
2021-10-15,20.7
2021-10-16,46.87
2021-10-17,40.17
2021-10-18,31.65
2021-10-19,28.61
2021-10-20,31.04
2021-10-21,35.3
2021-10-22,34.7
2021-10-23,31.65
2021-10-24,35.3
2021-10-25,28.0
2021-10-26,40.17
2021-10-27,36.52
2021-10-28,24.35
2021-10-29,37.74
2021-10-30,16.43
2021-10-31,38.35
2021-11-01,28.0
2021-11-02,20.7
2021-11-03,32.87
2021-11-04,38.35
2021-11-05,37.74
2021-11-06,28.61
2021-11-07,35.3
2021-11-08,42.61
2021-11-09,42.0
2021-11-10,43.22
2021-11-11,49.91
2021-11-12,40.17
2021-11-13,40.78
2021-11-14,34.09
2021-11-15,43.22
2021-11-16,26.78
2021-11-17,31.65
2021-11-18,31.65
2021-11-19,46.87
2021-11-20,50.52
2021-11-21,51.13
2021-11-22,32.87
2021-11-23,38.96
2021-11-24,36.52
2021-11-25,39.57
2021-11-26,49.91
2021-11-27,40.78
2021-11-28,36.52
2021-11-29,41.39
2021-11-30,34.7
2021-12-01,29.83
2021-12-02,39.77
2021-12-03,33.14
2021-12-04,38.94
2021-12-05,35.63
2021-12-06,23.2
2021-12-07,48.05
2021-12-08,31.48
2021-12-09,32.31
2021-12-10,32.31
2021-12-11,37.28
2021-12-12,49.71
2021-12-13,38.11
2021-12-14,44.74
2021-12-15,36.45
2021-12-16,29.0
2021-12-17,50.54
2021-12-18,43.08
2021-12-19,48.88
2021-12-20,49.71
2021-12-21,50.54
2021-12-22,57.17
2021-12-23,35.63
2021-12-24,50.54
2021-12-25,43.08
2021-12-26,48.05
2021-12-27,38.94
2021-12-28,36.45
2021-12-29,44.74
2021-12-30,52.2
2021-12-31,43.91
2022-01-01,40.6
2022-01-02,72.08
2022-01-03,59.65
2022-01-04,56.34
2022-01-05,48.05
2022-01-06,47.22
2022-01-07,34.8
2022-01-08,57.17
2022-01-09,72.08
2022-01-10,55.51
2022-01-11,58.0
2022-01-12,62.97
2022-01-13,37.28
2022-01-14,59.65
2022-01-15,58.82
2022-01-16,63.79
2022-01-17,70.42
2022-01-18,67.11
2022-01-19,52.2
2022-01-20,48.05
2022-01-21,38.94
2022-01-22,53.02
2022-01-23,80.36
2022-01-24,64.62
2022-01-25,48.05
2022-01-26,50.54
2022-01-27,48.88
2022-01-28,49.71
2022-01-29,61.31
2022-01-30,69.59
2022-01-31,0.0
2022-02-01,54.68
2022-02-02,48.05
2022-02-03,52.2
2022-02-04,62.97
2022-02-05,48.88
2022-02-06,74.57
2022-02-07,65.45
2022-02-08,78.71
2022-02-09,48.05
2022-02-10,64.62
2022-02-11,55.51
2022-02-12,74.57
2022-02-13,65.45
2022-02-14,79.54
2022-02-15,57.17
2022-02-16,58.0
2022-02-17,58.82
2022-02-18,60.48
2022-02-19,52.2
2022-02-20,59.65
2022-02-21,58.82
2022-02-22,52.2
2022-02-23,74.57
2022-02-24,63.79
2022-02-25,53.85
2022-02-26,57.17
2022-02-27,60.48
2022-02-28,33.14
2022-03-01,44.74
2022-03-02,45.57
2022-03-03,55.51
2022-03-04,43.91
2022-03-05,46.4
2022-03-06,52.2
2022-03-07,62.14
2022-03-08,44.74
2022-03-09,48.05
2022-03-10,48.88
2022-03-11,50.54
2022-03-12,53.02
2022-03-13,62.14
2022-03-14,57.17
2022-03-15,48.05
2022-03-16,50.54
2022-03-17,63.79
2022-03-18,50.54
2022-03-19,56.34
2022-03-20,57.17
2022-03-21,58.82
2022-03-22,49.71
2022-03-23,46.4
2022-03-24,48.88
2022-03-25,33.97
2022-03-26,59.65
2022-03-27,56.34
2022-03-28,53.85
2022-03-29,45.57
2022-03-30,38.11
2022-03-31,48.05
2022-04-01,49.71
2022-04-02,48.05
2022-04-03,54.68
2022-04-04,62.14
2022-04-05,52.2
2022-04-06,58.0
2022-04-07,57.17
2022-04-08,56.34
2022-04-09,53.85
2022-04-10,64.62
2022-04-11,53.85
2022-04-12,62.97
2022-04-13,43.91
2022-04-14,59.65
2022-04-15,59.65
2022-04-16,53.02
2022-04-17,82.85
2022-04-18,56.34
2022-04-19,57.17
2022-04-20,63.79
2022-04-21,68.77
2022-04-22,50.54
2022-04-23,54.68
2022-04-24,77.05
2022-04-25,58.0
2022-04-26,53.85
2022-04-27,56.34
2022-04-28,68.77
2022-04-29,47.22
2022-04-30,67.94
2022-05-01,57.17
2022-05-02,73.94
2022-05-03,73.0
2022-05-04,72.06
2022-05-05,61.77
2022-05-06,53.35
2022-05-07,67.38
2022-05-08,63.64
2022-05-09,73.0
2022-05-10,61.77
2022-05-11,69.26
2022-05-12,58.96
2022-05-13,65.51
2022-05-14,66.45
2022-05-15,58.96
2022-05-16,68.32
2022-05-17,57.09
2022-05-18,74.87
2022-05-19,75.81
2022-05-20,74.87
2022-05-21,69.26
2022-05-22,66.45
2022-05-23,52.41
2022-05-24,66.45
2022-05-25,65.51
2022-05-26,66.45
2022-05-27,64.58
2022-05-28,50.54
2022-05-29,78.62
2022-05-30,78.62
2022-05-31,79.55
2022-06-01,63.64
2022-06-02,70.19
2022-06-03,68.32
2022-06-04,74.87
2022-06-05,74.87
2022-06-06,78.62
2022-06-07,69.26
2022-06-08,65.51
2022-06-09,67.38
2022-06-10,77.68
2022-06-11,69.26
2022-06-12,75.81
2022-06-13,87.04
2022-06-14,59.9
2022-06-15,75.81
2022-06-16,73.0
2022-06-17,58.96
2022-06-18,64.58
2022-06-19,66.45
2022-06-20,68.32
2022-06-21,75.81
2022-06-22,69.26
2022-06-23,68.32
2022-06-24,82.36
2022-06-25,84.23
2022-06-26,87.04
2022-06-27,79.55
2022-06-28,71.13
2022-06-29,84.23
2022-06-30,63.64
2022-07-01,69.26
2022-07-02,78.62
2022-07-03,93.59
2022-07-04,76.74
2022-07-05,74.87
2022-07-06,60.83
2022-07-07,69.26
2022-07-08,82.36
2022-07-09,62.71
2022-07-10,90.78
2022-07-11,68.32
2022-07-12,67.38
2022-07-13,74.87
2022-07-14,79.55
2022-07-15,88.91
2022-07-16,76.74
2022-07-17,77.68
2022-07-18,77.68
2022-07-19,80.49
2022-07-20,64.58
2022-07-21,81.42
2022-07-22,71.13
2022-07-23,58.03
2022-07-24,73.0
2022-07-25,76.74
2022-07-26,76.74
2022-07-27,65.51
2022-07-28,62.71
2022-07-29,70.19
2022-07-30,69.26
2022-07-31,70.19
2022-08-01,78.62
2022-08-02,75.81
2022-08-03,63.64
2022-08-04,68.32
2022-08-05,68.32
2022-08-06,57.09
2022-08-07,73.94
2022-08-08,61.77
2022-08-09,58.96
2022-08-10,53.35
2022-08-11,71.13
2022-08-12,73.94
2022-08-13,83.3
2022-08-14,81.42
2022-08-15,83.3
2022-08-16,64.58
2022-08-17,66.45
2022-08-18,56.15
2022-08-19,53.35
2022-08-20,62.71
2022-08-21,87.04
2022-08-22,59.9
2022-08-23,65.51
2022-08-24,73.0
2022-08-25,57.09
2022-08-26,48.67
2022-08-27,63.64
2022-08-28,67.38
2022-08-29,53.35
2022-08-30,71.13
2022-08-31,59.9
2022-09-01,76.74
2022-09-02,67.38
2022-09-03,64.58
2022-09-04,52.41
2022-09-05,49.6
2022-09-06,58.96
2022-09-07,52.41
2022-09-08,63.64
2022-09-09,64.58
2022-09-10,51.47
2022-09-11,45.86
2022-09-12,36.5
2022-09-13,51.47
2022-09-14,35.56
2022-09-15,45.86
2022-09-16,39.31
2022-09-17,70.19
2022-09-18,44.92
2022-09-19,62.71
2022-09-20,43.05
2022-09-21,60.83
2022-09-22,50.54
2022-09-23,46.8
2022-09-24,62.71
2022-09-25,71.13
2022-09-26,51.47
2022-09-27,72.06
2022-09-28,40.24
2022-09-29,58.96
2022-09-30,77.68
2022-10-01,64.58
2022-10-02,57.33
2022-10-03,59.12
2022-10-04,59.12
2022-10-05,49.27
2022-10-06,60.91
2022-10-07,55.54
2022-10-08,79.73
2022-10-09,45.69
2022-10-10,49.27
2022-10-11,57.33
2022-10-12,49.27
2022-10-13,32.25
2022-10-14,49.27
2022-10-15,58.23
2022-10-16,43.89
2022-10-17,48.37
2022-10-18,56.43
2022-10-19,48.37
2022-10-20,43.0
2022-10-21,39.41
2022-10-22,60.02
2022-10-23,55.54
2022-10-24,39.41
2022-10-25,39.41
2022-10-26,31.35
2022-10-27,50.16
2022-10-28,53.75
2022-10-29,50.16
2022-10-30,45.69
2022-10-31,45.69
2022-11-01,56.43
2022-11-02,25.08
2022-11-03,38.52
2022-11-04,52.85
2022-11-05,56.43
2022-11-06,49.27
2022-11-07,57.33
2022-11-08,41.21
2022-11-09,74.35
2022-11-10,45.69
2022-11-11,41.21
2022-11-12,47.48
2022-11-13,60.91
2022-11-14,62.71
2022-11-15,58.23
2022-11-16,51.06
2022-11-17,60.91
2022-11-18,60.02
2022-11-19,69.87
2022-11-20,64.5
2022-11-21,34.04
2022-11-22,50.16
2022-11-23,52.85
2022-11-24,43.89
2022-11-25,39.41
2022-11-26,48.37
2022-11-27,40.31
2022-11-28,43.89
2022-11-29,34.94
