date,value
2021-01-01,100.0
2021-01-02,73.0
2021-01-03,77.0
2021-01-04,58.0
2021-01-05,60.0
2021-01-06,61.0
2021-01-07,71.0
2021-01-08,69.0
2021-01-09,61.0
2021-01-10,70.0
2021-01-11,58.0
2021-01-12,56.0
2021-01-13,60.0
2021-01-14,63.0
2021-01-15,80.0
2021-01-16,81.0
2021-01-17,76.0
2021-01-18,72.0
2021-01-19,73.0
2021-01-20,67.0
2021-01-21,74.0
2021-01-22,78.0
2021-01-23,80.0
2021-01-24,86.0
2021-01-25,68.0
2021-01-26,72.0
2021-01-27,75.0
2021-01-28,48.0
2021-01-29,54.0
2021-01-30,56.0
2021-01-31,64.0
2021-02-01,48.0
2021-02-02,47.0
2021-02-03,50.0
2021-02-04,49.0
2021-02-05,48.0
2021-02-06,66.0
2021-02-07,70.0
2021-02-08,54.0
2021-02-09,49.0
2021-02-10,56.0
2021-02-11,59.0
2021-02-12,83.0
2021-02-13,72.0
2021-02-14,39.0
2021-02-15,33.0
2021-02-16,36.0
2021-02-17,41.0
2021-02-18,30.0
2021-02-19,28.0
2021-02-20,38.0
2021-02-21,38.0
2021-02-22,32.0
2021-02-23,28.0
2021-02-24,33.0
2021-02-25,36.0
2021-02-26,36.0
2021-02-27,34.0
2021-02-28,38.0
2021-03-01,34.0
2021-03-02,36.0
2021-03-03,40.0
2021-03-04,35.0
2021-03-05,32.0
2021-03-06,37.0
2021-03-07,46.0
2021-03-08,22.0
2021-03-09,31.0
2021-03-10,35.0
2021-03-11,53.0
2021-03-12,35.0
2021-03-13,53.0
2021-03-14,46.0
2021-03-15,42.0
2021-03-16,46.0
2021-03-17,43.0
2021-03-18,46.0
2021-03-19,38.0
2021-03-20,42.0
2021-03-21,47.0
2021-03-22,31.0
2021-03-23,42.0
2021-03-24,38.0
2021-03-25,44.0
2021-03-26,34.0
2021-03-27,46.0
2021-03-28,43.0
2021-03-29,48.0
2021-03-30,38.0
2021-03-31,39.0
2021-04-01,34.0
2021-04-02,36.0
2021-04-03,56.0
2021-04-04,49.0
2021-04-05,41.0
2021-04-06,47.0
2021-04-07,38.0
2021-04-08,36.0
2021-04-09,46.0
2021-04-10,44.0
2021-04-11,43.0
2021-04-12,35.0
2021-04-13,35.0
2021-04-14,41.0
2021-04-15,58.0
2021-04-16,37.0
2021-04-17,36.0
2021-04-18,66.0
2021-04-19,33.0
2021-04-20,40.0
2021-04-21,56.0
2021-04-22,33.0
2021-04-23,46.0
2021-04-24,44.0
2021-04-25,49.0
2021-04-26,34.0
2021-04-27,49.0
2021-04-28,47.0
2021-04-29,34.0
2021-04-30,41.0
2021-05-01,39.0
2021-05-02,30.0
2021-05-03,31.0
2021-05-04,24.0
2021-05-05,25.0
2021-05-06,30.0
2021-05-07,22.0
2021-05-08,23.0
2021-05-09,27.0
2021-05-10,19.0
2021-05-11,21.0
2021-05-12,23.0
2021-05-13,14.0
2021-05-14,21.0
2021-05-15,25.0
2021-05-16,24.0
2021-05-17,25.0
2021-05-18,21.0
2021-05-19,16.0
2021-05-20,20.0
2021-05-21,18.0
2021-05-22,19.0
2021-05-23,23.0
2021-05-24,18.0
2021-05-25,28.0
2021-05-26,23.0
2021-05-27,20.0
2021-05-28,17.0
2021-05-29,22.0
2021-05-30,15.0
2021-05-31,23.0
2021-06-01,13.0
2021-06-02,11.0
2021-06-03,9.0
2021-06-04,18.0
2021-06-05,20.0
2021-06-06,18.0
2021-06-07,16.0
2021-06-08,16.0
2021-06-09,20.0
2021-06-10,13.0
2021-06-11,13.0
2021-06-12,22.0
2021-06-13,15.0
2021-06-14,16.0
2021-06-15,15.0
2021-06-16,14.0
2021-06-17,14.0
2021-06-18,14.0
2021-06-19,29.0
2021-06-20,22.0
2021-06-21,16.0
2021-06-22,17.0
2021-06-23,21.0
2021-06-24,21.0
2021-06-25,22.0
2021-06-26,14.0
2021-06-27,20.0
2021-06-28,17.0
2021-06-29,16.0
2021-06-30,17.0
2021-07-01,18.0
2021-07-02,21.86
2021-07-03,16.19
2021-07-04,14.57
2021-07-05,25.1
2021-07-06,20.24
2021-07-07,16.6
2021-07-08,14.57
2021-07-09,20.24
2021-07-10,18.62
2021-07-11,21.45
2021-07-12,19.02
2021-07-13,13.76
2021-07-14,19.02
2021-07-15,17.0
2021-07-16,17.81
2021-07-17,22.67
2021-07-18,12.95
2021-07-19,14.57
2021-07-20,13.76
2021-07-21,19.43
2021-07-22,16.19
2021-07-23,15.79
2021-07-24,12.14
2021-07-25,20.64
2021-07-26,14.57
2021-07-27,19.02
2021-07-28,16.6
2021-07-29,9.71
2021-07-30,14.17
2021-07-31,21.86
2021-08-01,20.64
2021-08-02,18.62
2021-08-03,19.02
2021-08-04,17.0
2021-08-05,16.6
2021-08-06,17.4
2021-08-07,13.76
2021-08-08,21.05
2021-08-09,13.36
2021-08-10,11.74
2021-08-11,13.76
2021-08-12,18.62
2021-08-13,16.6
2021-08-14,17.0
2021-08-15,17.4
2021-08-16,13.36
2021-08-17,14.17
2021-08-18,16.6
2021-08-19,22.26
2021-08-20,17.0
2021-08-21,10.93
2021-08-22,11.74
2021-08-23,10.52
2021-08-24,0.0
2021-08-25,10.93
2021-08-26,16.19
2021-08-27,12.14
2021-08-28,17.0
2021-08-29,8.1
2021-08-30,19.02
2021-08-31,12.55
2021-09-01,10.52
2021-09-02,9.31
2021-09-03,17.81
2021-09-04,16.19
2021-09-05,14.57
2021-09-06,17.81
2021-09-07,13.36
2021-09-08,21.05
2021-09-09,13.36
2021-09-10,14.57
2021-09-11,15.38
2021-09-12,16.19
2021-09-13,17.4
2021-09-14,12.55
2021-09-15,15.79
2021-09-16,20.64
2021-09-17,14.57
2021-09-18,20.24
2021-09-19,12.95
2021-09-20,14.57
2021-09-21,15.38
2021-09-22,17.81
2021-09-23,19.02
2021-09-24,12.95
2021-09-25,23.48
2021-09-26,14.57
2021-09-27,20.64
2021-09-28,17.0
2021-09-29,19.83
2021-09-30,20.64
2021-10-01,19.83
2021-10-02,15.38
2021-10-03,17.0
2021-10-04,14.17
2021-10-05,21.86
2021-10-06,15.79
2021-10-07,19.43
2021-10-08,18.62
2021-10-09,22.67
2021-10-10,29.55
2021-10-11,25.5
2021-10-12,18.62
2021-10-13,18.62
2021-10-14,33.19
2021-10-15,29.95
2021-10-16,31.17
2021-10-17,34.4
2021-10-18,27.12
2021-10-19,28.74
2021-10-20,25.5
2021-10-21,29.95
2021-10-22,28.74
2021-10-23,39.26
2021-10-24,23.07
2021-10-25,27.12
2021-10-26,21.45
2021-10-27,29.14
2021-10-28,27.93
2021-10-29,27.12
2021-10-30,27.52
2021-10-31,32.38
2021-11-01,20.64
2021-11-02,29.55
2021-11-03,25.9
2021-11-04,27.12
2021-11-05,28.33
2021-11-06,32.38
2021-11-07,29.14
2021-11-08,22.67
2021-11-09,29.14
2021-11-10,32.38
2021-11-11,28.33
2021-11-12,27.12
2021-11-13,32.79
2021-11-14,35.21
2021-11-15,29.95
2021-11-16,28.74
2021-11-17,29.95
2021-11-18,26.71
2021-11-19,27.93
2021-11-20,33.19
2021-11-21,35.62
2021-11-22,26.31
2021-11-23,29.55
2021-11-24,30.76
2021-11-25,31.17
2021-11-26,31.98
2021-11-27,40.48
2021-11-28,29.14
2021-11-29,20.64
2021-11-30,20.64
2021-12-01,29.95
2021-12-02,35.32
2021-12-03,31.53
2021-12-04,28.38
2021-12-05,32.8
2021-12-06,37.21
2021-12-07,33.43
2021-12-08,32.16
2021-12-09,42.26
2021-12-10,35.95
2021-12-11,40.36
2021-12-12,44.78
2021-12-13,37.21
2021-12-14,40.36
2021-12-15,38.47
2021-12-16,32.8
2021-12-17,36.58
2021-12-18,47.3
2021-12-19,35.95
2021-12-20,37.21
2021-12-21,29.64
2021-12-22,39.1
2021-12-23,26.49
2021-12-24,47.93
2021-12-25,48.56
2021-12-26,40.99
2021-12-27,36.58
2021-12-28,33.43
2021-12-29,29.01
2021-12-30,31.53
2021-12-31,29.01
2022-01-01,63.07
2022-01-02,58.02
2022-01-03,40.99
2022-01-04,37.84
2022-01-05,42.89
2022-01-06,40.99
2022-01-07,47.3
2022-01-08,40.99
2022-01-09,40.99
2022-01-10,39.1
2022-01-11,53.61
2022-01-12,49.82
2022-01-13,40.99
2022-01-14,49.82
2022-01-15,53.61
2022-01-16,47.93
2022-01-17,46.04
2022-01-18,30.9
2022-01-19,36.58
2022-01-20,43.52
2022-01-21,42.26
2022-01-22,51.72
2022-01-23,56.13
2022-01-24,52.35
2022-01-25,35.32
2022-01-26,46.04
2022-01-27,44.78
2022-01-28,40.36
2022-01-29,46.04
2022-01-30,46.67
2022-01-31,42.89
2022-02-01,59.91
2022-02-02,34.06
2022-02-03,41.62
2022-02-04,38.47
2022-02-05,37.21
2022-02-06,20.81
2022-02-07,28.38
2022-02-08,30.9
2022-02-09,29.01
2022-02-10,29.01
2022-02-11,28.38
2022-02-12,33.43
2022-02-13,30.9
2022-02-14,25.86
2022-02-15,27.12
2022-02-16,34.06
2022-02-17,25.86
2022-02-18,31.53
2022-02-19,27.12
2022-02-20,25.23
2022-02-21,20.81
2022-02-22,22.7
2022-02-23,31.53
2022-02-24,26.49
2022-02-25,23.33
2022-02-26,27.75
2022-02-27,27.75
2022-02-28,23.33
2022-03-01,18.92
2022-03-02,20.18
2022-03-03,29.01
2022-03-04,19.55
2022-03-05,23.33
2022-03-06,31.53
2022-03-07,37.21
2022-03-08,23.97
2022-03-09,26.49
2022-03-10,25.86
2022-03-11,28.38
2022-03-12,31.53
2022-03-13,25.23
2022-03-14,38.47
2022-03-15,20.81
2022-03-16,30.9
2022-03-17,34.69
2022-03-18,31.53
2022-03-19,33.43
2022-03-20,37.21
2022-03-21,30.9
2022-03-22,31.53
2022-03-23,29.64
2022-03-24,32.16
2022-03-25,33.43
2022-03-26,34.06
2022-03-27,39.1
2022-03-28,37.84
2022-03-29,30.27
2022-03-30,29.01
2022-03-31,32.16
2022-04-01,30.9
2022-04-02,33.43
2022-04-03,41.62
2022-04-04,29.64
2022-04-05,25.23
2022-04-06,34.06
2022-04-07,50.45
2022-04-08,44.15
2022-04-09,39.1
2022-04-10,39.1
2022-04-11,51.72
2022-04-12,32.8
2022-04-13,35.95
2022-04-14,38.47
2022-04-15,40.36
2022-04-16,37.21
2022-04-17,47.93
2022-04-18,43.52
2022-04-19,42.89
2022-04-20,36.58
2022-04-21,38.47
2022-04-22,45.41
2022-04-23,49.19
2022-04-24,48.56
2022-04-25,35.32
2022-04-26,44.15
2022-04-27,36.58
2022-04-28,43.52
2022-04-29,41.62
2022-04-30,56.13
2022-05-01,49.19
2022-05-02,46.59
2022-05-03,38.73
2022-05-04,34.24
2022-05-05,42.66
2022-05-06,41.54
2022-05-07,46.03
2022-05-08,50.52
