date,value
2021-01-01,82.0
2021-01-02,75.0
2021-01-03,69.0
2021-01-04,50.0
2021-01-05,63.0
2021-01-06,51.0
2021-01-07,54.0
2021-01-08,60.0
2021-01-09,67.0
2021-01-10,63.0
2021-01-11,42.0
2021-01-12,57.0
2021-01-13,50.0
2021-01-14,63.0
2021-01-15,63.0
2021-01-16,85.0
2021-01-17,56.0
2021-01-18,49.0
2021-01-19,67.0
2021-01-20,92.0
2021-01-21,73.0
2021-01-22,63.0
2021-01-23,64.0
2021-01-24,79.0
2021-01-25,75.0
2021-01-26,49.0
2021-01-27,76.0
2021-01-28,60.0
2021-01-29,67.0
2021-01-30,57.0
2021-01-31,48.0
2021-02-01,73.0
2021-02-02,50.0
2021-02-03,61.0
2021-02-04,49.0
2021-02-05,53.0
2021-02-06,67.0
2021-02-07,75.0
2021-02-08,50.0
2021-02-09,54.0
2021-02-10,76.0
2021-02-11,82.0
2021-02-12,100.0
2021-02-13,93.0
2021-02-14,79.0
2021-02-15,59.0
2021-02-16,45.0
2021-02-17,44.0
2021-02-18,62.0
2021-02-19,36.0
2021-02-20,48.0
2021-02-21,52.0
2021-02-22,44.0
2021-02-23,39.0
2021-02-24,44.0
2021-02-25,38.0
2021-02-26,36.0
2021-02-27,46.0
2021-02-28,42.0
2021-03-01,39.0
2021-03-02,45.0
2021-03-03,33.0
2021-03-04,30.0
2021-03-05,37.0
2021-03-06,50.0
2021-03-07,45.0
2021-03-08,47.0
2021-03-09,41.0
2021-03-10,49.0
2021-03-11,49.0
2021-03-12,60.0
2021-03-13,45.0
2021-03-14,53.0
2021-03-15,38.0
2021-03-16,34.0
2021-03-17,55.0
2021-03-18,51.0
2021-03-19,46.0
2021-03-20,45.0
2021-03-21,59.0
2021-03-22,30.0
2021-03-23,47.0
2021-03-24,53.0
2021-03-25,49.0
2021-03-26,63.0
2021-03-27,54.0
2021-03-28,58.0
2021-03-29,47.0
2021-03-30,45.0
2021-03-31,52.0
2021-04-01,53.0
2021-04-02,40.0
2021-04-03,52.0
2021-04-04,60.0
2021-04-05,28.0
2021-04-06,40.0
2021-04-07,60.0
2021-04-08,37.0
2021-04-09,41.0
2021-04-10,52.0
2021-04-11,45.0
2021-04-12,43.0
2021-04-13,48.0
2021-04-14,41.0
2021-04-15,46.0
2021-04-16,40.0
2021-04-17,60.0
2021-04-18,40.0
2021-04-19,45.0
2021-04-20,41.0
2021-04-21,78.0
2021-04-22,57.0
2021-04-23,32.0
2021-04-24,52.0
2021-04-25,56.0
2021-04-26,42.0
2021-04-27,32.0
2021-04-28,46.0
2021-04-29,52.0
2021-04-30,56.0
2021-05-01,53.0
2021-05-02,46.0
2021-05-03,40.0
2021-05-04,32.0
2021-05-05,46.0
2021-05-06,31.0
2021-05-07,45.0
2021-05-08,32.0
2021-05-09,52.0
2021-05-10,28.0
2021-05-11,39.0
2021-05-12,47.0
2021-05-13,40.0
2021-05-14,39.0
2021-05-15,32.0
2021-05-16,44.0
2021-05-17,40.0
2021-05-18,43.0
2021-05-19,31.0
2021-05-20,39.0
2021-05-21,39.0
2021-05-22,62.0
2021-05-23,26.0
2021-05-24,32.0
2021-05-25,33.0
2021-05-26,39.0
2021-05-27,33.0
2021-05-28,26.0
2021-05-29,38.0
2021-05-30,44.0
2021-05-31,29.0
2021-06-01,53.0
2021-06-02,42.0
2021-06-03,37.0
2021-06-04,45.0
2021-06-05,27.0
2021-06-06,41.0
2021-06-07,27.0
2021-06-08,33.0
2021-06-09,35.0
2021-06-10,34.0
2021-06-11,33.0
2021-06-12,32.0
2021-06-13,29.0
2021-06-14,36.0
2021-06-15,35.0
2021-06-16,25.0
2021-06-17,25.0
2021-06-18,33.0
2021-06-19,46.0
2021-06-20,34.0
2021-06-21,30.0
2021-06-22,28.0
2021-06-23,44.0
2021-06-24,42.0
2021-06-25,33.0
2021-06-26,42.0
2021-06-27,43.0
2021-06-28,41.0
2021-06-29,32.0
2021-06-30,33.0
2021-07-01,33.0
2021-07-02,28.07
2021-07-03,47.16
2021-07-04,52.77
2021-07-05,33.68
2021-07-06,34.25
2021-07-07,30.88
2021-07-08,39.3
2021-07-09,38.74
2021-07-10,44.35
2021-07-11,39.3
2021-07-12,32.0
2021-07-13,37.61
2021-07-14,46.6
2021-07-15,38.74
2021-07-16,38.74
2021-07-17,24.14
2021-07-18,30.88
2021-07-19,34.81
2021-07-20,44.35
2021-07-21,43.23
2021-07-22,37.05
2021-07-23,32.0
2021-07-24,34.81
2021-07-25,53.33
2021-07-26,23.02
2021-07-27,23.58
2021-07-28,37.61
2021-07-29,34.25
2021-07-30,53.89
2021-07-31,43.23
2021-08-01,40.98
2021-08-02,52.21
2021-08-03,29.75
2021-08-04,39.3
2021-08-05,35.93
2021-08-06,46.6
2021-08-07,44.35
2021-08-08,35.93
2021-08-09,26.39
2021-08-10,42.67
2021-08-11,38.18
2021-08-12,29.19
2021-08-13,42.11
2021-08-14,45.47
2021-08-15,40.98
2021-08-16,27.51
2021-08-17,43.23
2021-08-18,30.32
2021-08-19,32.56
2021-08-20,24.7
2021-08-21,30.32
2021-08-22,42.67
2021-08-23,45.47
2021-08-24,0.0
2021-08-25,33.68
2021-08-26,34.25
2021-08-27,34.25
2021-08-28,30.88
2021-08-29,31.44
2021-08-30,29.19
2021-08-31,21.89
2021-09-01,38.18
2021-09-02,29.75
2021-09-03,35.93
2021-09-04,25.82
2021-09-05,19.65
2021-09-06,25.26
2021-09-07,32.0
2021-09-08,26.39
2021-09-09,26.95
2021-09-10,29.19
2021-09-11,15.72
2021-09-12,30.32
2021-09-13,35.93
2021-09-14,28.07
2021-09-15,14.04
2021-09-16,30.88
2021-09-17,28.07
2021-09-18,30.88
2021-09-19,28.63
2021-09-20,29.19
2021-09-21,20.21
2021-09-22,25.82
2021-09-23,34.81
2021-09-24,24.14
2021-09-25,24.14
2021-09-26,50.53
2021-09-27,19.65
2021-09-28,30.88
2021-09-29,40.98
2021-09-30,22.46
2021-10-01,31.44
2021-10-02,46.6
2021-10-03,30.88
2021-10-04,27.51
2021-10-05,24.14
2021-10-06,20.77
2021-10-07,25.82
2021-10-08,26.39
2021-10-09,39.86
2021-10-10,56.14
2021-10-11,19.65
2021-10-12,30.88
2021-10-13,31.44
2021-10-14,36.49
2021-10-15,28.07
2021-10-16,45.47
2021-10-17,40.98
2021-10-18,35.37
2021-10-19,35.93
2021-10-20,20.21
2021-10-21,43.79
2021-10-22,35.37
2021-10-23,42.11
2021-10-24,28.63
2021-10-25,24.7
2021-10-26,37.61
2021-10-27,37.05
2021-10-28,38.18
2021-10-29,40.98
2021-10-30,26.95
2021-10-31,30.32
2021-11-01,32.0
2021-11-02,42.67
2021-11-03,25.82
2021-11-04,42.11
2021-11-05,52.21
2021-11-06,39.3
2021-11-07,44.35
2021-11-08,42.67
2021-11-09,31.44
2021-11-10,42.11
2021-11-11,53.89
2021-11-12,47.16
2021-11-13,33.12
2021-11-14,44.35
2021-11-15,46.6
2021-11-16,48.28
2021-11-17,43.79
2021-11-18,38.18
2021-11-19,44.91
2021-11-20,31.44
2021-11-21,37.05
2021-11-22,48.84
2021-11-23,53.33
2021-11-24,34.25
2021-11-25,42.67
2021-11-26,40.42
2021-11-27,39.86
2021-11-28,43.23
2021-11-29,26.39
2021-11-30,34.25
2021-12-01,34.25
2021-12-02,32.87
2021-12-03,39.91
2021-12-04,48.52
2021-12-05,49.3
2021-12-06,33.65
2021-12-07,43.82
2021-12-08,46.17
2021-12-09,49.3
2021-12-10,65.74
2021-12-11,41.48
2021-12-12,72.78
2021-12-13,60.26
2021-12-14,43.82
2021-12-15,68.08
2021-12-16,38.35
2021-12-17,42.26
2021-12-18,54.0
2021-12-19,51.65
2021-12-20,56.34
2021-12-21,56.34
2021-12-22,54.78
2021-12-23,48.52
2021-12-24,46.95
2021-12-25,51.65
2021-12-26,64.95
2021-12-27,57.91
2021-12-28,47.74
2021-12-29,43.04
2021-12-30,56.34
2021-12-31,43.04
