date,value
2021-01-01,0.0
2021-01-02,0.0
2021-01-03,0.0
2021-01-04,0.0
2021-01-05,0.0
2021-01-06,51.18
2021-01-07,0.0
2021-01-08,0.0
2021-01-09,0.0
2021-01-10,0.0
2021-01-11,0.0
2021-01-12,0.0
2021-01-13,0.0
2021-01-14,0.0
2021-01-15,0.0
2021-01-16,0.0
2021-01-17,0.0
2021-01-18,0.0
2021-01-19,0.0
2021-01-20,0.0
2021-01-21,0.0
2021-01-22,0.0
2021-01-23,0.0
2021-01-24,0.0
2021-01-25,41.4
2021-01-26,0.0
2021-01-27,44.41
2021-01-28,0.0
2021-01-29,48.93
2021-01-30,0.0
2021-01-31,0.0
2021-02-01,51.94
2021-02-02,0.0
2021-02-03,0.0
2021-02-04,0.0
2021-02-05,0.0
2021-02-06,0.0
2021-02-07,0.0
2021-02-08,0.0
2021-02-09,0.0
2021-02-10,0.0
2021-02-11,0.0
2021-02-12,0.0
2021-02-13,0.0
2021-02-14,0.0
2021-02-15,0.0
2021-02-16,0.0
2021-02-17,75.27
2021-02-18,0.0
2021-02-19,48.17
2021-02-20,37.64
2021-02-21,50.43
2021-02-22,0.0
2021-02-23,37.64
2021-02-24,54.95
2021-02-25,51.94
2021-02-26,45.16
2021-02-27,48.17
2021-02-28,42.9
2021-03-01,63.98
2021-03-02,0.0
2021-03-03,61.72
2021-03-04,45.92
2021-03-05,52.69
2021-03-06,41.4
2021-03-07,42.15
2021-03-08,42.9
2021-03-09,48.17
2021-03-10,0.0
2021-03-11,74.52
2021-03-12,0.0
2021-03-13,0.0
2021-03-14,46.67
2021-03-15,42.9
2021-03-16,31.61
2021-03-17,40.65
2021-03-18,0.0
2021-03-19,0.0
2021-03-20,0.0
2021-03-21,0.0
2021-03-22,75.27
2021-03-23,0.0
2021-03-24,0.0
2021-03-25,0.0
2021-03-26,0.0
2021-03-27,0.0
2021-03-28,63.98
2021-03-29,0.0
2021-03-30,40.65
2021-03-31,0.0
2021-04-01,39.89
2021-04-02,0.0
2021-04-03,52.69
2021-04-04,58.71
2021-04-05,75.27
2021-04-06,0.0
2021-04-07,36.88
2021-04-08,42.15
2021-04-09,0.0
2021-04-10,0.0
2021-04-11,48.17
2021-04-12,43.66
2021-04-13,37.64
2021-04-14,0.0
2021-04-15,43.66
2021-04-16,0.0
2021-04-17,0.0
2021-04-18,52.69
2021-04-19,38.39
2021-04-20,0.0
2021-04-21,69.25
2021-04-22,45.92
2021-04-23,39.14
2021-04-24,45.16
2021-04-25,0.0
2021-04-26,39.89
2021-04-27,0.0
2021-04-28,48.17
2021-04-29,46.67
2021-04-30,0.0
2021-05-01,0.0
2021-05-02,0.0
2021-05-03,51.94
2021-05-04,0.0
2021-05-05,0.0
2021-05-06,0.0
2021-05-07,42.9
2021-05-08,0.0
2021-05-09,0.0
2021-05-10,0.0
2021-05-11,33.12
2021-05-12,45.92
2021-05-13,0.0
2021-05-14,0.0
2021-05-15,41.4
2021-05-16,44.41
2021-05-17,50.43
2021-05-18,38.39
2021-05-19,48.93
2021-05-20,0.0
2021-05-21,43.66
2021-05-22,39.89
2021-05-23,0.0
2021-05-24,0.0
2021-05-25,0.0
2021-05-26,0.0
2021-05-27,0.0
2021-05-28,61.72
2021-05-29,0.0
2021-05-30,0.0
2021-05-31,0.0
2021-06-01,36.13
2021-06-02,40.65
2021-06-03,54.2
2021-06-04,50.43
2021-06-05,64.73
2021-06-06,51.18
2021-06-07,0.0
2021-06-08,46.67
2021-06-09,0.0
2021-06-10,47.42
2021-06-11,37.64
2021-06-12,0.0
2021-06-13,0.0
2021-06-14,33.87
2021-06-15,37.64
2021-06-16,0.0
2021-06-17,50.43
2021-06-18,58.71
2021-06-19,0.0
2021-06-20,0.0
2021-06-21,0.0
2021-06-22,0.0
2021-06-23,47.42
2021-06-24,0.0
2021-06-25,0.0
2021-06-26,0.0
2021-06-27,0.0
2021-06-28,0.0
2021-06-29,39.14
2021-06-30,66.24
2021-07-01,51.18
2021-07-02,0.0
2021-07-03,0.0
2021-07-04,57.38
2021-07-05,0.0
2021-07-06,36.03
2021-07-07,36.69
2021-07-08,42.03
2021-07-09,42.7
2021-07-10,47.37
2021-07-11,40.03
2021-07-12,40.03
2021-07-13,50.71
