date,value
2021-01-01,45.9
2021-01-02,53.31
2021-01-03,40.72
2021-01-04,42.2
2021-01-05,46.64
2021-01-06,48.86
2021-01-07,47.38
2021-01-08,62.19
2021-01-09,54.79
2021-01-10,50.34
2021-01-11,39.24
2021-01-12,44.42
2021-01-13,48.12
2021-01-14,42.2
2021-01-15,49.6
2021-01-16,58.49
2021-01-17,58.49
2021-01-18,52.57
2021-01-19,46.64
2021-01-20,42.94
2021-01-21,51.82
2021-01-22,63.67
2021-01-23,74.04
2021-01-24,62.93
2021-01-25,57.75
2021-01-26,38.5
2021-01-27,59.97
2021-01-28,45.16
2021-01-29,33.32
2021-01-30,41.46
2021-01-31,46.64
2021-02-01,34.8
2021-02-02,38.5
2021-02-03,37.76
2021-02-04,29.61
2021-02-05,45.16
2021-02-06,54.05
2021-02-07,31.84
2021-02-08,31.84
2021-02-09,48.12
2021-02-10,26.65
2021-02-11,30.35
2021-02-12,39.98
2021-02-13,59.97
2021-02-14,37.76
2021-02-15,31.09
2021-02-16,34.06
2021-02-17,38.5
2021-02-18,32.58
2021-02-19,31.84
2021-02-20,28.13
2021-02-21,27.39
2021-02-22,25.91
2021-02-23,25.17
2021-02-24,22.21
2021-02-25,33.32
2021-02-26,23.69
2021-02-27,22.95
2021-02-28,45.9
2021-03-01,29.61
2021-03-02,28.13
2021-03-03,40.72
2021-03-04,33.32
2021-03-05,28.87
2021-03-06,41.46
2021-03-07,38.5
2021-03-08,23.69
2021-03-09,33.32
2021-03-10,27.39
2021-03-11,34.06
2021-03-12,21.47
2021-03-13,40.72
2021-03-14,43.68
2021-03-15,21.47
2021-03-16,39.98
2021-03-17,25.17
2021-03-18,45.9
2021-03-19,0.0
2021-03-20,32.58
2021-03-21,40.72
2021-03-22,26.65
2021-03-23,30.35
2021-03-24,36.28
2021-03-25,32.58
2021-03-26,34.8
2021-03-27,34.8
2021-03-28,45.16
2021-03-29,38.5
2021-03-30,38.5
2021-03-31,28.13
2021-04-01,26.65
2021-04-02,39.98
2021-04-03,32.58
2021-04-04,42.2
2021-04-05,31.84
2021-04-06,31.84
2021-04-07,26.65
2021-04-08,30.35
2021-04-09,25.17
2021-04-10,42.94
2021-04-11,41.46
2021-04-12,38.5
2021-04-13,41.46
2021-04-14,17.77
2021-04-15,46.64
2021-04-16,34.06
2021-04-17,31.84
2021-04-18,45.16
2021-04-19,39.98
2021-04-20,35.54
2021-04-21,37.76
2021-04-22,39.98
2021-04-23,31.84
2021-04-24,39.98
2021-04-25,49.6
2021-04-26,34.06
2021-04-27,24.43
2021-04-28,28.87
2021-04-29,18.51
2021-04-30,31.84
2021-05-01,28.87
2021-05-02,37.02
2021-05-03,31.84
2021-05-04,25.91
2021-05-05,29.61
2021-05-06,20.73
2021-05-07,19.99
2021-05-08,19.25
2021-05-09,24.43
2021-05-10,25.91
2021-05-11,25.17
2021-05-12,25.17
2021-05-13,19.99
2021-05-14,21.47
2021-05-15,33.32
2021-05-16,29.61
2021-05-17,17.77
2021-05-18,19.99
2021-05-19,34.8
2021-05-20,37.76
2021-05-21,17.77
2021-05-22,33.32
2021-05-23,31.09
2021-05-24,0.0
2021-05-25,21.47
2021-05-26,0.0
2021-05-27,19.99
2021-05-28,18.51
2021-05-29,31.84
2021-05-30,0.0
2021-05-31,24.43
2021-06-01,20.73
2021-06-02,27.39
2021-06-03,14.81
2021-06-04,20.73
2021-06-05,0.0
2021-06-06,28.13
2021-06-07,33.32
2021-06-08,34.06
2021-06-09,31.84
2021-06-10,19.25
2021-06-11,29.61
2021-06-12,21.47
2021-06-13,34.8
2021-06-14,22.21
2021-06-15,19.99
2021-06-16,24.43
2021-06-17,16.29
2021-06-18,24.43
2021-06-19,26.65
2021-06-20,22.21
2021-06-21,20.73
2021-06-22,23.69
2021-06-23,34.8
2021-06-24,31.84
2021-06-25,21.47
2021-06-26,24.43
2021-06-27,31.09
2021-06-28,0.0
2021-06-29,16.29
2021-06-30,22.21
2021-07-01,30.35
2021-07-02,21.0
2021-07-03,24.0
2021-07-04,35.5
2021-07-05,22.5
2021-07-06,24.5
2021-07-07,0.0
2021-07-08,20.5
2021-07-09,0.0
2021-07-10,20.5
2021-07-11,34.0
2021-07-12,23.5
2021-07-13,22.0
2021-07-14,28.5
2021-07-15,21.5
2021-07-16,28.0
2021-07-17,20.0
2021-07-18,22.5
2021-07-19,24.0
2021-07-20,20.5
2021-07-21,19.0
2021-07-22,28.0
2021-07-23,18.5
2021-07-24,21.5
2021-07-25,0.0
2021-07-26,32.0
2021-07-27,21.0
2021-07-28,21.5
2021-07-29,32.0
2021-07-30,19.0
2021-07-31,24.0
2021-08-01,0.0
2021-08-02,0.0
2021-08-03,22.5
2021-08-04,31.5
2021-08-05,22.0
2021-08-06,18.5
2021-08-07,31.5
2021-08-08,30.5
2021-08-09,24.5
2021-08-10,21.0
2021-08-11,18.0
2021-08-12,22.5
2021-08-13,30.0
2021-08-14,25.0
2021-08-15,29.0
2021-08-16,30.5
2021-08-17,0.0
2021-08-18,22.5
2021-08-19,26.5
2021-08-20,23.5
2021-08-21,32.0
2021-08-22,0.0
2021-08-23,26.5
2021-08-24,0.0
2021-08-25,35.0
2021-08-26,33.0
2021-08-27,0.0
2021-08-28,24.0
2021-08-29,18.0
2021-08-30,21.0
2021-08-31,34.5
2021-09-01,17.0
2021-09-02,26.0
2021-09-03,0.0
2021-09-04,25.0
2021-09-05,21.0
2021-09-06,23.0
2021-09-07,16.5
2021-09-08,26.0
2021-09-09,0.0
2021-09-10,21.0
2021-09-11,26.5
2021-09-12,22.0
2021-09-13,16.5
2021-09-14,34.0
2021-09-15,0.0
2021-09-16,22.5
2021-09-17,18.0
2021-09-18,26.5
2021-09-19,17.5
2021-09-20,21.0
2021-09-21,22.5
2021-09-22,25.5
2021-09-23,23.5
2021-09-24,25.5
2021-09-25,24.0
2021-09-26,26.0
2021-09-27,0.0
2021-09-28,24.0
2021-09-29,23.5
2021-09-30,18.0
2021-10-01,16.0
2021-10-02,40.0
2021-10-03,0.0
2021-10-04,17.5
2021-10-05,22.0
2021-10-06,15.5
2021-10-07,0.0
2021-10-08,22.0
2021-10-09,29.0
2021-10-10,36.0
2021-10-11,21.5
2021-10-12,40.0
2021-10-13,37.0
2021-10-14,29.0
2021-10-15,28.5
2021-10-16,35.5
2021-10-17,50.0
2021-10-18,30.5
2021-10-19,30.0
2021-10-20,21.0
2021-10-21,29.0
2021-10-22,37.5
2021-10-23,35.0
2021-10-24,25.0
2021-10-25,32.0
2021-10-26,28.5
2021-10-27,27.5
2021-10-28,31.0
2021-10-29,32.0
2021-10-30,30.0
2021-10-31,32.0
2021-11-01,29.0
2021-11-02,24.0
2021-11-03,18.5
2021-11-04,29.0
2021-11-05,28.5
2021-11-06,25.0
2021-11-07,23.5
2021-11-08,25.5
2021-11-09,27.0
2021-11-10,40.5
2021-11-11,27.5
2021-11-12,26.5
2021-11-13,37.0
2021-11-14,30.0
2021-11-15,30.5
2021-11-16,19.0
2021-11-17,29.5
2021-11-18,28.5
2021-11-19,37.0
2021-11-20,33.0
2021-11-21,21.0
2021-11-22,17.5
2021-11-23,28.5
2021-11-24,30.0
2021-11-25,30.5
2021-11-26,30.0
2021-11-27,32.0
2021-11-28,36.0
2021-11-29,27.5
2021-11-30,32.5
2021-12-01,35.5
2021-12-02,27.0
2021-12-03,35.0
2021-12-04,100.0
2021-12-05,63.0
2021-12-06,48.0
2021-12-07,36.0
2021-12-08,44.0
2021-12-09,31.0
2021-12-10,33.0
2021-12-11,45.0
2021-12-12,34.0
2021-12-13,43.0
2021-12-14,37.0
2021-12-15,38.0
2021-12-16,30.0
2021-12-17,34.0
2021-12-18,51.0
2021-12-19,41.0
2021-12-20,35.0
2021-12-21,29.0
2021-12-22,36.0
2021-12-23,29.0
2021-12-24,36.0
2021-12-25,41.0
2021-12-26,48.0
2021-12-27,29.0
2021-12-28,37.0
2021-12-29,31.0
2021-12-30,50.0
2021-12-31,30.0
2022-01-01,37.0
2022-01-02,50.0
2022-01-03,43.0
2022-01-04,32.0
2022-01-05,25.0
2022-01-06,38.0
2022-01-07,47.0
2022-01-08,36.0
2022-01-09,39.0
2022-01-10,33.0
2022-01-11,43.0
2022-01-12,37.0
2022-01-13,35.0
2022-01-14,55.0
2022-01-15,53.0
2022-01-16,53.0
2022-01-17,40.0
2022-01-18,23.0
2022-01-19,40.0
2022-01-20,33.0
2022-01-21,27.0
2022-01-22,50.0
2022-01-23,48.0
2022-01-24,40.0
2022-01-25,47.0
2022-01-26,37.0
2022-01-27,24.0
2022-01-28,39.0
2022-01-29,33.0
2022-01-30,0.0
2022-01-31,27.0
2022-02-01,38.0
2022-02-02,55.0
2022-02-03,0.0
2022-02-04,41.0
2022-02-05,29.0
2022-02-06,33.0
2022-02-07,25.0
2022-02-08,36.0
2022-02-09,32.0
2022-02-10,0.0
2022-02-11,20.0
2022-02-12,37.0
2022-02-13,35.0
2022-02-14,23.0
2022-02-15,23.0
2022-02-16,41.0
2022-02-17,30.0
2022-02-18,39.0
2022-02-19,35.0
2022-02-20,42.0
2022-02-21,31.0
2022-02-22,35.0
2022-02-23,36.0
2022-02-24,37.0
2022-02-25,44.0
2022-02-26,40.0
2022-02-27,22.0
2022-02-28,21.0
2022-03-01,20.0
2022-03-02,36.0
2022-03-03,30.0
2022-03-04,34.0
2022-03-05,34.0
2022-03-06,40.0
2022-03-07,48.0
2022-03-08,43.0
2022-03-09,28.0
2022-03-10,37.0
2022-03-11,33.0
2022-03-12,19.0
2022-03-13,33.0
2022-03-14,42.0
2022-03-15,26.0
2022-03-16,32.0
2022-03-17,37.0
2022-03-18,33.0
2022-03-19,38.0
2022-03-20,35.0
2022-03-21,31.0
2022-03-22,29.0
2022-03-23,36.0
2022-03-24,21.0
2022-03-25,25.0
2022-03-26,36.0
2022-03-27,37.0
2022-03-28,33.0
2022-03-29,32.0
2022-03-30,21.0
2022-03-31,41.0
2022-04-01,28.0
2022-04-02,29.0
2022-04-03,50.0
2022-04-04,43.0
2022-04-05,26.0
2022-04-06,33.0
2022-04-07,37.0
2022-04-08,45.0
2022-04-09,40.0
2022-04-10,50.0
2022-04-11,51.0
2022-04-12,35.0
2022-04-13,35.0
2022-04-14,42.0
2022-04-15,41.0
2022-04-16,37.0
2022-04-17,59.0
2022-04-18,34.0
2022-04-19,45.0
2022-04-20,39.0
2022-04-21,40.0
2022-04-22,49.0
2022-04-23,36.0
2022-04-24,50.0
2022-04-25,36.0
2022-04-26,40.0
2022-04-27,40.0
2022-04-28,53.0
2022-04-29,39.0
2022-04-30,54.0
2022-05-01,50.0
2022-05-02,48.42
2022-05-03,45.19
2022-05-04,41.96
2022-05-05,42.61
2022-05-06,35.51
2022-05-07,38.09
2022-05-08,47.13
2022-05-09,51.0
2022-05-10,34.86
2022-05-11,38.09
2022-05-12,36.8
2022-05-13,30.34
2022-05-14,45.19
2022-05-15,64.56
2022-05-16,25.18
2022-05-17,29.05
2022-05-18,40.03
2022-05-19,50.35
2022-05-20,41.96
2022-05-21,40.67
2022-05-22,30.34
2022-05-23,49.06
2022-05-24,45.84
2022-05-25,43.9
2022-05-26,38.73
2022-05-27,50.35
2022-05-28,45.84
2022-05-29,34.86
2022-05-30,36.8
2022-05-31,46.48
2022-06-01,34.22
2022-06-02,38.09
2022-06-03,36.8
2022-06-04,49.06
2022-06-05,45.19
2022-06-06,40.67
2022-06-07,46.48
2022-06-08,49.71
2022-06-09,56.16
2022-06-10,38.09
2022-06-11,47.13
2022-06-12,47.13
2022-06-13,36.15
2022-06-14,32.92
2022-06-15,49.06
2022-06-16,37.44
2022-06-17,28.41
2022-06-18,58.1
2022-06-19,53.58
2022-06-20,45.84
2022-06-21,47.13
2022-06-22,32.92
2022-06-23,42.61
2022-06-24,38.09
2022-06-25,46.48
2022-06-26,43.9
2022-06-27,47.77
2022-06-28,40.03
2022-06-29,29.05
2022-06-30,37.44
2022-07-01,41.32
2022-07-02,55.52
2022-07-03,36.15
2022-07-04,46.48
2022-07-05,46.48
2022-07-06,38.73
2022-07-07,38.09
2022-07-08,47.77
2022-07-09,48.42
2022-07-10,33.57
2022-07-11,36.15
2022-07-12,49.06
2022-07-13,36.15
2022-07-14,52.94
2022-07-15,34.22
2022-07-16,48.42
2022-07-17,32.92
2022-07-18,36.15
2022-07-19,41.32
2022-07-20,44.54
2022-07-21,31.63
2022-07-22,34.22
2022-07-23,41.32
2022-07-24,39.38
2022-07-25,41.32
2022-07-26,20.66
2022-07-27,38.73
2022-07-28,36.8
2022-07-29,33.57
2022-07-30,42.61
2022-07-31,38.73
2022-08-01,21.3
2022-08-02,36.15
2022-08-03,54.87
2022-08-04,52.94
2022-08-05,30.99
2022-08-06,33.57
2022-08-07,18.72
2022-08-08,56.16
2022-08-09,46.48
2022-08-10,29.7
2022-08-11,25.18
2022-08-12,44.54
2022-08-13,41.96
2022-08-14,38.09
2022-08-15,37.44
2022-08-16,47.13
2022-08-17,41.96
2022-08-18,56.81
2022-08-19,31.63
2022-08-20,42.61
2022-08-21,47.77
2022-08-22,37.44
2022-08-23,32.28
2022-08-24,51.65
2022-08-25,29.7
2022-08-26,35.51
2022-08-27,31.63
2022-08-28,27.76
2022-08-29,26.47
2022-08-30,32.28
2022-08-31,30.99
2022-09-01,35.51
2022-09-02,36.8
2022-09-03,36.15
2022-09-04,15.49
2022-09-05,31.63
2022-09-06,24.53
2022-09-07,29.05
2022-09-08,29.7
2022-09-09,30.99
2022-09-10,39.38
2022-09-11,39.38
2022-09-12,29.05
2022-09-13,25.82
2022-09-14,19.37
2022-09-15,25.18
2022-09-16,33.57
2022-09-17,31.63
2022-09-18,37.44
2022-09-19,29.05
2022-09-20,31.63
2022-09-21,33.57
2022-09-22,41.32
2022-09-23,34.86
2022-09-24,32.28
2022-09-25,38.73
2022-09-26,36.15
2022-09-27,27.11
2022-09-28,34.22
2022-09-29,35.51
2022-09-30,34.86
2022-10-01,34.22
2022-10-02,34.07
2022-10-03,34.07
2022-10-04,24.94
2022-10-05,24.94
2022-10-06,27.98
2022-10-07,36.5
2022-10-08,31.02
2022-10-09,45.62
2022-10-10,32.24
2022-10-11,32.24
2022-10-12,32.24
2022-10-13,35.28
2022-10-14,40.76
2022-10-15,41.97
2022-10-16,36.5
2022-10-17,31.63
2022-10-18,37.11
2022-10-19,36.5
2022-10-20,44.41
2022-10-21,44.41
2022-10-22,34.07
2022-10-23,32.85
2022-10-24,35.89
2022-10-25,38.93
2022-10-26,35.28
2022-10-27,40.76
2022-10-28,36.5
2022-10-29,38.93
2022-10-30,41.97
2022-10-31,31.02
2022-11-01,33.46
2022-11-02,23.72
2022-11-03,36.5
2022-11-04,43.8
2022-11-05,40.76
2022-11-06,37.72
2022-11-07,48.06
2022-11-08,52.92
2022-11-09,43.8
2022-11-10,48.67
2022-11-11,49.88
2022-11-12,37.11
2022-11-13,32.24
2022-11-14,38.93
2022-11-15,60.83
2022-11-16,59.01
2022-11-17,40.15
2022-11-18,56.57
2022-11-19,59.01
2022-11-20,46.84
2022-11-21,27.37
2022-11-22,37.11
2022-11-23,36.5
2022-11-24,33.46
2022-11-25,29.2
2022-11-26,38.93
2022-11-27,26.16
2022-11-28,27.37
2022-11-29,26.16
2022-11-30,23.72
2022-12-01,38.32
2022-12-02,25.55
2022-12-03,50.49
2022-12-04,41.37
2022-12-05,26.16
2022-12-06,32.85
2022-12-07,35.89
2022-12-08,49.27
2022-12-09,29.81
2022-12-10,45.02
2022-12-11,40.76
2022-12-12,29.81
2022-12-13,36.5
2022-12-14,44.41
2022-12-15,36.5
2022-12-16,27.98
2022-12-17,48.06
2022-12-18,25.55
2022-12-19,31.63
2022-12-20,40.76
2022-12-21,40.15
2022-12-22,31.02
2022-12-23,50.49
2022-12-24,32.85
