date,value
2021-01-01,73.33
2021-01-02,84.23
2021-01-03,63.42
2021-01-04,62.43
2021-01-05,60.45
2021-01-06,48.56
2021-01-07,49.55
2021-01-08,42.61
2021-01-09,75.32
2021-01-10,57.48
2021-01-11,66.4
2021-01-12,45.59
2021-01-13,51.53
2021-01-14,62.43
2021-01-15,70.36
2021-01-16,66.4
2021-01-17,68.38
2021-01-18,40.63
2021-01-19,68.38
2021-01-20,70.36
2021-01-21,65.41
2021-01-22,64.41
2021-01-23,93.15
2021-01-24,87.21
2021-01-25,66.4
2021-01-26,61.44
2021-01-27,89.19
2021-01-28,51.53
2021-01-29,43.6
2021-01-30,74.32
2021-01-31,59.46
2021-02-01,51.53
2021-02-02,44.59
2021-02-03,66.4
2021-02-04,54.5
2021-02-05,47.57
2021-02-06,56.49
2021-02-07,66.4
2021-02-08,62.43
2021-02-09,39.64
2021-02-10,42.61
2021-02-11,33.69
2021-02-12,52.52
2021-02-13,55.5
2021-02-14,49.55
2021-02-15,47.57
2021-02-16,27.75
2021-02-17,49.55
2021-02-18,34.68
2021-02-19,48.56
2021-02-20,0.0
2021-02-21,49.55
2021-02-22,36.67
2021-02-23,49.55
2021-02-24,44.59
2021-02-25,36.67
2021-02-26,49.55
2021-02-27,63.42
2021-02-28,44.59
2021-03-01,42.61
2021-03-02,35.68
2021-03-03,56.49
2021-03-04,33.69
2021-03-05,42.61
2021-03-06,62.43
2021-03-07,72.34
2021-03-08,35.68
2021-03-09,30.72
2021-03-10,52.52
2021-03-11,46.58
2021-03-12,55.5
2021-03-13,59.46
2021-03-14,54.5
2021-03-15,66.4
2021-03-16,75.32
2021-03-17,55.5
2021-03-18,54.5
2021-03-19,61.44
2021-03-20,56.49
2021-03-21,73.33
2021-03-22,49.55
2021-03-23,56.49
2021-03-24,51.53
2021-03-25,68.38
2021-03-26,61.44
2021-03-27,46.58
2021-03-28,85.22
2021-03-29,65.41
2021-03-30,70.36
2021-03-31,53.51
2021-04-01,52.52
2021-04-02,50.54
2021-04-03,55.5
2021-04-04,98.11
2021-04-05,69.37
2021-04-06,49.55
2021-04-07,78.29
2021-04-08,71.35
2021-04-09,75.32
2021-04-10,58.47
2021-04-11,58.47
2021-04-12,70.36
2021-04-13,60.45
2021-04-14,52.52
2021-04-15,43.6
2021-04-16,59.46
2021-04-17,73.33
2021-04-18,77.3
2021-04-19,63.42
2021-04-20,57.48
2021-04-21,99.1
2021-04-22,85.22
2021-04-23,43.6
2021-04-24,75.32
2021-04-25,71.35
2021-04-26,78.29
2021-04-27,65.41
2021-04-28,63.42
2021-04-29,64.41
2021-04-30,81.26
2021-05-01,62.43
2021-05-02,60.45
2021-05-03,73.33
2021-05-04,30.72
2021-05-05,42.61
2021-05-06,40.63
2021-05-07,24.77
2021-05-08,33.69
2021-05-09,36.67
2021-05-10,19.82
2021-05-11,19.82
2021-05-12,49.55
2021-05-13,29.73
