date,value
2021-01-01,0.0
2021-01-02,0.0
2021-01-03,0.0
2021-01-04,40.69
2021-01-05,0.0
2021-01-06,37.19
2021-01-07,0.0
2021-01-08,28.07
2021-01-09,0.0
2021-01-10,0.0
2021-01-11,0.0
2021-01-12,25.96
2021-01-13,0.0
2021-01-14,30.87
2021-01-15,0.0
2021-01-16,0.0
2021-01-17,0.0
2021-01-18,35.78
2021-01-19,0.0
2021-01-20,0.0
2021-01-21,0.0
2021-01-22,44.9
2021-01-23,33.68
2021-01-24,0.0
2021-01-25,0.0
2021-01-26,24.56
2021-01-27,0.0
2021-01-28,32.28
2021-01-29,0.0
2021-01-30,30.17
2021-01-31,35.08
2021-02-01,0.0
2021-02-02,32.98
2021-02-03,0.0
2021-02-04,0.0
2021-02-05,0.0
2021-02-06,30.87
2021-02-07,0.0
2021-02-08,0.0
2021-02-09,0.0
2021-02-10,39.99
2021-02-11,0.0
2021-02-12,0.0
2021-02-13,40.69
2021-02-14,0.0
2021-02-15,0.0
2021-02-16,41.4
2021-02-17,28.77
2021-02-18,48.41
2021-02-19,30.87
2021-02-20,0.0
2021-02-21,0.0
2021-02-22,0.0
2021-02-23,28.77
2021-02-24,0.0
2021-02-25,0.0
2021-02-26,32.28
2021-02-27,33.68
2021-02-28,35.78
2021-03-01,0.0
2021-03-02,0.0
2021-03-03,0.0
2021-03-04,0.0
2021-03-05,0.0
2021-03-06,0.0
2021-03-07,37.19
2021-03-08,0.0
2021-03-09,25.96
2021-03-10,27.36
2021-03-11,35.78
2021-03-12,26.66
2021-03-13,0.0
2021-03-14,0.0
2021-03-15,26.66
2021-03-16,30.17
2021-03-17,35.78
2021-03-18,0.0
2021-03-19,0.0
2021-03-20,0.0
2021-03-21,35.78
2021-03-22,0.0
2021-03-23,0.0
2021-03-24,0.0
2021-03-25,0.0
2021-03-26,0.0
2021-03-27,28.07
2021-03-28,34.38
2021-03-29,32.98
2021-03-30,34.38
2021-03-31,38.59
2021-04-01,0.0
2021-04-02,37.89
2021-04-03,56.13
2021-04-04,0.0
2021-04-05,30.87
2021-04-06,28.77
2021-04-07,31.57
2021-04-08,28.07
2021-04-09,0.0
2021-04-10,0.0
2021-04-11,30.87
2021-04-12,32.28
2021-04-13,25.96
2021-04-14,32.98
2021-04-15,28.07
2021-04-16,36.48
2021-04-17,0.0
2021-04-18,28.07
2021-04-19,30.17
2021-04-20,30.17
2021-04-21,34.38
2021-04-22,0.0
2021-04-23,25.96
2021-04-24,28.77
2021-04-25,46.31
2021-04-26,0.0
2021-04-27,32.98
2021-04-28,24.56
2021-04-29,70.16
2021-04-30,0.0
2021-05-01,54.03
2021-05-02,32.98
2021-05-03,37.19
2021-05-04,26.66
2021-05-05,0.0
2021-05-06,35.08
2021-05-07,40.69
2021-05-08,35.78
2021-05-09,37.89
2021-05-10,0.0
2021-05-11,21.75
2021-05-12,0.0
2021-05-13,24.56
2021-05-14,32.28
2021-05-15,0.0
2021-05-16,0.0
2021-05-17,0.0
2021-05-18,24.56
2021-05-19,23.86
2021-05-20,0.0
2021-05-21,0.0
2021-05-22,25.26
2021-05-23,32.28
2021-05-24,0.0
2021-05-25,26.66
2021-05-26,0.0
2021-05-27,25.96
2021-05-28,27.36
2021-05-29,24.56
2021-05-30,52.62
2021-05-31,32.98
2021-06-01,31.57
2021-06-02,31.57
2021-06-03,0.0
2021-06-04,35.78
2021-06-05,35.78
2021-06-06,0.0
2021-06-07,0.0
2021-06-08,0.0
2021-06-09,0.0
2021-06-10,24.56
2021-06-11,21.75
2021-06-12,37.19
2021-06-13,24.56
2021-06-14,0.0
2021-06-15,30.87
2021-06-16,0.0
2021-06-17,22.45
2021-06-18,0.0
2021-06-19,34.38
2021-06-20,27.36
2021-06-21,27.36
2021-06-22,22.45
2021-06-23,23.86
2021-06-24,24.56
2021-06-25,23.86
2021-06-26,25.96
2021-06-27,30.87
2021-06-28,29.47
2021-06-29,0.0
2021-06-30,27.36
2021-07-01,29.47
2021-07-02,0.0
2021-07-03,46.85
2021-07-04,40.05
2021-07-05,40.8
2021-07-06,37.02
2021-07-07,0.0
2021-07-08,31.74
2021-07-09,75.56
2021-07-10,49.87
2021-07-11,37.78
2021-07-12,0.0
2021-07-13,28.71
