date,value
2021-01-01,85.0
2021-01-02,83.0
2021-01-03,75.0
2021-01-04,68.0
2021-01-05,72.0
2021-01-06,66.0
2021-01-07,76.0
2021-01-08,79.0
2021-01-09,72.0
2021-01-10,77.0
2021-01-11,57.0
2021-01-12,50.0
2021-01-13,66.0
2021-01-14,85.0
2021-01-15,77.0
2021-01-16,87.0
2021-01-17,80.0
2021-01-18,78.0
2021-01-19,72.0
2021-01-20,70.0
2021-01-21,80.0
2021-01-22,70.0
2021-01-23,100.0
2021-01-24,92.0
2021-01-25,80.0
2021-01-26,76.0
2021-01-27,82.0
2021-01-28,45.0
2021-01-29,57.0
2021-01-30,56.0
2021-01-31,61.0
2021-02-01,49.0
2021-02-02,57.0
2021-02-03,43.0
2021-02-04,46.0
2021-02-05,57.0
2021-02-06,45.0
2021-02-07,37.0
2021-02-08,44.0
2021-02-09,45.0
2021-02-10,44.0
2021-02-11,39.0
2021-02-12,58.0
2021-02-13,50.0
2021-02-14,68.0
2021-02-15,58.0
2021-02-16,33.0
2021-02-17,46.0
2021-02-18,54.0
2021-02-19,39.0
2021-02-20,45.0
2021-02-21,49.0
2021-02-22,38.0
2021-02-23,51.0
2021-02-24,45.0
2021-02-25,65.0
2021-02-26,49.0
2021-02-27,39.0
2021-02-28,65.0
2021-03-01,50.0
2021-03-02,52.0
2021-03-03,56.0
2021-03-04,55.0
2021-03-05,60.0
2021-03-06,62.0
2021-03-07,53.0
2021-03-08,69.0
2021-03-09,66.0
2021-03-10,66.0
2021-03-11,62.0
2021-03-12,60.0
2021-03-13,68.0
2021-03-14,76.0
2021-03-15,71.0
2021-03-16,69.0
2021-03-17,63.0
2021-03-18,67.0
2021-03-19,68.0
2021-03-20,68.0
2021-03-21,69.0
2021-03-22,44.0
2021-03-23,63.0
2021-03-24,63.0
2021-03-25,55.0
2021-03-26,65.0
2021-03-27,86.0
2021-03-28,88.0
2021-03-29,62.0
2021-03-30,67.0
2021-03-31,66.0
2021-04-01,52.0
2021-04-02,81.0
2021-04-03,62.0
2021-04-04,79.0
2021-04-05,72.0
2021-04-06,56.0
2021-04-07,64.0
2021-04-08,67.0
2021-04-09,66.0
2021-04-10,76.0
2021-04-11,73.0
2021-04-12,64.0
2021-04-13,70.0
2021-04-14,60.0
2021-04-15,71.0
2021-04-16,73.0
2021-04-17,88.0
2021-04-18,63.0
2021-04-19,62.0
2021-04-20,71.0
2021-04-21,92.0
2021-04-22,67.0
2021-04-23,61.0
2021-04-24,72.0
2021-04-25,65.0
2021-04-26,68.0
2021-04-27,69.0
2021-04-28,64.0
2021-04-29,37.0
2021-04-30,57.0
2021-05-01,69.0
2021-05-02,53.0
2021-05-03,55.0
2021-05-04,41.0
2021-05-05,47.0
2021-05-06,52.0
2021-05-07,42.0
2021-05-08,38.0
2021-05-09,51.0
2021-05-10,45.0
2021-05-11,48.0
2021-05-12,46.0
2021-05-13,46.0
2021-05-14,39.0
2021-05-15,47.0
2021-05-16,47.0
2021-05-17,37.0
2021-05-18,50.0
2021-05-19,36.0
2021-05-20,40.0
2021-05-21,39.0
2021-05-22,46.0
2021-05-23,51.0
2021-05-24,34.0
2021-05-25,39.0
2021-05-26,39.0
2021-05-27,48.0
2021-05-28,50.0
2021-05-29,37.0
2021-05-30,40.0
2021-05-31,46.0
2021-06-01,33.0
2021-06-02,44.0
2021-06-03,44.0
2021-06-04,41.0
2021-06-05,52.0
2021-06-06,37.0
2021-06-07,31.0
2021-06-08,31.0
2021-06-09,33.0
2021-06-10,48.0
2021-06-11,36.0
2021-06-12,33.0
2021-06-13,44.0
2021-06-14,34.0
2021-06-15,33.0
2021-06-16,33.0
2021-06-17,42.0
2021-06-18,33.0
2021-06-19,38.0
2021-06-20,42.0
2021-06-21,26.0
2021-06-22,33.0
2021-06-23,30.0
2021-06-24,44.0
2021-06-25,32.0
2021-06-26,37.0
2021-06-27,41.0
2021-06-28,33.0
2021-06-29,40.0
2021-06-30,49.0
2021-07-01,46.0
2021-07-02,39.81
2021-07-03,37.71
2021-07-04,37.71
2021-07-05,39.29
2021-07-06,39.81
2021-07-07,25.14
2021-07-08,39.29
2021-07-09,40.86
2021-07-10,30.9
2021-07-11,34.57
2021-07-12,31.43
2021-07-13,33.0
2021-07-14,35.62
2021-07-15,43.48
2021-07-16,33.0
2021-07-17,47.14
2021-07-18,34.05
2021-07-19,44.0
2021-07-20,28.81
2021-07-21,38.24
2021-07-22,34.05
2021-07-23,28.81
2021-07-24,34.05
2021-07-25,27.76
2021-07-26,25.14
2021-07-27,30.9
2021-07-28,28.81
2021-07-29,32.48
2021-07-30,28.81
2021-07-31,33.0
2021-08-01,41.38
2021-08-02,39.81
2021-08-03,36.67
2021-08-04,29.33
2021-08-05,41.38
2021-08-06,39.29
2021-08-07,37.19
2021-08-08,31.43
2021-08-09,30.9
2021-08-10,35.1
2021-08-11,24.1
2021-08-12,27.76
2021-08-13,28.81
2021-08-14,35.62
2021-08-15,33.52
2021-08-16,25.67
2021-08-17,35.1
2021-08-18,24.62
2021-08-19,30.38
2021-08-20,28.29
2021-08-21,28.29
2021-08-22,32.48
2021-08-23,35.1
2021-08-24,34.57
2021-08-25,30.38
2021-08-26,24.1
2021-08-27,24.62
2021-08-28,20.95
2021-08-29,28.81
2021-08-30,26.71
2021-08-31,29.86
2021-09-01,28.29
2021-09-02,29.33
2021-09-03,31.95
2021-09-04,29.86
2021-09-05,25.14
2021-09-06,31.43
2021-09-07,14.67
2021-09-08,14.14
2021-09-09,27.76
2021-09-10,18.33
2021-09-11,19.38
2021-09-12,24.1
2021-09-13,24.62
2021-09-14,26.19
2021-09-15,22.52
2021-09-16,25.67
2021-09-17,28.81
2021-09-18,31.43
2021-09-19,40.86
2021-09-20,24.1
2021-09-21,27.24
2021-09-22,36.67
2021-09-23,23.57
2021-09-24,27.76
2021-09-25,28.81
2021-09-26,40.33
2021-09-27,26.71
2021-09-28,16.24
2021-09-29,31.95
2021-09-30,31.43
2021-10-01,31.43
2021-10-02,37.71
2021-10-03,31.95
2021-10-04,22.52
2021-10-05,20.43
2021-10-06,39.29
2021-10-07,40.86
2021-10-08,39.81
2021-10-09,37.71
2021-10-10,48.71
2021-10-11,33.52
2021-10-12,33.0
2021-10-13,45.05
2021-10-14,30.38
2021-10-15,49.24
2021-10-16,36.14
2021-10-17,41.38
2021-10-18,51.86
2021-10-19,41.38
2021-10-20,44.0
2021-10-21,38.76
2021-10-22,35.62
2021-10-23,43.48
2021-10-24,42.43
2021-10-25,35.62
2021-10-26,36.14
2021-10-27,40.86
2021-10-28,29.33
2021-10-29,46.62
2021-10-30,25.14
2021-10-31,42.95
2021-11-01,31.43
2021-11-02,42.95
2021-11-03,35.1
2021-11-04,34.57
2021-11-05,30.9
2021-11-06,49.76
2021-11-07,40.86
2021-11-08,42.43
2021-11-09,34.57
2021-11-10,35.1
2021-11-11,37.71
2021-11-12,33.52
2021-11-13,44.52
2021-11-14,51.86
2021-11-15,32.48
2021-11-16,33.0
2021-11-17,44.52
2021-11-18,37.19
2021-11-19,45.05
2021-11-20,39.29
2021-11-21,45.57
2021-11-22,35.62
2021-11-23,40.33
2021-11-24,40.33
2021-11-25,37.19
2021-11-26,37.19
2021-11-27,40.33
2021-11-28,36.14
2021-11-29,34.57
2021-11-30,27.24
2021-12-01,31.95
2021-12-02,38.84
2021-12-03,38.84
2021-12-04,41.32
2021-12-05,40.5
2021-12-06,26.45
2021-12-07,42.15
2021-12-08,40.5
