date,value
2021-01-01,19.15
2021-01-02,18.46
2021-01-03,20.97
2021-01-04,19.6
2021-01-05,16.87
2021-01-06,17.1
2021-01-07,18.01
2021-01-08,17.1
2021-01-09,18.24
2021-01-10,17.55
2021-01-11,16.87
2021-01-12,15.96
2021-01-13,15.96
2021-01-14,16.87
2021-01-15,17.55
2021-01-16,17.32
2021-01-17,17.32
2021-01-18,16.87
2021-01-19,17.55
2021-01-20,17.78
2021-01-21,17.32
2021-01-22,18.92
2021-01-23,18.46
2021-01-24,17.1
2021-01-25,17.55
2021-01-26,18.92
2021-01-27,19.83
2021-01-28,15.96
2021-01-29,15.04
2021-01-30,13.68
2021-01-31,12.77
2021-02-01,11.4
2021-02-02,10.26
2021-02-03,11.4
2021-02-04,11.4
2021-02-05,12.31
2021-02-06,13.22
2021-02-07,13.68
2021-02-08,11.63
2021-02-09,9.57
2021-02-10,11.63
2021-02-11,10.03
2021-02-12,17.78
2021-02-13,13.68
2021-02-14,10.94
2021-02-15,10.94
2021-02-16,10.03
2021-02-17,9.57
2021-02-18,8.89
2021-02-19,9.12
2021-02-20,8.89
2021-02-21,8.66
2021-02-22,9.35
2021-02-23,9.57
2021-02-24,10.03
2021-02-25,10.03
2021-02-26,9.8
2021-02-27,10.26
2021-02-28,11.17
2021-03-01,14.82
2021-03-02,15.96
2021-03-03,17.55
2021-03-04,20.52
2021-03-05,22.8
2021-03-06,20.97
2021-03-07,21.66
2021-03-08,19.38
2021-03-09,13.68
2021-03-10,15.96
2021-03-11,16.87
2021-03-12,16.64
2021-03-13,13.91
2021-03-14,13.91
2021-03-15,11.63
2021-03-16,11.63
2021-03-17,12.08
2021-03-18,11.4
2021-03-19,12.31
2021-03-20,11.17
2021-03-21,11.63
2021-03-22,10.71
2021-03-23,10.94
2021-03-24,10.71
2021-03-25,10.26
2021-03-26,10.71
2021-03-27,10.94
2021-03-28,10.49
2021-03-29,9.57
2021-03-30,9.57
2021-03-31,10.26
2021-04-01,9.8
2021-04-02,9.12
2021-04-03,10.03
2021-04-04,9.8
2021-04-05,9.35
2021-04-06,10.03
2021-04-07,9.12
2021-04-08,9.57
2021-04-09,10.03
2021-04-10,9.12
