date,value
2021-01-01,60.0
2021-01-02,61.0
2021-01-03,61.0
2021-01-04,57.0
2021-01-05,56.0
2021-01-06,55.0
2021-01-07,74.0
2021-01-08,74.0
2021-01-09,93.0
2021-01-10,93.0
2021-01-11,100.0
2021-01-12,70.0
2021-01-13,83.0
2021-01-14,71.0
2021-01-15,64.0
2021-01-16,73.0
2021-01-17,82.0
2021-01-18,71.0
2021-01-19,64.0
2021-01-20,55.0
2021-01-21,51.0
2021-01-22,48.0
2021-01-23,46.0
2021-01-24,49.0
2021-01-25,43.0
2021-01-26,48.0
2021-01-27,46.0
2021-01-28,45.0
2021-01-29,46.0
2021-01-30,42.0
2021-01-31,49.0
2021-02-01,33.0
2021-02-02,32.0
2021-02-03,36.0
2021-02-04,31.0
2021-02-05,31.0
2021-02-06,36.0
2021-02-07,39.0
2021-02-08,29.0
2021-02-09,31.0
2021-02-10,24.0
2021-02-11,19.0
2021-02-12,21.0
2021-02-13,26.0
2021-02-14,21.0
2021-02-15,18.0
2021-02-16,23.0
2021-02-17,21.0
2021-02-18,16.0
2021-02-19,17.0
2021-02-20,25.0
2021-02-21,18.0
2021-02-22,17.0
2021-02-23,16.0
2021-02-24,15.0
2021-02-25,15.0
2021-02-26,16.0
2021-02-27,16.0
2021-02-28,19.0
2021-03-01,17.0
2021-03-02,18.0
2021-03-03,14.0
2021-03-04,14.0
2021-03-05,18.0
2021-03-06,20.0
2021-03-07,16.0
2021-03-08,14.0
2021-03-09,20.0
2021-03-10,17.0
2021-03-11,14.0
2021-03-12,14.0
2021-03-13,16.0
2021-03-14,15.0
2021-03-15,15.0
2021-03-16,14.0
2021-03-17,17.0
2021-03-18,13.0
2021-03-19,13.0
2021-03-20,13.0
2021-03-21,16.0
2021-03-22,14.0
2021-03-23,10.0
2021-03-24,16.0
2021-03-25,13.0
2021-03-26,16.0
2021-03-27,18.0
2021-03-28,17.0
2021-03-29,18.0
2021-03-30,13.0
2021-03-31,11.0
2021-04-01,13.0
2021-04-02,12.0
2021-04-03,11.0
2021-04-04,15.0
2021-04-05,12.0
2021-04-06,11.0
2021-04-07,16.0
2021-04-08,13.0
2021-04-09,14.0
2021-04-10,14.0
2021-04-11,12.0
2021-04-12,18.0
2021-04-13,10.0
2021-04-14,17.0
2021-04-15,14.0
2021-04-16,9.0
2021-04-17,13.0
2021-04-18,14.0
2021-04-19,13.0
2021-04-20,9.0
2021-04-21,12.0
2021-04-22,12.0
2021-04-23,15.0
2021-04-24,7.0
2021-04-25,12.0
2021-04-26,12.0
2021-04-27,8.0
2021-04-28,11.0
2021-04-29,10.0
2021-04-30,13.0
2021-05-01,14.0
2021-05-02,8.0
2021-05-03,10.0
2021-05-04,9.0
2021-05-05,10.0
2021-05-06,10.0
2021-05-07,9.0
2021-05-08,6.0
2021-05-09,10.0
2021-05-10,10.0
2021-05-11,10.0
2021-05-12,10.0
2021-05-13,6.0
2021-05-14,8.0
2021-05-15,6.0
2021-05-16,10.0
2021-05-17,10.0
2021-05-18,7.0
2021-05-19,8.0
2021-05-20,6.0
2021-05-21,10.0
2021-05-22,7.0
2021-05-23,9.0
2021-05-24,12.0
2021-05-25,7.0
2021-05-26,11.0
2021-05-27,9.0
2021-05-28,6.0
2021-05-29,10.0
2021-05-30,10.0
2021-05-31,9.0
2021-06-01,8.0
2021-06-02,7.0
2021-06-03,9.0
2021-06-04,0.0
2021-06-05,8.0
2021-06-06,8.0
2021-06-07,10.0
2021-06-08,11.0
2021-06-09,9.0
2021-06-10,7.0
2021-06-11,9.0
2021-06-12,6.0
2021-06-13,7.0
2021-06-14,6.0
2021-06-15,5.0
2021-06-16,7.0
2021-06-17,4.0
2021-06-18,6.0
2021-06-19,6.0
2021-06-20,8.0
2021-06-21,8.0
2021-06-22,6.0
2021-06-23,7.0
2021-06-24,7.0
2021-06-25,7.0
2021-06-26,8.0
2021-06-27,8.0
2021-06-28,5.0
2021-06-29,0.0
2021-06-30,5.0
2021-07-01,8.0
2021-07-02,7.47
2021-07-03,6.53
2021-07-04,8.4
2021-07-05,7.0
2021-07-06,8.4
2021-07-07,6.53
2021-07-08,5.6
2021-07-09,7.93
