date,value
2021-01-01,65.07
2021-01-02,70.01
2021-01-03,64.25
2021-01-04,58.48
2021-01-05,58.48
2021-01-06,59.31
2021-01-07,68.37
2021-01-08,79.9
2021-01-09,79.07
2021-01-10,82.37
2021-01-11,79.07
2021-01-12,72.48
2021-01-13,70.84
2021-01-14,71.66
2021-01-15,66.72
2021-01-16,70.01
2021-01-17,74.96
2021-01-18,58.48
2021-01-19,60.13
2021-01-20,56.83
2021-01-21,56.83
2021-01-22,51.89
2021-01-23,56.83
2021-01-24,59.31
2021-01-25,56.83
2021-01-26,53.54
2021-01-27,52.72
2021-01-28,47.77
2021-01-29,46.95
2021-01-30,46.13
2021-01-31,48.6
2021-02-01,41.18
2021-02-02,37.89
2021-02-03,42.01
2021-02-04,39.54
2021-02-05,44.48
2021-02-06,43.66
2021-02-07,42.01
2021-02-08,39.54
2021-02-09,36.24
2021-02-10,36.24
2021-02-11,27.18
2021-02-12,34.59
2021-02-13,32.95
2021-02-14,34.59
2021-02-15,33.77
2021-02-16,32.12
2021-02-17,32.95
2021-02-18,32.12
2021-02-19,35.42
2021-02-20,34.59
2021-02-21,30.48
2021-02-22,32.12
2021-02-23,32.12
2021-02-24,38.71
2021-02-25,35.42
2021-02-26,32.12
2021-02-27,36.24
2021-02-28,39.54
2021-03-01,34.59
2021-03-02,38.71
2021-03-03,35.42
2021-03-04,37.89
2021-03-05,37.89
2021-03-06,40.36
2021-03-07,42.83
2021-03-08,37.07
2021-03-09,40.36
2021-03-10,36.24
2021-03-11,39.54
2021-03-12,38.71
2021-03-13,39.54
2021-03-14,41.18
2021-03-15,37.89
2021-03-16,35.42
2021-03-17,41.18
2021-03-18,41.18
2021-03-19,40.36
2021-03-20,38.71
2021-03-21,42.83
2021-03-22,32.95
2021-03-23,32.95
2021-03-24,32.95
2021-03-25,32.12
2021-03-26,30.48
2021-03-27,35.42
2021-03-28,37.07
2021-03-29,32.12
2021-03-30,33.77
2021-03-31,32.12
2021-04-01,34.59
2021-04-02,32.95
2021-04-03,35.42
2021-04-04,38.71
2021-04-05,32.95
2021-04-06,32.12
2021-04-07,30.48
2021-04-08,32.12
2021-04-09,32.95
2021-04-10,32.95
2021-04-11,36.24
2021-04-12,32.95
2021-04-13,32.12
2021-04-14,31.3
2021-04-15,29.65
2021-04-16,33.77
2021-04-17,34.59
2021-04-18,37.89
2021-04-19,34.59
2021-04-20,30.48
2021-04-21,36.24
2021-04-22,35.42
2021-04-23,33.77
2021-04-24,32.95
2021-04-25,39.54
2021-04-26,28.83
2021-04-27,25.53
2021-04-28,27.18
2021-04-29,25.53
2021-04-30,33.77
2021-05-01,32.12
2021-05-02,28.01
2021-05-03,26.36
2021-05-04,27.18
2021-05-05,27.18
2021-05-06,22.24
2021-05-07,21.42
2021-05-08,23.89
2021-05-09,25.53
2021-05-10,21.42
2021-05-11,22.24
2021-05-12,23.89
2021-05-13,24.71
2021-05-14,26.36
2021-05-15,27.18
2021-05-16,28.01
2021-05-17,24.71
2021-05-18,28.01
2021-05-19,24.71
2021-05-20,23.89
2021-05-21,23.06
2021-05-22,24.71
2021-05-23,27.18
2021-05-24,23.06
2021-05-25,25.53
2021-05-26,23.89
2021-05-27,28.83
2021-05-28,22.24
2021-05-29,23.06
2021-05-30,23.06
2021-05-31,25.53
2021-06-01,23.06
2021-06-02,20.59
2021-06-03,24.71
2021-06-04,23.06
2021-06-05,23.06
2021-06-06,28.83
2021-06-07,24.71
2021-06-08,23.89
2021-06-09,28.01
2021-06-10,26.36
2021-06-11,22.24
2021-06-12,18.94
2021-06-13,21.42
2021-06-14,23.89
2021-06-15,20.59
2021-06-16,23.89
2021-06-17,19.77
2021-06-18,23.89
2021-06-19,21.42
2021-06-20,24.71
2021-06-21,22.24
2021-06-22,19.77
2021-06-23,23.89
2021-06-24,26.36
2021-06-25,24.71
2021-06-26,24.71
2021-06-27,23.89
2021-06-28,22.24
2021-06-29,18.12
2021-06-30,23.06
2021-07-01,22.24
2021-07-02,24.35
2021-07-03,23.22
2021-07-04,26.62
2021-07-05,20.95
2021-07-06,24.35
2021-07-07,23.22
2021-07-08,23.22
2021-07-09,28.88
2021-07-10,24.92
2021-07-11,26.62
2021-07-12,23.22
2021-07-13,25.48
2021-07-14,22.65
2021-07-15,18.69
2021-07-16,21.52
2021-07-17,22.09
2021-07-18,22.09
2021-07-19,21.52
2021-07-20,20.39
