date,value
2021-01-01,20.06
2021-01-02,13.21
2021-01-03,16.15
2021-01-04,13.7
2021-01-05,22.02
2021-01-06,0.0
2021-01-07,13.21
2021-01-08,26.91
2021-01-09,22.99
2021-01-10,19.08
2021-01-11,19.08
2021-01-12,26.42
2021-01-13,20.06
2021-01-14,22.99
2021-01-15,16.63
2021-01-16,20.06
2021-01-17,22.51
2021-01-18,29.35
2021-01-19,14.19
2021-01-20,22.51
2021-01-21,12.72
2021-01-22,21.53
2021-01-23,21.53
2021-01-24,23.97
2021-01-25,25.93
2021-01-26,28.38
2021-01-27,17.61
2021-01-28,18.1
2021-01-29,22.02
2021-01-30,19.57
2021-01-31,22.99
2021-02-01,18.1
2021-02-02,22.02
2021-02-03,18.1
2021-02-04,32.29
2021-02-05,19.57
2021-02-06,23.48
2021-02-07,22.02
2021-02-08,20.06
2021-02-09,14.68
2021-02-10,0.0
2021-02-11,0.0
2021-02-12,0.0
2021-02-13,0.0
2021-02-14,48.92
2021-02-15,35.23
2021-02-16,21.04
2021-02-17,19.08
2021-02-18,19.57
2021-02-19,18.59
2021-02-20,15.66
2021-02-21,17.61
2021-02-22,16.63
2021-02-23,21.04
2021-02-24,21.04
2021-02-25,21.53
2021-02-26,24.46
2021-02-27,18.1
2021-02-28,11.74
2021-03-01,20.06
2021-03-02,27.89
2021-03-03,21.04
2021-03-04,22.51
2021-03-05,15.66
2021-03-06,18.59
2021-03-07,29.35
2021-03-08,15.66
2021-03-09,18.59
2021-03-10,34.25
2021-03-11,21.53
2021-03-12,26.42
2021-03-13,20.06
2021-03-14,26.42
2021-03-15,30.33
2021-03-16,31.31
2021-03-17,23.97
2021-03-18,36.2
2021-03-19,30.33
2021-03-20,26.42
2021-03-21,34.25
2021-03-22,26.42
2021-03-23,17.12
2021-03-24,32.78
2021-03-25,23.48
2021-03-26,15.17
2021-03-27,21.04
2021-03-28,31.8
2021-03-29,13.7
2021-03-30,32.78
2021-03-31,16.15
2021-04-01,25.93
2021-04-02,25.93
2021-04-03,22.99
2021-04-04,37.67
2021-04-05,28.38
2021-04-06,28.87
2021-04-07,21.04
2021-04-08,31.31
2021-04-09,23.97
2021-04-10,26.91
2021-04-11,25.93
2021-04-12,30.33
2021-04-13,31.31
2021-04-14,16.63
2021-04-15,22.99
2021-04-16,28.38
2021-04-17,33.76
2021-04-18,25.44
2021-04-19,27.4
2021-04-20,29.84
2021-04-21,31.31
2021-04-22,25.93
2021-04-23,30.82
2021-04-24,28.87
2021-04-25,24.46
2021-04-26,23.48
2021-04-27,35.23
2021-04-28,23.97
2021-04-29,21.53
2021-04-30,28.87
2021-05-01,26.42
2021-05-02,32.29
2021-05-03,33.27
2021-05-04,32.78
2021-05-05,14.68
2021-05-06,24.46
2021-05-07,17.12
2021-05-08,14.68
2021-05-09,28.38
2021-05-10,24.95
2021-05-11,25.44
2021-05-12,25.93
2021-05-13,25.44
2021-05-14,33.27
2021-05-15,26.91
2021-05-16,22.02
2021-05-17,26.42
2021-05-18,20.55
2021-05-19,30.33
2021-05-20,32.29
2021-05-21,28.38
2021-05-22,22.51
2021-05-23,22.51
2021-05-24,24.95
2021-05-25,26.91
2021-05-26,20.55
2021-05-27,20.06
2021-05-28,24.46
2021-05-29,23.97
2021-05-30,32.78
2021-05-31,15.66
2021-06-01,22.51
2021-06-02,31.31
2021-06-03,24.95
2021-06-04,23.48
2021-06-05,24.95
2021-06-06,17.61
2021-06-07,25.44
2021-06-08,22.51
2021-06-09,0.0
2021-06-10,31.31
2021-06-11,23.48
2021-06-12,16.15
2021-06-13,20.06
2021-06-14,23.97
2021-06-15,22.02
2021-06-16,20.06
2021-06-17,21.04
2021-06-18,17.61
2021-06-19,23.48
2021-06-20,17.12
2021-06-21,21.53
2021-06-22,18.1
2021-06-23,19.08
2021-06-24,19.08
2021-06-25,27.89
2021-06-26,22.51
2021-06-27,18.1
2021-06-28,13.21
2021-06-29,22.99
2021-06-30,20.06
2021-07-01,30.33
2021-07-02,29.13
2021-07-03,19.98
2021-07-04,22.02
2021-07-05,25.4
2021-07-06,33.87
2021-07-07,26.42
2021-07-08,19.65
2021-07-09,32.85
2021-07-10,25.06
