date,value
2021-01-01,72.53
2021-01-02,78.79
2021-01-03,59.09
2021-01-04,65.36
2021-01-05,61.78
2021-01-06,65.36
2021-01-07,68.94
2021-01-08,69.84
2021-01-09,64.47
2021-01-10,67.15
2021-01-11,72.53
2021-01-12,65.36
2021-01-13,68.05
2021-01-14,69.84
2021-01-15,67.15
2021-01-16,72.53
2021-01-17,74.32
2021-01-18,70.73
2021-01-19,70.73
2021-01-20,71.63
2021-01-21,76.11
2021-01-22,68.94
2021-01-23,77.0
2021-01-24,89.54
2021-01-25,87.75
2021-01-26,82.37
2021-01-27,84.17
2021-01-28,67.15
2021-01-29,74.32
2021-01-30,70.73
2021-01-31,76.11
2021-02-01,58.2
2021-02-02,65.36
2021-02-03,69.84
2021-02-04,63.57
2021-02-05,78.79
2021-02-06,81.48
2021-02-07,79.69
2021-02-08,58.2
2021-02-09,54.62
2021-02-10,59.09
2021-02-11,51.93
2021-02-12,53.72
2021-02-13,63.57
2021-02-14,59.09
2021-02-15,59.09
2021-02-16,53.72
2021-02-17,52.83
2021-02-18,54.62
2021-02-19,51.04
2021-02-20,56.41
2021-02-21,52.83
2021-02-22,59.09
2021-02-23,57.3
2021-02-24,57.3
2021-02-25,58.2
2021-02-26,54.62
2021-02-27,52.83
2021-02-28,56.41
2021-03-01,50.14
2021-03-02,59.09
2021-03-03,56.41
2021-03-04,57.3
2021-03-05,61.78
2021-03-06,66.26
2021-03-07,64.47
2021-03-08,52.83
2021-03-09,62.68
2021-03-10,72.53
2021-03-11,74.32
2021-03-12,74.32
2021-03-13,73.42
2021-03-14,83.27
2021-03-15,74.32
2021-03-16,79.69
2021-03-17,76.11
2021-03-18,86.85
2021-03-19,69.84
2021-03-20,77.9
2021-03-21,76.11
2021-03-22,70.73
2021-03-23,58.2
2021-03-24,69.84
2021-03-25,71.63
2021-03-26,70.73
2021-03-27,64.47
2021-03-28,68.05
2021-03-29,68.05
2021-03-30,68.05
2021-03-31,71.63
2021-04-01,74.32
2021-04-02,61.78
2021-04-03,73.42
2021-04-04,75.21
2021-04-05,73.42
2021-04-06,68.94
2021-04-07,67.15
2021-04-08,58.2
2021-04-09,59.99
2021-04-10,71.63
2021-04-11,71.63
2021-04-12,73.42
2021-04-13,65.36
2021-04-14,63.57
2021-04-15,74.32
2021-04-16,65.36
2021-04-17,69.84
2021-04-18,75.21
2021-04-19,74.32
2021-04-20,72.53
2021-04-21,76.11
2021-04-22,68.05
2021-04-23,69.84
2021-04-24,68.05
2021-04-25,68.05
2021-04-26,59.09
2021-04-27,46.56
2021-04-28,66.26
2021-04-29,52.83
2021-04-30,61.78
2021-05-01,59.09
2021-05-02,52.83
2021-05-03,52.83
2021-05-04,55.51
2021-05-05,48.35
2021-05-06,51.04
2021-05-07,49.25
2021-05-08,47.46
2021-05-09,52.83
2021-05-10,42.98
2021-05-11,44.77
2021-05-12,46.56
2021-05-13,43.87
2021-05-14,40.29
2021-05-15,45.66
2021-05-16,45.66
2021-05-17,43.87
2021-05-18,46.56
2021-05-19,42.98
2021-05-20,50.14
2021-05-21,50.14
2021-05-22,43.87
2021-05-23,51.04
2021-05-24,48.35
2021-05-25,46.56
2021-05-26,47.46
2021-05-27,45.66
2021-05-28,42.08
2021-05-29,44.77
2021-05-30,44.77
2021-05-31,39.4
2021-06-01,40.29
2021-06-02,38.5
2021-06-03,34.02
2021-06-04,36.71
2021-06-05,34.02
2021-06-06,46.56
2021-06-07,42.08
2021-06-08,43.87
2021-06-09,40.29
2021-06-10,45.66
2021-06-11,32.23
2021-06-12,34.02
2021-06-13,32.23
2021-06-14,36.71
2021-06-15,34.92
2021-06-16,37.61
2021-06-17,34.92
2021-06-18,34.92
2021-06-19,36.71
2021-06-20,38.5
2021-06-21,44.77
2021-06-22,40.29
2021-06-23,37.61
2021-06-24,45.66
2021-06-25,42.98
2021-06-26,43.87
2021-06-27,34.92
2021-06-28,34.92
2021-06-29,32.23
2021-06-30,45.66
2021-07-01,44.77
2021-07-02,39.67
2021-07-03,42.63
2021-07-04,46.18
2021-07-05,49.14
2021-07-06,42.04
2021-07-07,39.67
2021-07-08,40.26
2021-07-09,45.59
2021-07-10,43.22
2021-07-11,42.04
2021-07-12,49.14
2021-07-13,41.45
2021-07-14,47.37
2021-07-15,43.22
2021-07-16,42.04
2021-07-17,42.63
2021-07-18,40.26
2021-07-19,37.3
2021-07-20,44.41
2021-07-21,37.3
2021-07-22,36.12
2021-07-23,37.3
2021-07-24,33.75
2021-07-25,25.46
2021-07-26,34.93
2021-07-27,34.34
2021-07-28,29.01
2021-07-29,33.75
2021-07-30,35.53
2021-07-31,37.89
2021-08-01,31.38
2021-08-02,27.83
2021-08-03,33.16
2021-08-04,41.45
2021-08-05,38.49
2021-08-06,34.93
2021-08-07,36.12
2021-08-08,45.59
2021-08-09,34.34
2021-08-10,31.38
2021-08-11,40.86
2021-08-12,40.26
2021-08-13,40.86
2021-08-14,34.34
2021-08-15,35.53
2021-08-16,35.53
2021-08-17,40.26
2021-08-18,34.93
2021-08-19,38.49
2021-08-20,45.59
2021-08-21,28.42
2021-08-22,33.75
2021-08-23,32.57
2021-08-24,40.86
2021-08-25,34.34
2021-08-26,37.3
2021-08-27,32.57
2021-08-28,33.75
2021-08-29,37.3
2021-08-30,35.53
2021-08-31,40.26
2021-09-01,59.21
2021-09-02,39.08
2021-09-03,39.67
2021-09-04,39.67
2021-09-05,34.93
2021-09-06,33.75
2021-09-07,30.79
2021-09-08,29.61
2021-09-09,31.97
2021-09-10,39.08
2021-09-11,33.16
2021-09-12,42.04
2021-09-13,31.97
2021-09-14,37.89
2021-09-15,30.79
2021-09-16,27.83
2021-09-17,35.53
2021-09-18,34.93
2021-09-19,38.49
2021-09-20,35.53
2021-09-21,29.01
2021-09-22,34.34
2021-09-23,30.2
2021-09-24,37.3
2021-09-25,34.34
2021-09-26,37.89
2021-09-27,40.86
2021-09-28,30.2
2021-09-29,39.67
2021-09-30,33.75
2021-10-01,34.93
2021-10-02,33.75
2021-10-03,44.41
2021-10-04,38.49
2021-10-05,31.97
2021-10-06,42.63
