date,value
2021-01-01,57.0
2021-01-02,75.0
2021-01-03,61.0
2021-01-04,52.0
2021-01-05,60.0
2021-01-06,62.0
2021-01-07,65.0
2021-01-08,63.0
2021-01-09,76.0
2021-01-10,56.0
2021-01-11,73.0
2021-01-12,77.0
2021-01-13,74.0
2021-01-14,72.0
2021-01-15,71.0
2021-01-16,67.0
2021-01-17,80.0
2021-01-18,74.0
2021-01-19,67.0
2021-01-20,72.0
2021-01-21,79.0
2021-01-22,60.0
2021-01-23,80.0
2021-01-24,79.0
2021-01-25,93.0
2021-01-26,93.0
2021-01-27,100.0
2021-01-28,70.0
2021-01-29,80.0
2021-01-30,73.0
2021-01-31,82.0
2021-02-01,68.0
2021-02-02,66.0
2021-02-03,70.0
2021-02-04,57.0
2021-02-05,62.0
2021-02-06,74.0
2021-02-07,65.0
2021-02-08,68.0
2021-02-09,46.0
2021-02-10,57.0
2021-02-11,37.0
2021-02-12,59.0
2021-02-13,54.0
2021-02-14,57.0
2021-02-15,53.0
2021-02-16,57.0
2021-02-17,39.0
2021-02-18,46.0
2021-02-19,39.0
2021-02-20,48.0
2021-02-21,36.0
2021-02-22,50.0
2021-02-23,48.0
2021-02-24,38.0
2021-02-25,47.0
2021-02-26,29.0
2021-02-27,39.0
2021-02-28,41.0
2021-03-01,47.0
2021-03-02,40.0
2021-03-03,40.0
2021-03-04,41.0
2021-03-05,43.0
2021-03-06,47.0
2021-03-07,46.0
2021-03-08,43.0
2021-03-09,54.0
2021-03-10,47.0
2021-03-11,52.0
2021-03-12,56.0
2021-03-13,58.0
2021-03-14,63.0
2021-03-15,55.0
2021-03-16,60.0
2021-03-17,62.0
2021-03-18,69.0
2021-03-19,39.0
2021-03-20,54.0
2021-03-21,57.0
2021-03-22,45.0
2021-03-23,47.0
2021-03-24,45.0
2021-03-25,60.0
2021-03-26,61.0
2021-03-27,51.0
2021-03-28,61.0
2021-03-29,42.0
2021-03-30,61.0
2021-03-31,52.0
2021-04-01,56.0
2021-04-02,55.0
2021-04-03,59.0
