date,value
2021-01-01,75.96
2021-01-02,66.1
2021-01-03,69.06
2021-01-04,53.27
2021-01-05,29.6
2021-01-06,43.41
2021-01-07,48.34
2021-01-08,57.22
2021-01-09,34.53
2021-01-10,66.1
2021-01-11,51.3
2021-01-12,56.23
2021-01-13,54.26
2021-01-14,51.3
2021-01-15,40.45
2021-01-16,47.35
2021-01-17,66.1
2021-01-18,64.12
2021-01-19,33.54
2021-01-20,51.3
2021-01-21,70.04
2021-01-22,45.38
2021-01-23,73.0
2021-01-24,67.08
2021-01-25,70.04
2021-01-26,50.31
2021-01-27,43.41
2021-01-28,76.95
2021-01-29,72.02
2021-01-30,45.38
2021-01-31,54.26
2021-02-01,0.0
2021-02-02,50.31
2021-02-03,25.65
2021-02-04,49.33
2021-02-05,61.16
2021-02-06,78.92
2021-02-07,51.3
2021-02-08,53.27
2021-02-09,39.46
2021-02-10,52.29
2021-02-11,0.0
2021-02-12,0.0
2021-02-13,50.31
2021-02-14,63.14
2021-02-15,58.2
2021-02-16,37.49
2021-02-17,41.43
2021-02-18,43.41
2021-02-19,58.2
2021-02-20,47.35
2021-02-21,67.08
2021-02-22,79.91
2021-02-23,51.3
2021-02-24,77.93
2021-02-25,64.12
2021-02-26,65.11
2021-02-27,61.16
2021-02-28,73.99
2021-03-01,59.19
2021-03-02,68.07
2021-03-03,48.34
2021-03-04,61.16
2021-03-05,59.19
2021-03-06,75.96
2021-03-07,64.12
2021-03-08,55.24
2021-03-09,69.06
2021-03-10,69.06
2021-03-11,68.07
2021-03-12,82.87
2021-03-13,87.8
2021-03-14,85.83
2021-03-15,83.85
2021-03-16,90.76
2021-03-17,69.06
2021-03-18,98.65
2021-03-19,92.73
2021-03-20,90.76
2021-03-21,86.81
2021-03-22,87.8
2021-03-23,60.18
2021-03-24,89.77
2021-03-25,59.19
2021-03-26,56.23
2021-03-27,64.12
2021-03-28,54.26
2021-03-29,61.16
2021-03-30,68.07
2021-03-31,82.87
2021-04-01,74.98
2021-04-02,61.16
2021-04-03,76.95
2021-04-04,72.02
2021-04-05,71.03
2021-04-06,93.72
2021-04-07,77.93
2021-04-08,66.1
2021-04-09,63.14
2021-04-10,70.04
2021-04-11,86.81
2021-04-12,77.93
2021-04-13,77.93
2021-04-14,66.1
2021-04-15,42.42
2021-04-16,71.03
2021-04-17,60.18
2021-04-18,94.71
2021-04-19,71.03
2021-04-20,75.96
2021-04-21,89.77
2021-04-22,79.91
2021-04-23,77.93
2021-04-24,58.2
2021-04-25,77.93
2021-04-26,58.2
2021-04-27,46.37
2021-04-28,58.2
2021-04-29,47.35
2021-04-30,67.08
2021-05-01,59.19
2021-05-02,46.37
2021-05-03,54.26
2021-05-04,63.14
2021-05-05,46.37
2021-05-06,24.66
2021-05-07,37.49
2021-05-08,39.46
2021-05-09,62.15
2021-05-10,43.41
2021-05-11,49.33
2021-05-12,48.34
2021-05-13,50.31
2021-05-14,34.53
2021-05-15,26.64
2021-05-16,32.56
2021-05-17,58.2
2021-05-18,44.39
2021-05-19,30.58
2021-05-20,39.46
2021-05-21,48.34
2021-05-22,0.0
2021-05-23,65.11
2021-05-24,51.3
2021-05-25,41.43
2021-05-26,45.38
2021-05-27,55.24
2021-05-28,43.41
2021-05-29,47.35
2021-05-30,51.3
2021-05-31,54.26
2021-06-01,23.68
2021-06-02,46.37
2021-06-03,25.65
2021-06-04,38.47
2021-06-05,30.58
2021-06-06,56.23
2021-06-07,56.23
2021-06-08,62.15
2021-06-09,53.27
2021-06-10,45.38
2021-06-11,35.51
2021-06-12,36.5
2021-06-13,0.0
2021-06-14,41.43
2021-06-15,34.53
2021-06-16,36.5
2021-06-17,36.5
2021-06-18,40.45
2021-06-19,32.56
2021-06-20,0.0
2021-06-21,40.45
2021-06-22,36.5
2021-06-23,45.38
2021-06-24,50.31
2021-06-25,30.58
2021-06-26,50.31
2021-06-27,33.54
2021-06-28,46.37
2021-06-29,27.62
2021-06-30,55.24
2021-07-01,43.41
2021-07-02,44.18
2021-07-03,55.56
2021-07-04,42.84
2021-07-05,41.5
2021-07-06,41.5
2021-07-07,32.8
2021-07-08,32.13
2021-07-09,61.59
2021-07-10,42.84
2021-07-11,36.82
2021-07-12,34.14
2021-07-13,42.17
2021-07-14,38.83
2021-07-15,24.77
2021-07-16,28.12
2021-07-17,33.47
2021-07-18,33.47
2021-07-19,48.2
2021-07-20,48.2
2021-07-21,58.91
2021-07-22,25.44
2021-07-23,46.86
2021-07-24,22.09
2021-07-25,29.45
2021-07-26,36.15
2021-07-27,24.77
2021-07-28,0.0
2021-07-29,35.48
2021-07-30,28.12
2021-07-31,0.0
2021-08-01,37.49
2021-08-02,28.79
2021-08-03,25.44
2021-08-04,41.5
2021-08-05,41.5
2021-08-06,30.79
2021-08-07,30.12
2021-08-08,53.55
2021-08-09,32.13
2021-08-10,46.86
2021-08-11,39.5
2021-08-12,39.5
2021-08-13,50.21
2021-08-14,46.19
2021-08-15,46.86
2021-08-16,24.1
2021-08-17,56.9
2021-08-18,36.15
2021-08-19,40.17
2021-08-20,32.8
2021-08-21,24.77
2021-08-22,32.8
2021-08-23,26.11
2021-08-24,50.21
2021-08-25,62.26
2021-08-26,33.47
2021-08-27,41.5
2021-08-28,30.12
2021-08-29,32.8
2021-08-30,31.46
2021-08-31,32.8
2021-09-01,50.88
2021-09-02,42.84
2021-09-03,38.16
2021-09-04,34.14
2021-09-05,44.18
2021-09-06,0.0
2021-09-07,30.12
2021-09-08,26.78
2021-09-09,35.48
2021-09-10,34.14
2021-09-11,27.45
2021-09-12,66.94
2021-09-13,34.81
2021-09-14,33.47
2021-09-15,28.79
2021-09-16,26.11
2021-09-17,36.15
2021-09-18,30.79
2021-09-19,38.83
2021-09-20,37.49
2021-09-21,0.0
