date,value
2021-01-01,58.0
2021-01-02,36.0
2021-01-03,45.0
2021-01-04,58.0
2021-01-05,59.0
2021-01-06,55.0
2021-01-07,46.0
2021-01-08,44.0
2021-01-09,47.0
2021-01-10,71.0
2021-01-11,57.0
2021-01-12,48.0
2021-01-13,43.0
2021-01-14,60.0
2021-01-15,57.0
2021-01-16,56.0
2021-01-17,54.0
2021-01-18,47.0
2021-01-19,58.0
2021-01-20,61.0
2021-01-21,38.0
2021-01-22,45.0
2021-01-23,78.0
2021-01-24,70.0
2021-01-25,78.0
2021-01-26,72.0
2021-01-27,48.0
2021-01-28,53.0
2021-01-29,52.0
2021-01-30,48.0
2021-01-31,57.0
2021-02-01,0.0
2021-02-02,52.0
2021-02-03,83.0
2021-02-04,57.0
2021-02-05,41.0
2021-02-06,60.0
2021-02-07,53.0
2021-02-08,42.0
2021-02-09,38.0
2021-02-10,0.0
2021-02-11,0.0
2021-02-12,0.0
2021-02-13,48.0
2021-02-14,54.0
2021-02-15,57.0
2021-02-16,39.0
2021-02-17,45.0
2021-02-18,0.0
2021-02-19,48.0
2021-02-20,52.0
2021-02-21,60.0
2021-02-22,48.0
2021-02-23,40.0
2021-02-24,35.0
2021-02-25,49.0
2021-02-26,64.0
2021-02-27,46.0
2021-02-28,52.0
2021-03-01,0.0
2021-03-02,54.0
2021-03-03,45.0
2021-03-04,77.0
2021-03-05,63.0
2021-03-06,80.0
2021-03-07,0.0
2021-03-08,33.0
2021-03-09,54.0
2021-03-10,75.0
2021-03-11,79.0
2021-03-12,77.0
2021-03-13,90.0
2021-03-14,64.0
2021-03-15,62.0
2021-03-16,78.0
2021-03-17,80.0
2021-03-18,92.0
2021-03-19,60.0
2021-03-20,75.0
2021-03-21,64.0
2021-03-22,82.0
2021-03-23,32.0
2021-03-24,70.0
2021-03-25,68.0
2021-03-26,68.0
2021-03-27,55.0
2021-03-28,66.0
2021-03-29,61.0
2021-03-30,67.0
2021-03-31,68.0
2021-04-01,64.0
2021-04-02,53.0
2021-04-03,68.0
2021-04-04,73.0
2021-04-05,50.0
2021-04-06,59.0
2021-04-07,66.0
2021-04-08,50.0
2021-04-09,66.0
2021-04-10,59.0
2021-04-11,66.0
2021-04-12,78.0
2021-04-13,51.0
2021-04-14,55.0
2021-04-15,40.0
2021-04-16,59.0
2021-04-17,73.0
2021-04-18,57.0
2021-04-19,67.0
2021-04-20,80.0
2021-04-21,60.0
2021-04-22,68.0
2021-04-23,64.0
2021-04-24,100.0
2021-04-25,61.0
