date,value
2021-01-01,74.83
2021-01-02,76.57
2021-01-03,80.92
2021-01-04,69.61
2021-01-05,70.48
2021-01-06,65.26
2021-01-07,70.48
2021-01-08,68.74
2021-01-09,81.79
2021-01-10,86.14
2021-01-11,79.18
2021-01-12,74.83
2021-01-13,78.31
2021-01-14,82.66
2021-01-15,75.7
2021-01-16,80.05
2021-01-17,87.01
2021-01-18,68.74
2021-01-19,69.61
2021-01-20,67.0
2021-01-21,80.05
2021-01-22,87.01
2021-01-23,69.61
2021-01-24,83.53
2021-01-25,73.96
2021-01-26,81.79
2021-01-27,77.44
2021-01-28,69.61
2021-01-29,75.7
2021-01-30,65.26
2021-01-31,73.09
2021-02-01,65.26
2021-02-02,67.87
2021-02-03,71.35
2021-02-04,70.48
2021-02-05,62.65
2021-02-06,68.74
2021-02-07,68.74
2021-02-08,57.43
2021-02-09,62.65
2021-02-10,67.0
2021-02-11,50.47
2021-02-12,66.13
2021-02-13,62.65
2021-02-14,52.21
2021-02-15,60.04
2021-02-16,53.08
2021-02-17,47.86
2021-02-18,54.82
2021-02-19,65.26
2021-02-20,59.17
2021-02-21,54.82
2021-02-22,54.82
2021-02-23,50.47
2021-02-24,60.04
2021-02-25,59.17
2021-02-26,56.56
2021-02-27,59.17
2021-02-28,55.69
2021-03-01,53.08
2021-03-02,65.26
2021-03-03,65.26
2021-03-04,67.0
2021-03-05,57.43
2021-03-06,78.31
2021-03-07,64.39
2021-03-08,52.21
2021-03-09,53.95
2021-03-10,54.82
2021-03-11,54.82
2021-03-12,65.26
2021-03-13,70.48
2021-03-14,61.78
2021-03-15,65.26
2021-03-16,63.52
2021-03-17,61.78
2021-03-18,67.87
2021-03-19,71.35
2021-03-20,61.78
2021-03-21,66.13
2021-03-22,58.3
2021-03-23,59.17
2021-03-24,58.3
2021-03-25,72.22
2021-03-26,69.61
2021-03-27,64.39
2021-03-28,64.39
2021-03-29,62.65
2021-03-30,60.04
2021-03-31,64.39
2021-04-01,65.26
2021-04-02,61.78
2021-04-03,70.48
2021-04-04,71.35
2021-04-05,62.65
2021-04-06,62.65
2021-04-07,58.3
2021-04-08,66.13
2021-04-09,60.04
2021-04-10,64.39
2021-04-11,65.26
2021-04-12,67.0
2021-04-13,57.43
2021-04-14,63.52
2021-04-15,62.65
2021-04-16,61.78
2021-04-17,70.48
2021-04-18,57.43
2021-04-19,73.09
2021-04-20,60.91
2021-04-21,73.09
2021-04-22,61.78
2021-04-23,60.91
2021-04-24,66.13
2021-04-25,65.26
2021-04-26,59.17
2021-04-27,60.91
2021-04-28,48.73
2021-04-29,54.82
2021-04-30,64.39
2021-05-01,58.3
2021-05-02,55.69
2021-05-03,49.6
2021-05-04,54.82
2021-05-05,52.21
2021-05-06,47.86
2021-05-07,45.25
2021-05-08,48.73
2021-05-09,48.73
2021-05-10,41.77
2021-05-11,44.38
2021-05-12,52.21
2021-05-13,46.12
2021-05-14,44.38
2021-05-15,50.47
2021-05-16,54.82
2021-05-17,50.47
2021-05-18,40.89
2021-05-19,50.47
2021-05-20,51.34
2021-05-21,53.08
2021-05-22,48.73
2021-05-23,50.47
2021-05-24,46.99
2021-05-25,53.08
2021-05-26,44.38
2021-05-27,47.86
2021-05-28,40.02
2021-05-29,46.99
2021-05-30,42.64
2021-05-31,38.28
2021-06-01,45.25
2021-06-02,38.28
2021-06-03,42.64
2021-06-04,45.25
2021-06-05,48.73
2021-06-06,57.43
2021-06-07,41.77
2021-06-08,40.89
2021-06-09,40.02
2021-06-10,48.73
2021-06-11,40.89
2021-06-12,37.41
2021-06-13,42.64
2021-06-14,46.12
2021-06-15,38.28
2021-06-16,42.64
2021-06-17,39.15
2021-06-18,42.64
2021-06-19,38.28
2021-06-20,40.02
2021-06-21,42.64
2021-06-22,40.89
2021-06-23,44.38
2021-06-24,46.99
2021-06-25,50.47
2021-06-26,39.15
2021-06-27,45.25
2021-06-28,36.54
2021-06-29,35.67
2021-06-30,39.15
2021-07-01,45.25
2021-07-02,41.46
2021-07-03,39.73
2021-07-04,40.88
2021-07-05,45.49
2021-07-06,39.15
2021-07-07,37.43
2021-07-08,33.97
2021-07-09,38.0
2021-07-10,40.88
2021-07-11,35.12
2021-07-12,38.0
2021-07-13,38.0
2021-07-14,32.82
2021-07-15,36.85
2021-07-16,32.25
2021-07-17,38.58
2021-07-18,35.7
2021-07-19,28.79
2021-07-20,36.28
2021-07-21,31.67
2021-07-22,33.4
2021-07-23,26.49
2021-07-24,27.06
2021-07-25,35.12
2021-07-26,31.09
2021-07-27,29.94
2021-07-28,26.49
2021-07-29,29.94
2021-07-30,24.76
2021-07-31,27.64
2021-08-01,30.52
2021-08-02,28.21
2021-08-03,28.21
2021-08-04,32.25
2021-08-05,27.64
2021-08-06,30.52
2021-08-07,32.25
