date,value
2021-01-01,53.91
2021-01-02,75.87
2021-01-03,85.85
2021-01-04,75.87
2021-01-05,87.85
2021-01-06,90.84
2021-01-07,69.88
2021-01-08,74.87
2021-01-09,96.83
2021-01-10,90.84
2021-01-11,91.84
2021-01-12,92.84
2021-01-13,95.83
2021-01-14,64.89
2021-01-15,78.86
2021-01-16,99.82
2021-01-17,97.83
2021-01-18,89.84
2021-01-19,75.87
2021-01-20,66.88
2021-01-21,93.84
2021-01-22,90.84
2021-01-23,83.85
2021-01-24,94.83
2021-01-25,93.84
2021-01-26,95.83
2021-01-27,87.85
2021-01-28,73.87
2021-01-29,83.85
2021-01-30,89.84
2021-01-31,76.86
2021-02-01,87.85
2021-02-02,82.85
2021-02-03,85.85
2021-02-04,94.83
2021-02-05,69.88
2021-02-06,51.91
2021-02-07,73.87
2021-02-08,54.9
2021-02-09,52.91
2021-02-10,95.83
2021-02-11,61.89
2021-02-12,87.85
2021-02-13,54.9
2021-02-14,46.92
2021-02-15,44.92
2021-02-16,52.91
2021-02-17,50.91
2021-02-18,56.9
2021-02-19,60.89
2021-02-20,45.92
2021-02-21,34.94
2021-02-22,50.91
2021-02-23,41.93
2021-02-24,64.89
2021-02-25,47.92
2021-02-26,51.91
2021-02-27,54.9
2021-02-28,31.94
2021-03-01,40.93
2021-03-02,41.93
2021-03-03,62.89
2021-03-04,69.88
2021-03-05,61.89
2021-03-06,55.9
2021-03-07,59.89
2021-03-08,48.91
2021-03-09,23.96
2021-03-10,50.91
2021-03-11,60.89
2021-03-12,53.91
2021-03-13,63.89
2021-03-14,58.9
2021-03-15,50.91
2021-03-16,59.89
2021-03-17,62.89
2021-03-18,61.89
2021-03-19,56.9
2021-03-20,54.9
2021-03-21,57.9
2021-03-22,45.92
2021-03-23,70.88
2021-03-24,67.88
2021-03-25,64.89
2021-03-26,59.89
2021-03-27,57.9
2021-03-28,62.89
2021-03-29,46.92
2021-03-30,51.91
2021-03-31,61.89
2021-04-01,65.88
2021-04-02,45.92
2021-04-03,62.89
2021-04-04,74.87
2021-04-05,52.91
2021-04-06,65.88
2021-04-07,45.92
2021-04-08,68.88
2021-04-09,77.86
2021-04-10,54.9
2021-04-11,48.91
2021-04-12,59.89
2021-04-13,49.91
2021-04-14,53.91
2021-04-15,45.92
2021-04-16,66.88
2021-04-17,63.89
2021-04-18,27.95
2021-04-19,66.88
2021-04-20,54.9
2021-04-21,73.87
2021-04-22,45.92
2021-04-23,50.91
2021-04-24,57.9
2021-04-25,46.92
2021-04-26,54.9
2021-04-27,54.9
2021-04-28,61.89
2021-04-29,40.93
2021-04-30,48.91
2021-05-01,37.93
2021-05-02,49.91
2021-05-03,59.89
2021-05-04,34.94
2021-05-05,47.92
2021-05-06,39.93
2021-05-07,33.94
2021-05-08,43.92
2021-05-09,52.91
2021-05-10,42.92
2021-05-11,43.92
2021-05-12,50.91
2021-05-13,40.93
2021-05-14,36.94
2021-05-15,50.91
2021-05-16,68.88
2021-05-17,43.92
2021-05-18,34.94
2021-05-19,37.93
2021-05-20,48.91
2021-05-21,45.92
2021-05-22,45.92
2021-05-23,49.91
2021-05-24,51.91
2021-05-25,67.88
2021-05-26,42.92
2021-05-27,32.94
2021-05-28,27.95
2021-05-29,28.95
2021-05-30,38.93
2021-05-31,40.93
2021-06-01,44.92
2021-06-02,37.93
2021-06-03,42.92
2021-06-04,43.92
2021-06-05,52.91
2021-06-06,53.91
2021-06-07,34.94
2021-06-08,43.92
2021-06-09,36.94
2021-06-10,37.93
2021-06-11,36.94
2021-06-12,34.94
2021-06-13,63.89
2021-06-14,46.92
2021-06-15,38.93
2021-06-16,49.91
2021-06-17,20.96
2021-06-18,39.93
2021-06-19,40.93
2021-06-20,33.94
2021-06-21,41.93
2021-06-22,59.89
2021-06-23,39.93
2021-06-24,46.92
2021-06-25,43.92
2021-06-26,40.93
2021-06-27,39.93
2021-06-28,40.93
2021-06-29,35.94
2021-06-30,35.94
2021-07-01,45.92
2021-07-02,27.08
2021-07-03,44.25
2021-07-04,38.3
2021-07-05,40.94
2021-07-06,38.3
2021-07-07,42.26
2021-07-08,36.98
2021-07-09,36.98
2021-07-10,44.91
2021-07-11,42.92
2021-07-12,33.68
2021-07-13,31.7
2021-07-14,35.66
2021-07-15,31.7
2021-07-16,27.08
2021-07-17,50.85
2021-07-18,34.34
2021-07-19,31.04
2021-07-20,25.75
2021-07-21,25.75
2021-07-22,23.77
2021-07-23,36.98
2021-07-24,21.13
2021-07-25,31.04
2021-07-26,33.68
2021-07-27,30.38
2021-07-28,29.06
2021-07-29,23.77
2021-07-30,40.28
2021-07-31,26.42
2021-08-01,37.64
2021-08-02,30.38
2021-08-03,0.0
2021-08-04,20.47
2021-08-05,26.42
2021-08-06,26.42
2021-08-07,30.38
2021-08-08,25.09
2021-08-09,24.43
2021-08-10,31.04
2021-08-11,32.36
2021-08-12,23.11
2021-08-13,26.42
2021-08-14,32.36
2021-08-15,0.0
2021-08-16,38.96
2021-08-17,42.26
2021-08-18,31.7
2021-08-19,53.49
2021-08-20,25.09
2021-08-21,27.08
2021-08-22,0.0
2021-08-23,0.0
2021-08-24,0.0
2021-08-25,31.04
2021-08-26,31.04
2021-08-27,26.42
2021-08-28,0.0
2021-08-29,0.0
2021-08-30,0.0
2021-08-31,23.77
2021-09-01,0.0
2021-09-02,21.13
2021-09-03,0.0
2021-09-04,0.0
2021-09-05,26.42
2021-09-06,0.0
2021-09-07,25.09
2021-09-08,23.77
2021-09-09,35.66
2021-09-10,27.08
2021-09-11,26.42
2021-09-12,35.66
2021-09-13,25.75
2021-09-14,17.83
2021-09-15,23.11
2021-09-16,35.66
2021-09-17,26.42
2021-09-18,27.08
2021-09-19,36.32
2021-09-20,23.11
2021-09-21,0.0
2021-09-22,21.79
2021-09-23,21.79
2021-09-24,26.42
2021-09-25,25.09
2021-09-26,26.42
2021-09-27,38.3
2021-09-28,41.6
2021-09-29,35.0
2021-09-30,30.38
2021-10-01,40.28
2021-10-02,35.66
2021-10-03,33.68
2021-10-04,23.77
2021-10-05,35.66
2021-10-06,36.98
2021-10-07,17.83
2021-10-08,28.4
2021-10-09,31.04
2021-10-10,33.02
2021-10-11,42.26
2021-10-12,49.53
2021-10-13,45.57
2021-10-14,43.58
2021-10-15,50.19
2021-10-16,0.0
2021-10-17,36.98
2021-10-18,40.28
2021-10-19,33.02
2021-10-20,0.0
2021-10-21,42.26
2021-10-22,42.92
2021-10-23,58.77
2021-10-24,40.28
2021-10-25,53.49
2021-10-26,34.34
2021-10-27,26.42
2021-10-28,50.19
2021-10-29,36.98
2021-10-30,52.83
2021-10-31,36.32
2021-11-01,44.25
2021-11-02,44.91
2021-11-03,29.06
2021-11-04,33.02
2021-11-05,50.19
2021-11-06,36.98
2021-11-07,58.11
2021-11-08,34.34
2021-11-09,56.79
2021-11-10,52.17
2021-11-11,56.13
2021-11-12,52.83
2021-11-13,53.49
2021-11-14,38.3
2021-11-15,31.04
2021-11-16,35.66
2021-11-17,36.98
2021-11-18,66.04
2021-11-19,40.94
2021-11-20,48.87
2021-11-21,42.26
2021-11-22,35.0
2021-11-23,33.68
2021-11-24,44.25
2021-11-25,40.94
2021-11-26,49.53
2021-11-27,40.28
2021-11-28,47.55
2021-11-29,52.83
2021-11-30,46.89
2021-12-01,32.36
2021-12-02,47.0
2021-12-03,50.0
2021-12-04,43.0
2021-12-05,42.0
2021-12-06,47.0
2021-12-07,48.0
2021-12-08,48.0
2021-12-09,49.0
2021-12-10,36.0
2021-12-11,71.0
2021-12-12,66.0
2021-12-13,63.0
2021-12-14,58.0
2021-12-15,63.0
2021-12-16,56.0
2021-12-17,41.0
2021-12-18,46.0
2021-12-19,60.0
2021-12-20,43.0
2021-12-21,61.0
2021-12-22,59.0
2021-12-23,39.0
2021-12-24,43.0
2021-12-25,55.0
2021-12-26,48.0
2021-12-27,51.0
2021-12-28,56.0
2021-12-29,56.0
2021-12-30,72.0
2021-12-31,73.0
2022-01-01,64.0
2022-01-02,96.0
2022-01-03,65.0
2022-01-04,68.0
2022-01-05,74.0
2022-01-06,61.0
2022-01-07,82.0
2022-01-08,57.0
2022-01-09,98.0
2022-01-10,55.0
2022-01-11,61.0
2022-01-12,68.0
2022-01-13,53.0
2022-01-14,80.0
2022-01-15,74.0
2022-01-16,79.0
2022-01-17,56.0
2022-01-18,83.0
2022-01-19,54.0
