keyword,config,history_rows,mae,rmse,forecast_file
adidas áo khoác,Cluster_HIGH_SEASONAL,1985,5.46,16.05,output\forecast_adidas_áo_khoác.csv
ao khoac jean,Cluster_MODERATE,886,1.18,6.65,output\forecast_ao_khoac_jean.csv
ao phong oversize,Cluster_STABLE,519,1.55,6.77,output\forecast_ao_phong_oversize.csv
ao so mi nam,Cluster_MODERATE,1438,2.36,8.91,output\forecast_ao_so_mi_nam.csv
bảng size quần jean nữ,Cluster_HIGH_SEASONAL,823,0.65,7.68,output\forecast_bảng_size_quần_jean_nữ.csv
charles & keith,Cluster_STABLE,1985,4.76,6.54,output\forecast_charles_&_keith.csv
charles & keith túi xách,Cluster_HIGH_SEASONAL,1985,1.52,9.46,output\forecast_charles_&_keith_túi_xách.csv
chân váy nữ,Cluster_HIGH_SEASONAL,1985,3.2,14.52,output\forecast_chân_váy_nữ.csv
dam maxi,Cluster_HIGH_SEASONAL,882,0.52,6.47,output\forecast_dam_maxi.csv
dép sandal nữ,Cluster_HIGH_SEASONAL,1745,1.51,10.47,output\forecast_dép_sandal_nữ.csv
dép sandal nữ đẹp,Cluster_HIGH_SEASONAL,823,0.63,7.46,output\forecast_dép_sandal_nữ_đẹp.csv
dép sandal nữ đế cao,Cluster_HIGH_SEASONAL,1105,0.56,6.88,output\forecast_dép_sandal_nữ_đế_cao.csv
giay sneaker,Cluster_MODERATE,1278,1.11,5.78,output\forecast_giay_sneaker.csv
giày sandal nữ,Cluster_HIGH_SEASONAL,1865,3.54,14.07,output\forecast_giày_sandal_nữ.csv
giày sandal nữ hàng hiệu,Cluster_HIGH_SEASONAL,1308,0.46,5.86,output\forecast_giày_sandal_nữ_hàng_hiệu.csv
giày sandal nữ đi học,Cluster_HIGH_SEASONAL,1133,0.72,8.09,output\forecast_giày_sandal_nữ_đi_học.csv
giày sandal nữ đẹp,Cluster_HIGH_SEASONAL,1581,0.76,8.21,output\forecast_giày_sandal_nữ_đẹp.csv
giày sandal nữ đế cao,Cluster_HIGH_SEASONAL,1197,0.87,8.56,output\forecast_giày_sandal_nữ_đế_cao.csv
giày sneaker adidas,Cluster_MODERATE,1561,2.02,7.97,output\forecast_giày_sneaker_adidas.csv
giày sneaker chính hãng,Cluster_MODERATE,1742,1.96,8.06,output\forecast_giày_sneaker_chính_hãng.csv
giày sneaker nike,Cluster_MODERATE,1740,2.29,8.52,output\forecast_giày_sneaker_nike.csv
giày sneaker trắng,Cluster_MODERATE,1467,1.66,8.02,output\forecast_giày_sneaker_trắng.csv
mẫu áo sơ mi nam,Cluster_MODERATE,1284,1.93,8.96,output\forecast_mẫu_áo_sơ_mi_nam.csv
phối đồ với quần short nam,Cluster_MODERATE,1345,1.76,8.11,output\forecast_phối_đồ_với_quần_short_nam.csv
quan jean nu,Cluster_HIGH_SEASONAL,1187,0.54,7.03,output\forecast_quan_jean_nu.csv
quan short nam,Cluster_MODERATE,1306,1.29,6.76,output\forecast_quan_short_nam.csv
quần jean nữ cao cấp,Cluster_HIGH_SEASONAL,1321,0.74,8.04,output\forecast_quần_jean_nữ_cao_cấp.csv
quần jean nữ ống loe,Cluster_HIGH_SEASONAL,1005,0.62,7.44,output\forecast_quần_jean_nữ_ống_loe.csv
quần jean nữ ống rộng,Cluster_HIGH_SEASONAL,1195,0.71,7.28,output\forecast_quần_jean_nữ_ống_rộng.csv
quần short nam cao cấp,Cluster_MODERATE,1277,1.46,7.64,output\forecast_quần_short_nam_cao_cấp.csv
quần short nam hàng hiệu,Cluster_MODERATE,830,1.12,6.22,output\forecast_quần_short_nam_hàng_hiệu.csv
quần short nam ngắn,Cluster_MODERATE,1865,1.48,7.71,output\forecast_quần_short_nam_ngắn.csv
quần short nam thể thao,Cluster_MODERATE,1319,1.98,8.86,output\forecast_quần_short_nam_thể_thao.csv
quần short nam đẹp,Cluster_MODERATE,1315,0.97,6.27,output\forecast_quần_short_nam_đẹp.csv
quần váy nữ,Cluster_HIGH_SEASONAL,1863,1.77,9.56,output\forecast_quần_váy_nữ.csv
sandal nu,Cluster_HIGH_SEASONAL,700,0.6,7.17,output\forecast_sandal_nu.csv
sandal nữ đẹp,Cluster_HIGH_SEASONAL,972,0.74,8.06,output\forecast_sandal_nữ_đẹp.csv
shop giày sneaker,Cluster_MODERATE,1741,2.85,10.07,output\forecast_shop_giày_sneaker.csv
shop quần jean nữ,Cluster_HIGH_SEASONAL,1315,0.79,8.53,output\forecast_shop_quần_jean_nữ.csv
shop áo sơ mi nam,Cluster_MODERATE,1742,2.2,9.48,output\forecast_shop_áo_sơ_mi_nam.csv
shop áo thun nam,Cluster_HIGH_SEASONAL,1462,0.89,8.29,output\forecast_shop_áo_thun_nam.csv
shop đầm nữ,Cluster_HIGH_SEASONAL,1004,0.9,8.86,output\forecast_shop_đầm_nữ.csv
size quần jean nữ,Cluster_HIGH_SEASONAL,1439,0.51,5.42,output\forecast_size_quần_jean_nữ.csv
size áo khoác,Cluster_HIGH_SEASONAL,1985,5.63,17.16,output\forecast_size_áo_khoác.csv
size áo sơ mi nam,Cluster_MODERATE,1862,2.73,9.97,output\forecast_size_áo_sơ_mi_nam.csv
size áo thun nam,Cluster_HIGH_SEASONAL,1711,0.87,7.23,output\forecast_size_áo_thun_nam.csv
tui xach nu,Cluster_HIGH_SEASONAL,1134,0.74,8.07,output\forecast_tui_xach_nu.csv
túi charles & keith,Cluster_HIGH_SEASONAL,1985,16.72,23.68,output\forecast_túi_charles_&_keith.csv
túi hapas,Cluster_HIGH_SEASONAL,1745,3.01,9.11,output\forecast_túi_hapas.csv
túi pedro nữ,Cluster_HIGH_SEASONAL,1135,1.35,10.15,output\forecast_túi_pedro_nữ.csv
túi xách da nữ,Cluster_HIGH_SEASONAL,1622,0.8,8.4,output\forecast_túi_xách_da_nữ.csv
túi xách hapas,Cluster_HIGH_SEASONAL,861,1.2,9.75,output\forecast_túi_xách_hapas.csv
túi xách hàng hiệu,Cluster_HIGH_SEASONAL,1985,2.01,9.41,output\forecast_túi_xách_hàng_hiệu.csv
túi xách nam,Cluster_HIGH_SEASONAL,1985,7.4,16.07,output\forecast_túi_xách_nam.csv
túi xách nữ charles & keith,Cluster_HIGH_SEASONAL,1588,0.77,8.21,output\forecast_túi_xách_nữ_charles_&_keith.csv
túi xách nữ vascara,Cluster_HIGH_SEASONAL,1317,0.84,8.62,output\forecast_túi_xách_nữ_vascara.csv
túi xách nữ đẹp,Cluster_HIGH_SEASONAL,1105,0.82,8.25,output\forecast_túi_xách_nữ_đẹp.csv
túi xách pedro,Cluster_HIGH_SEASONAL,1741,0.98,8.88,output\forecast_túi_xách_pedro.csv
túi xách pedro nữ,Cluster_HIGH_SEASONAL,1285,0.54,5.79,output\forecast_túi_xách_pedro_nữ.csv
túi xách tay nữ,Cluster_HIGH_SEASONAL,830,0.66,7.66,output\forecast_túi_xách_tay_nữ.csv
