keyword,cluster,trend_status,growth_rate,recent_avg,baseline_avg,rows,attr_pattern,attr_sub_category,attr_category,attr_fit_type,attr_demographic,attr_material
ao phong oversize,STABLE,📉 Đang giảm,-1.0,0.0,0.55,519,,T-Shirt,,Oversize,,
quan jean nu,HIGH_SEASONAL,📉 Đang giảm,-1.0,0.0,0.55,1187,,Jeans,,,Women,
vay hoa,HIGH_SEASONAL,🚀 Đang nổi lên,2.5835,12.82,3.58,1985,Floral,,,,,
ao so mi nam,MODERATE,🚀 Đang nổi lên,41.5098,15.05,0.35,1438,,Shirt,,,Men,
giay sneaker,MODERATE,📉 Đang giảm,-1.0,0.0,0.99,1278,,Sneaker,Footwear,,,
tui xach nu,HIGH_SEASONAL,📉 Đang giảm,-0.8375,0.18,1.1,1134,,Handbag,,,Women,
dam maxi,HIGH_SEASONAL,📉 Đang giảm,-1.0,0.0,0.46,882,,,Dress,,,
ao khoac jean,MODERATE,📉 Đang giảm,-1.0,0.0,0.55,886,,Jacket,,,,
quan short nam,MODERATE,📉 Đang giảm,-1.0,0.0,1.05,1306,,Shorts,,,Men,
sandal nu,HIGH_SEASONAL,📉 Đang giảm,-1.0,0.0,0.55,700,,Sandal,,,Women,
áo thun nam polo,HIGH_SEASONAL,🚀 Đang nổi lên,2.3342,3.54,1.06,1592,,T-Shirt,,,Men,
áo polo nam,HIGH_SEASONAL,🚀 Đang nổi lên,0.4763,19.66,13.32,1985,,Polo,Top,,Men,
áo polo,STABLE,➡️  Ổn định,-0.0352,55.96,58.0,1985,,Polo,Top,,,
áo thun nam có cổ,HIGH_SEASONAL,📉 Đang giảm,-0.5242,0.53,1.12,1592,,T-Shirt,,,Men,
áo thun trắng,HIGH_SEASONAL,🚀 Đang nổi lên,4.0867,10.43,2.05,1985,,T-Shirt,,,,
size áo thun nam,HIGH_SEASONAL,🚀 Đang nổi lên,18903571428.5714,18.9,0.0,1711,,T-Shirt,,,Men,
áo thun nam đẹp,HIGH_SEASONAL,🚀 Đang nổi lên,15000000000.0,15.0,0.0,1169,,T-Shirt,,,Men,
áo thun nam cao cấp,HIGH_SEASONAL,🚀 Đang nổi lên,1.34,1.03,0.44,1743,,T-Shirt,,,Men,
shop áo thun nam,HIGH_SEASONAL,📉 Đang giảm,-1.0,0.0,1.23,1462,,T-Shirt,,,Men,
áo thun nam hàng hiệu,HIGH_SEASONAL,📉 Đang giảm,-1.0,0.0,0.55,734,,T-Shirt,,,Men,
áo khoác nam,MODERATE,📉 Đang giảm,-0.7077,3.09,10.58,1985,,,Top,,Men,
áo thun nam cổ tròn,HIGH_SEASONAL,📉 Đang giảm,-0.6082,0.26,0.66,1985,,T-Shirt,,,Men,
áo thun nam pierre cardin,HIGH_SEASONAL,📉 Đang giảm,-1.0,0.0,1.76,1043,,T-Shirt,,,Men,
quần jean nữ ống rộng,HIGH_SEASONAL,📉 Đang giảm,-0.805,0.09,0.48,1195,,Jeans,Bottom,,Women,
size quần jean nữ,HIGH_SEASONAL,🚀 Đang nổi lên,2142857142.8571,2.14,0.0,1439,,Jeans,Bottom,,Women,
shop quần jean nữ,HIGH_SEASONAL,📉 Đang giảm,-1.0,0.0,0.55,1315,,Jeans,Bottom,,Women,
quần jean nữ cao cấp,HIGH_SEASONAL,📉 Đang giảm,-1.0,0.0,0.44,1321,,Jeans,Bottom,,Women,
quần jean nữ ống loe,HIGH_SEASONAL,📉 Đang giảm,-1.0,0.0,0.55,1005,,Jeans,Bottom,,Women,
bảng size quần jean nữ,HIGH_SEASONAL,📉 Đang giảm,-1.0,0.0,0.55,823,,Jeans,Bottom,,Women,
giày sneaker nike,MODERATE,🚀 Đang nổi lên,14.9286,13.22,0.83,1740,,Sneaker,Footwear,,,
giày sneaker chính hãng,MODERATE,🚀 Đang nổi lên,17.135,7.67,0.42,1742,,Sneaker,Footwear,,,
giày sneaker adidas,MODERATE,🚀 Đang nổi lên,8277500000.0,8.28,0.0,1561,,Sneaker,Footwear,,,
giày sneaker trắng,MODERATE,📉 Đang giảm,-0.415,0.32,0.55,1467,,Sneaker,Footwear,,,
shop giày sneaker,MODERATE,🚀 Đang nổi lên,6535714285.7143,6.54,0.0,1741,,Sneaker,Footwear,,,
chân váy nữ,HIGH_SEASONAL,🚀 Đang nổi lên,3.7651,8.85,1.86,1985,,Skirt,Bottom,,Women,
quần váy nữ,HIGH_SEASONAL,🚀 Đang nổi lên,3.4545,5.73,1.29,1863,,,Bottom,,Women,
váy nữ đẹp,HIGH_SEASONAL,🚀 Đang nổi lên,14.86,6.54,0.41,1985,,,Bottom,,Women,
váy nữ thời trang,HIGH_SEASONAL,🚀 Đang nổi lên,6879285714.2857,6.88,0.0,1618,,,Bottom,,Women,
áo khoác nữ,MODERATE,📉 Đang giảm,-0.6816,2.84,8.91,1985,,,Top,,Women,
áo khoác gió,HIGH_SEASONAL,📉 Đang giảm,-0.7347,3.85,14.5,1985,,,Top,,,
áo khoác đồng phục,HIGH_SEASONAL,🚀 Đang nổi lên,0.4848,11.64,7.84,1985,,,Top,,,
áo khoác da,HIGH_SEASONAL,📉 Đang giảm,-0.6443,4.47,12.56,1985,,,Top,,,Leather
áo khoác dài,HIGH_SEASONAL,📉 Đang giảm,-0.3466,2.55,3.9,1985,,,Top,,,
áo khoác lông,HIGH_SEASONAL,📉 Đang giảm,-0.8475,0.96,6.31,1985,,,Top,,,
áo khoác uniqlo,HIGH_SEASONAL,🚀 Đang nổi lên,0.6045,7.36,4.59,1985,,,Top,,,
adidas áo khoác,HIGH_SEASONAL,🚀 Đang nổi lên,1.9655,9.06,3.06,1985,,,Top,,,
áo khoác đẹp,HIGH_SEASONAL,📉 Đang giảm,-0.1899,6.22,7.68,1985,,,Top,,,
áo khoác dạ,HIGH_SEASONAL,📉 Đang giảm,-0.7381,1.56,5.94,1865,,,Top,,,
áo khoác len,HIGH_SEASONAL,➡️  Ổn định,0.1105,3.33,2.99,1985,,,Top,,,Wool
size áo khoác,HIGH_SEASONAL,🚀 Đang nổi lên,1.5418,3.28,1.29,1985,,,Top,,,
áo khoác jean,HIGH_SEASONAL,🚀 Đang nổi lên,1.8193,5.89,2.09,1985,,Jeans,Top,,,
áo khoác bomber,HIGH_SEASONAL,📉 Đang giảm,-0.1767,2.2,2.68,1985,,,Top,,,
